,index,year,gametime (AET),ground,FanFooty draw ID,team,score,SC_total,previous SC match score,rolling 3 round SC match average,rolling 5 round SC match average,match_identifier
0,3191,2010,2010-04-16 20:40:00,Subiaco,3425,WC,101.0,1739.0,,,,3425_WC
1,3191,2010,2010-04-16 20:40:00,Subiaco,3425,ES,78.0,1568.0,,,,3425_ES
2,3192,2010,2010-04-17 14:10:00,Docklands,3426,SY,100.0,1797.0,,,,3426_SY
3,3192,2010,2010-04-17 14:10:00,Docklands,3426,NM,60.0,1504.0,,,,3426_NM
4,3193,2010,2010-04-17 15:10:00,Footy Park,3427,AD,55.0,1513.0,,,,3427_AD
5,3193,2010,2010-04-17 15:10:00,Footy Park,3427,CA,103.0,1826.0,,,,3427_CA
6,3194,2010,2010-04-17 19:10:00,MCG,3428,CO,123.0,1873.0,,,,3428_CO
7,3194,2010,2010-04-17 19:10:00,MCG,3428,HW,59.0,1447.0,,,,3428_HW
8,3195,2010,2010-04-17 19:10:00,Gabba,3429,BL,101.0,1781.0,,,,3429_BL
9,3195,2010,2010-04-17 19:10:00,Gabba,3429,WB,79.0,1545.0,,,,3429_WB
10,3196,2010,2010-04-18 13:10:00,MCG,3430,ME,133.0,1901.0,,,,3430_ME
11,3196,2010,2010-04-18 13:10:00,MCG,3430,RI,78.0,1439.0,,,,3430_RI
12,3197,2010,2010-04-18 14:10:00,Kardinia,3431,PA,64.0,1261.0,,,,3431_PA
13,3197,2010,2010-04-18 14:10:00,Kardinia,3431,GE,159.0,2059.0,,,,3431_GE
14,3198,2010,2010-04-18 16:40:00,Docklands,3432,FR,93.0,1546.0,,,,3432_FR
15,3198,2010,2010-04-18 16:40:00,Docklands,3432,SK,108.0,1775.0,,,,3432_SK
16,3199,2010,2010-04-23 19:40:00,Docklands,3433,AD,72.0,1485.0,1513.0,1513.0,1513.0,3433_AD
17,3199,2010,2010-04-23 19:40:00,Docklands,3433,WB,121.0,1816.0,1545.0,1545.0,1545.0,3433_WB
18,3200,2010,2010-04-24 14:10:00,SCG,3434,WC,63.0,1345.0,1739.0,1739.0,1739.0,3434_WC
19,3200,2010,2010-04-24 14:10:00,SCG,3434,SY,115.0,1962.0,1797.0,1797.0,1797.0,3434_SY
20,3201,2010,2010-04-24 19:10:00,MCG,3435,BL,53.0,1585.0,1781.0,1781.0,1781.0,3435_BL
21,3201,2010,2010-04-24 19:10:00,MCG,3435,ME,103.0,1724.0,1901.0,1901.0,1901.0,3435_ME
22,3202,2010,2010-04-24 19:40:00,Footy Park,3436,SK,44.0,1538.0,1775.0,1775.0,1775.0,3436_SK
23,3202,2010,2010-04-24 19:40:00,Footy Park,3436,PA,54.0,1770.0,1261.0,1261.0,1261.0,3436_PA
24,3203,2010,2010-04-25 14:40:00,MCG,3437,CO,120.0,1879.0,1873.0,1873.0,1873.0,3437_CO
25,3203,2010,2010-04-25 14:40:00,MCG,3437,ES,55.0,1439.0,1568.0,1568.0,1568.0,3437_ES
26,3204,2010,2010-04-25 17:40:00,Launceston,3438,HW,70.0,1708.0,1447.0,1447.0,1447.0,3438_HW
27,3204,2010,2010-04-25 17:40:00,Launceston,3438,NM,82.0,1628.0,1504.0,1504.0,1504.0,3438_NM
28,3205,2010,2010-04-25 20:40:00,Subiaco,3439,FR,112.0,1780.0,1546.0,1546.0,1546.0,3439_FR
29,3205,2010,2010-04-25 20:40:00,Subiaco,3439,RI,73.0,1549.0,1439.0,1439.0,1439.0,3439_RI
30,3206,2010,2010-04-26 14:10:00,MCG,3440,GE,68.0,1482.0,2059.0,2059.0,2059.0,3440_GE
31,3206,2010,2010-04-26 14:10:00,MCG,3440,CA,104.0,1862.0,1826.0,1826.0,1826.0,3440_CA
