SC ID,SC Feed ID,SC Player Name,first_name,last_name,Fanfooty Player ID,Fanfooty Player Name,Footywire Name,AFL ID,AFL Name,Team,Position,Date of Birth,Jumper Number
1,294472,Rory Atkins,Rory,Atkins,,,,,,ADE,MID,,
2,293193,Luke Brown,Luke,Brown,,,,,,ADE,DEF,,
3,1004995,Jordon Butts,Jordon,Butts,,,,,,ADE,DEF,,
4,993796,Ben Crocker,Ben,Crocker,,,,,,ADE,FWD,,
5,294307,Brad Crouch,Brad,Crouch,,,,,,ADE,MID,,
6,297401,Matt Crouch,Matt,Crouch,,,,,,ADE,MID,,
7,298417,Ben Davis,Ben,Davis,,,,,,ADE,FWD,,
8,1000932,Tom Doedee,Tom,Doedee,,,,,,ADE,DEF,,
9,999331,Darcy Fogarty,Darcy,Fogarty,,,,,,ADE,FWD,,
10,991773,Billy Frampton,Billy,Frampton,,,,,,ADE,FWD,,
11,998106,Jordan Gallucci,Jordan,Gallucci,,,,,,ADE,FWD,,
12,250417,Bryce Gibbs,Bryce,Gibbs,,,,,,ADE,MID,,
13,1018075,Lachlan Gollant,Lachlan,Gollant,,,,,,ADE,DEF MID,,
14,1008159,William Hamill,William,Hamill,,,,,,ADE,DEF,,
15,290228,Kyle Hartigan,Kyle,Hartigan,,,,,,ADE,DEF,,
16,1005199,Elliott Himmelberg,Elliott,Himmelberg,,,,,,ADE,FWD,,
17,1006203,Chayce Jones,Chayce,Jones,,,,,,ADE,FWD,,
18,993946,Ben Keays,Ben,Keays,,,,,,ADE,FWD,,
19,297473,Jake Kelly,Jake,Kelly,,,,,,ADE,DEF,,
20,295103,Riley Knight,Riley,Knight,,,,,,ADE,FWD,,
21,293222,Rory Laird,Rory,Laird,,,,,,ADE,DEF,,
22,270938,Tom Lynch,Tom,Lynch,,,,,,ADE,FWD,,
23,250362,David Mackay,David,Mackay,,,,,,ADE,DEF MID,,
24,298470,Shane McAdam,Shane,McAdam,,,,,,ADE,FWD,,
25,1009201,Fischer Mcasey,Fischer,Mcasey,,,,,,ADE,DEF,,
26,1008185,Ned McHenry,Ned,McHenry,,,,,,ADE,MID,,
27,997206,Andrew McPherson,Andrew,McPherson,,,,,,ADE,DEF,,
28,990882,Wayne Milera,Wayne,Milera,,,,,,ADE,DEF MID,,
29,1000998,Lachlan Murphy,Lachlan,Murphy,,,,,,ADE,FWD,,
30,297523,Reilly O'Brien,Reilly,O'Brien,,,,,,ADE,RUC,,
31,1011254,Ronin O'Connor,Ronin,O'Connor,,,,,,ADE,MID,,
32,1000908,Myles Poholke,Myles,Poholke,,,,,,ADE,FWD,,
