,sc_id,sc_first_name,sc_last_name,sc_team_id,sc_price,sc_previous_games,sc_previous_average,sc_previous_total,sc_feed_id,sc_active,sc_positions,sc_team,sc_position,sc_long_team
0,1,Rory,Atkins,1,410000,20,75.5,1510,294472,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
1,2,Luke,Brown,1,369300,15,68.0,1020,293193,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
2,3,Jordon,Butts,1,123900,0,0.0,0,1004995,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
3,4,Ben,Crocker,1,152000,3,35.0,105,993796,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
4,5,Brad,Crouch,1,534100,22,98.36,2164,294307,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
5,6,Matt,Crouch,1,563000,19,103.68,1970,297401,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
6,7,Ben,Davis,1,123900,1,22.0,22,298417,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
7,8,Tom,Doedee,1,273700,1,56.0,56,1000932,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
8,9,Darcy,Fogarty,1,283500,4,65.25,261,999331,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
9,10,Billy,Frampton,1,165400,2,43.5,87,991773,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
10,11,Jordan,Gallucci,1,269900,10,49.7,497,998106,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
11,12,Bryce,Gibbs,1,375100,12,69.08,829,250417,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
12,13,Lachlan,Gollant,1,117300,0,0.0,0,1018075,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,DEF MID,Adelaide
13,14,William,Hamill,1,123900,0,0.0,0,1008159,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
14,15,Kyle,Hartigan,1,239200,19,44.05,837,290228,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
15,16,Elliott,Himmelberg,1,277900,7,56.86,398,1005199,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
16,17,Chayce,Jones,1,271500,8,50.0,400,1006203,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
17,18,Ben,Keays,1,266100,2,70.0,140,993946,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
18,19,Jake,Kelly,1,406300,22,74.82,1646,297473,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
19,20,Riley,Knight,1,344300,15,63.4,951,295103,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
20,21,Rory,Laird,1,525800,22,96.82,2130,293222,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
21,22,Tom,Lynch,1,459900,16,84.69,1355,270938,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
22,23,David,Mackay,1,361100,18,66.5,1197,250362,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,DEF MID,Adelaide
23,24,Shane,McAdam,1,123900,0,0.0,0,298470,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
24,25,Fischer,Mcasey,1,184800,0,0.0,0,1009201,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
25,26,Ned,McHenry,1,123900,0,0.0,0,1008185,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
26,27,Andrew,McPherson,1,123900,0,0.0,0,997206,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
27,28,Wayne,Milera,1,402500,17,74.12,1260,990882,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,DEF MID,Adelaide
28,29,Lachlan,Murphy,1,295800,21,54.48,1144,1000998,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
29,30,Reilly,O'Brien,1,517400,18,95.28,1715,297523,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",ADE,RUC,Adelaide
30,31,Ronin,O'Connor,1,117300,0,0.0,0,1011254,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
31,32,Myles,Poholke,1,221600,2,51.0,102,1000908,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
32,33,Harry,Schoenberg,1,117300,0,0.0,0,1008543,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
33,34,Paul,Seedsman,1,392700,13,72.31,940,294733,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
34,35,Lachlan,Sholl,1,123900,0,0.0,0,1006136,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
35,36,Rory,Sloane,1,559300,22,103.0,2266,270963,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
36,37,Brodie,Smith,1,481300,22,88.64,1950,291748,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
37,38,Tyson,Stengle,1,202000,2,62.0,124,997230,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
38,39,Kieran,Strachan,1,123900,0,0.0,0,1008752,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}, {'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,RUC FWD,Adelaide
39,40,Daniel,Talia,1,377700,22,69.55,1530,280934,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
40,41,Taylor,Walker,1,365600,22,67.32,1481,280506,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
41,42,Patrick,Wilson,1,190100,1,50.0,50,295964,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
42,43,Joshua,Worrell,1,117300,0,0.0,0,1011981,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}, {'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,DEF FWD,Adelaide
43,44,Marcus,Adams,2,316300,8,58.25,466,294168,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
44,45,Callum,Ah Chee,2,311700,1,82.0,82,298437,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
45,46,Jacob,Allison,2,176800,2,46.5,93,998268,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
46,47,Harris,Andrews,2,449300,19,82.74,1572,996059,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
47,48,Noah,Answerth,2,336700,17,62.0,1054,1005053,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
48,49,Zac,Bailey,2,263200,13,48.46,630,1002312,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,DEF MID,Brisbane
49,50,Connor,Ballenden,2,123900,0,0.0,0,1002351,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
50,51,Jarrod,Berry,2,461300,18,84.94,1529,998133,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
51,52,Thomas,Berry,2,123900,0,0.0,0,1006100,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
52,53,Grant,Birchall,2,292700,3,77.0,231,240302,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
53,54,Charlie,Cameron,2,433200,22,79.77,1755,990609,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
54,55,Allen,Christensen,2,367800,11,67.73,745,280918,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
55,56,Keidean,Coleman,2,117300,0,0.0,0,1006059,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}, {'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,MID FWD,Brisbane
56,57,Cedric,Cox,2,167300,1,44.0,44,994047,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
57,58,Matt,Eagles,2,155800,0,0.0,0,290326,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
58,59,Cameron,Ellis-Yolmen,2,507200,10,93.4,934,293479,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
59,60,Thomas,Fullarton,2,123900,0,0.0,0,1013532,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
60,61,Darcy,Gardiner,2,363300,22,66.91,1472,296269,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
61,62,Mitchell,Hinge,2,210200,2,64.5,129,1004863,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
62,63,Eric,Hipwood,2,294000,21,54.14,1137,993953,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
63,64,Tom,Joyce,2,123900,0,0.0,0,1006150,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,FWD MID,Brisbane
64,65,Ryan,Lester,2,330000,9,60.78,547,291548,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
65,66,Corey,Lyons,2,102400,0,0.0,0,998105,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
66,67,Jarryd,Lyons,2,535400,22,98.59,2169,293716,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
67,68,James,Madden,2,123900,0,0.0,0,1013978,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}, {'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,DEF FWD,Brisbane
68,69,Stefan,Martin,2,501100,22,92.27,2030,280763,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",BRL,RUC,Brisbane
69,70,Rhys,Mathieson,2,325200,9,59.89,539,993828,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,FWD MID,Brisbane
70,71,Lincoln,McCarthy,2,357400,22,65.82,1448,293581,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
71,72,Hugh,McCluggage,2,510700,21,94.05,1975,1000978,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
72,73,Connor,McFadyen,2,123900,0,0.0,0,1006085,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
73,74,Oscar,McInerney,2,368400,19,67.84,1289,1005521,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}, {'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,RUC FWD,Brisbane
74,75,Daniel,McStay,2,305100,22,56.18,1236,297504,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
75,76,Lachie,Neale,2,658500,22,121.27,2668,293535,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
76,77,Jack,Payne,2,123900,0,0.0,0,1002347,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
77,78,Jaxon,Prior,2,117300,0,0.0,0,1009386,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
78,79,Cameron,Rayner,2,251800,22,46.36,1020,1002235,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
79,80,Daniel,Rich,2,525800,22,96.82,2130,271072,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
