,round,user_team_id,processed,player_id,player.feed_id,player.first_name,player.last_name,player.team.abbrev,dropped_player_id,dropped_player.feed_id,dropped_player.first_name,dropped_player.last_name,dropped_player.team.abbrev,source
0,2,720,2024-03-19T04:00:01+11:00,199,1015873,Archie,Perkins,ESS,181,298421,Jade,Gresham,ESS,Waiver
1,2,716,2024-03-19T04:00:01+11:00,530,280711,Charlie,Dixon,PTA,331,1004938,Gryan,Miers,GEE,Waiver
2,2,717,2024-03-19T04:00:01+11:00,434,296351,Jack,Billings,MEL,457,296420,Alex,Neal-Bullen,MEL,Waiver
3,2,719,2024-03-19T04:00:01+11:00,453,291533,Tom,McDonald,MEL,711,297899,James,Harmes,WBD,Waiver
4,2,714,2024-03-19T04:00:01+11:00,272,993799,Brayden,Fiorini,GCS,592,290627,Dion,Prestia,RIC,Waiver
5,2,715,2024-03-19T04:00:01+11:00,159,291856,Tom,Mitchell,COL,397,1008550,Will,Day,HAW,Waiver
6,2,718,2024-03-19T04:00:01+11:00,396,1005144,Massimo,D'Ambrosio,HAW,128,294685,Zac,Williams,CAR,Waiver
7,2,719,2024-03-19T04:00:01+11:00,306,1012805,Tanner,Bruhn,GEE,508,1006058,Bailey,Scott,NTH,Waiver
8,2,714,2024-03-19T04:00:01+11:00,712,294101,Jason,Johannisen,WBD,220,997033,Brennan,Cox,FRE,Waiver
9,2,718,2024-03-19T04:00:01+11:00,351,1014038,Callum M.,Brown,GWS,549,993979,Sam,Powell-Pepper,PTA,Waiver
10,2,719,2024-03-21T04:00:02+11:00,749,298268,Liam,Duggan,WCE,696,1000864,Lachlan,Bramble,WBD,Waiver
11,2,719,2024-03-22T04:00:01+11:00,696,1000864,Lachlan,Bramble,WBD,306,1012805,Tanner,Bruhn,GEE,Waiver
12,3,720,2024-03-25T04:00:01+11:00,517,1023477,George,Wardlaw,NTH,731,1009301,Jamarra,Ugle-Hagan,WBD,Waiver
13,3,713,2024-03-26T04:00:01+11:00,322,261510,Tom,Hawkins,GEE,421,1001024,Ned,Reeves,HAW,Waiver
14,3,716,2024-03-26T04:00:01+11:00,696,1000864,Lachlan,Bramble,WBD,648,295340,Mason,Wood,STK,Waiver
15,3,717,2024-03-26T04:00:01+11:00,47,1002312,Zac,Bailey,BRL,261,1006100,Thomas,Berry,GCS,Waiver
16,3,715,2024-03-26T04:00:01+11:00,562,1000223,Liam,Baker,RIC,256,998130,Ben,Ainsworth,GCS,Waiver
17,3,714,2024-03-26T04:00:01+11:00,87,296294,Blake,Acres,CAR,635,1020137,Mattaes,Phillipou,STK,Waiver
18,3,718,2024-03-26T04:00:01+11:00,543,1004998,Todd,Marshall,PTA,351,1014038,Callum M.,Brown,GWS,Waiver
19,3,719,2024-03-26T04:00:01+11:00,647,1023270,Marcus,Windhager,STK,523,250365,Travis,Boak,PTA,Waiver
20,3,716,2024-03-26T04:00:01+11:00,461,1008541,Kysaiah,Pickett,MEL,400,1012857,Jack,Ginnivan,HAW,Waiver
21,3,717,2024-03-26T04:00:01+11:00,677,1003203,Hayden,McLean,SYD,287,1021013,Ned,Moyle,GCS,Waiver
22,3,714,2024-03-26T04:00:01+11:00,343,292511,Zach,Tuohy,GEE,168,280965,Steele,Sidebottom,COL,Waiver
23,3,719,2024-03-26T04:00:01+11:00,508,1006058,Bailey,Scott,NTH,348,1009253,Lachie,Ash,GWS,Waiver
24,3,717,2024-03-26T04:00:01+11:00,306,1012805,Tanner,Bruhn,GEE,607,994599,Riley,Bonner,STK,Waiver
25,3,715,2024-03-28T04:00:01+11:00,434,296351,Jack,Billings,MEL,64,293716,Jarryd,Lyons,BRL,Waiver
26,4,720,2024-04-03T04:00:01+11:00,184,290629,Dyson,Heppell,ESS,181,298421,Jade,Gresham,ESS,Waiver
27,4,713,2024-04-03T04:00:01+11:00,457,296420,Alex,Neal-Bullen,MEL,335,1007102,Mark,O'Connor,GEE,Waiver
28,4,718,2024-04-03T04:00:01+11:00,357,1002251,Brent,Daniels,GWS,160,298288,Darcy,Moore,COL,Waiver
