,id,first_name,last_name,team_id,price,previous_games,previous_average,previous_total,feed_id,hs_url,active,positions,team,position,long_team
0,1,Sam,Berry,1,342800,18,63.61,1145,1012807,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
1,2,Hugh,Bond,1,225200,7,46.43,325,1023534,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
2,3,James,Borlase,1,335700,10,62.3,623,1009029,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
3,4,Chris,Burgess,1,237600,7,49.0,343,1000068,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
4,5,Jordon,Butts,1,290300,15,53.87,808,1004995,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
5,6,Brayden,Cook,1,265500,15,49.27,739,1018335,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
6,7,Matt,Crouch,1,568600,15,105.53,1583,297401,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
7,8,Isaac,Cumming,1,287700,4,66.75,267,1001396,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
8,9,Daniel,Curtin,1,158600,7,32.71,229,1024023,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
9,10,Jordan,Dawson,1,550300,22,102.14,2247,992242,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
10,11,Billy,Dowling,1,359800,9,66.78,601,1015329,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
11,12,Sid,Draper,1,190000,0,0.0,0,1022607,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
12,13,Charlie,Edwards,1,119900,0,0.0,0,1028671,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,DEF MID,Adelaide
13,14,Darcy,Fogarty,1,363800,23,67.52,1553,999331,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
14,15,Karl,Gallagher,1,119900,0,0.0,0,1035372,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
15,16,Mitchell,Hinge,1,503600,22,93.45,2056,1004863,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
16,17,Chayce,Jones,1,322000,16,59.75,956,1006203,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
17,18,Mark,Keane,1,419800,21,77.9,1636,1013974,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
18,19,Ben,Keays,1,436700,23,81.04,1864,993946,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
19,20,Rory,Laird,1,561100,23,104.13,2395,293222,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
20,21,Max,Michalanney,1,355400,23,65.96,1517,1015370,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
21,22,Wayne,Milera,1,254000,3,67.33,202,990882,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
22,23,Lachlan,Murphy,1,301700,17,56.0,952,1000998,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
23,24,Nick,Murray,1,292200,9,54.22,488,1008230,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
24,25,Toby,Murray,1,119900,0,0.0,0,1020950,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
25,26,Luke,Nankervis,1,382600,20,71.0,1420,1021031,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
26,27,Alex,Neal-Bullen,1,458500,23,85.09,1957,296420,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,FWD MID,Adelaide
27,28,Reilly,O'Brien,1,502700,21,93.29,1959,297523,,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",ADE,RUC,Adelaide
28,29,James,Peatling,1,352800,17,65.47,1113,1006013,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
29,30,Luke,Pedlar,1,150400,4,27.75,111,1012218,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
30,31,Josh,Rachele,1,343900,22,63.82,1404,1017051,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
31,32,Izak,Rankine,1,521600,15,96.8,1452,1001195,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
32,33,Oscar,Ryan,1,119900,0,0.0,0,1027893,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
33,34,Harry,Schoenberg,1,201500,4,46.75,187,1008543,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
34,35,Lachlan,Sholl,1,458500,20,85.1,1702,1006136,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
35,36,Brodie,Smith,1,343100,15,63.67,955,291748,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
36,37,Jake,Soligo,1,447900,23,83.13,1912,1017109,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,MID,Adelaide
37,38,Kieran,Strachan,1,223100,2,69.0,138,1008752,,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",ADE,RUC,Adelaide
38,39,Zac,Taylor,1,235300,9,43.67,393,1017065,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ADE,FWD MID,Adelaide
39,40,Riley,Thilthorpe,1,370600,7,76.43,535,1008384,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
40,41,Taylor,Walker,1,347200,18,64.44,1160,280506,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
41,42,Tyler,Welsh,1,113500,0,0.0,0,1022447,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ADE,FWD,Adelaide
42,43,Josh,Worrell,1,458000,13,85.0,1105,1011981,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ADE,DEF,Adelaide
43,44,Callum,Ah Chee,2,347300,22,64.45,1418,298437,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
44,45,Harris,Andrews,2,449400,22,83.41,1835,996059,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
45,46,Noah,Answerth,2,306700,12,56.92,683,1005053,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
46,47,Levi,Ashcroft,2,185500,0,0.0,0,1028560,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
47,48,Will,Ashcroft,2,441200,9,81.89,737,1023517,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
48,49,Zac,Bailey,2,379900,18,70.5,1269,1002312,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,FWD MID,Brisbane
49,50,Luke,Beecken,2,119900,0,0.0,0,1008805,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
50,51,Jarrod,Berry,2,449300,23,83.39,1918,998133,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
51,52,Shadeau,Brain,2,250300,9,46.44,418,1028105,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
52,53,Charlie,Cameron,2,314400,23,58.35,1342,990609,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
53,54,Keidean,Coleman,2,269100,1,37.0,37,1006059,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
54,55,Darcy,Craven,2,119900,0,0.0,0,1024193,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
55,56,Sam,Day,2,302600,5,70.2,351,291753,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
56,57,Tom,Doedee,2,256800,0,0.0,0,1000932,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
57,58,Josh,Dunkley,2,602300,23,111.78,2571,993834,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
58,59,Jaspa,Fletcher,2,346300,23,64.26,1478,1023708,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
59,60,Darcy,Fort,2,190500,2,50.5,101,298211,,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",BRL,RUC,Brisbane
60,61,Ty,Gallop,2,113500,0,0.0,0,1034411,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
61,62,Darcy,Gardiner,2,241100,7,49.71,348,296269,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
62,63,Eric,Hipwood,2,347000,20,64.4,1288,993953,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
63,64,Darragh,Joyce,2,247300,6,51.0,306,1003520,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
64,65,Ryan,Lester,2,384700,23,71.39,1642,291548,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",BRL,DEF,Brisbane
65,66,Luke,Lloyd,2,119900,0,0.0,0,1027985,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
66,67,Kai,Lohmann,2,379800,23,70.48,1621,1014026,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",BRL,FWD,Brisbane
67,68,Sam,Marshall,2,113500,0,0.0,0,1028520,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",BRL,MID,Brisbane
