round,next_round,fa_base_hits,fa_base_played,fa_base_pct,avg3_top20_hits,avg3_top20_played,avg3_top20_pct,new_nl_hits,new_nl_played,new_nl_pct,old_nl_hits,old_nl_played,old_nl_pct,avg5_nl_hits,avg5_nl_played,avg5_nl_pct,model_nl_hits,model_nl_played,model_nl_pct,model_top20_hits,model_top20_played,model_top20_pct,actual_nl_hits,actual_nl_played,actual_nl_pct
4,5,54,253,21.3,7,20,35.0,5,20,25.0,4,20,20.0,3,20,15.0,4,19,21.1,6,20,30.0,3,6,50.0
5,6,55,256,21.5,8,20,40.0,7,20,35.0,9,20,45.0,7,20,35.0,6,20,30.0,7,20,35.0,2,7,28.6
6,7,60,260,23.1,7,20,35.0,3,20,15.0,4,20,20.0,5,20,25.0,2,20,10.0,5,20,25.0,1,6,16.7
7,8,52,255,20.4,9,20,45.0,4,20,20.0,6,20,30.0,8,20,40.0,4,18,22.2,4,20,20.0,2,14,14.3
8,9,39,248,15.7,6,20,30.0,4,20,20.0,5,20,25.0,5,20,25.0,4,19,21.1,6,20,30.0,2,13,15.4
9,10,45,247,18.2,4,20,20.0,4,20,20.0,3,20,15.0,5,20,25.0,2,19,10.5,5,20,25.0,0,12,0.0
10,11,60,248,24.2,4,20,20.0,6,19,31.6,8,19,42.1,8,19,42.1,10,18,55.6,8,20,40.0,4,8,50.0
11,12,31,196,15.8,4,20,20.0,2,19,10.5,2,19,10.5,2,19,10.5,4,18,22.2,4,20,20.0,1,7,14.3
12,13,36,216,16.7,6,20,30.0,6,17,35.3,6,17,35.3,6,17,35.3,5,17,29.4,6,20,30.0,3,8,37.5
13,14,34,199,17.1,4,20,20.0,3,19,15.8,2,19,10.5,2,19,10.5,4,17,23.5,5,20,25.0,1,10,10.0
