year,round,target_round,strategy,listed,played,dnp,hits,bullseyes,misses,misses_rankable,misses_masked,def_played,def_hits,def_bulls,mid_played,mid_hits,mid_bulls,fwd_played,fwd_hits,fwd_bulls
2013,2,3,newsletter_current,30,30,0,13,10,16,15,1,10,2,2,10,6,4,10,5,4
2013,2,3,avg20,29,29,0,12,9,17,16,1,10,6,4,10,2,2,10,4,3
2013,2,3,avg5,30,30,0,13,10,16,15,1,10,2,2,10,6,4,10,5,4
2013,2,3,avg3,30,30,0,13,10,16,15,1,10,2,2,10,6,4,10,5,4
2013,2,3,ceiling_p100,29,27,2,13,10,16,15,1,9,4,3,10,4,3,9,5,4
2013,2,3,bayes_p80,29,28,1,10,6,20,19,1,10,5,3,10,2,1,9,3,2
2013,3,4,newsletter_current,30,30,0,15,5,15,13,2,10,4,2,10,4,0,10,7,3
2013,3,4,avg20,29,27,2,12,7,13,11,2,9,3,3,10,4,2,9,5,2
2013,3,4,avg5,30,30,0,15,5,15,13,2,10,4,2,10,4,0,10,7,3
2013,3,4,avg3,30,30,0,15,5,15,13,2,10,4,2,10,4,0,10,7,3
2013,3,4,ceiling_p100,29,26,3,9,2,18,16,2,9,1,0,9,3,1,9,5,1
2013,3,4,bayes_p80,29,27,2,10,6,14,12,2,10,2,2,9,3,1,9,5,3
2013,4,5,newsletter_current,30,29,1,13,4,16,14,2,10,3,0,9,3,1,10,7,3
2013,4,5,avg20,30,27,3,10,2,18,16,2,9,2,0,9,4,1,9,4,1
2013,4,5,avg5,30,29,1,13,4,16,14,2,10,3,0,9,3,1,10,7,3
2013,4,5,avg3,30,29,1,12,4,16,14,2,10,3,0,9,2,1,10,7,3
2013,4,5,ceiling_p100,30,25,5,11,2,18,16,2,8,2,0,8,3,1,9,6,1
2013,4,5,bayes_p80,30,26,4,9,3,17,15,2,10,4,1,8,2,1,8,3,1
2013,5,6,newsletter_current,30,28,2,15,5,18,17,1,10,4,2,9,6,2,9,5,1
2013,5,6,avg20,30,25,5,12,7,16,15,1,8,2,0,9,5,3,8,5,4
2013,5,6,avg5,30,28,2,15,5,18,17,1,10,4,2,9,6,2,9,5,1
2013,5,6,avg3,30,28,2,12,4,19,18,1,10,4,2,9,5,1,9,3,1
2013,5,6,ceiling_p100,30,24,6,11,4,19,18,1,8,3,1,7,3,1,9,5,2
2013,5,6,bayes_p80,30,23,7,12,4,19,18,1,8,2,0,8,6,2,7,4,2
2013,6,7,newsletter_current,29,26,3,8,4,19,18,1,10,3,1,9,1,1,8,4,2
2013,6,7,avg20,29,20,9,7,3,20,19,1,6,3,0,8,2,1,7,2,2
2013,6,7,avg5,29,26,3,8,4,19,18,1,10,3,1,9,1,1,8,4,2
2013,6,7,avg3,30,27,3,7,3,20,19,1,10,4,2,9,0,0,8,3,1
2013,6,7,ceiling_p100,29,23,6,9,5,18,17,1,6,3,1,9,4,2,9,2,2
2013,6,7,bayes_p80,30,24,6,11,5,18,17,1,7,4,1,9,3,1,8,4,3
2013,7,8,newsletter_current,28,25,3,13,8,16,16,0,9,6,2,10,4,3,8,4,4
2013,7,8,avg20,29,22,7,12,5,19,19,0,6,3,0,10,7,3,7,3,2
2013,7,8,avg5,28,25,3,13,8,16,16,0,9,6,2,10,4,3,8,4,4
2013,7,8,avg3,28,25,3,14,9,15,15,0,10,7,2,9,4,4,8,4,4
2013,7,8,ceiling_p100,27,22,5,10,8,16,16,0,8,3,2,8,4,3,9,4,4
2013,7,8,bayes_p80,29,23,6,11,4,20,20,0,6,3,0,10,5,2,8,3,2
2013,8,9,newsletter_current,27,25,2,13,6,12,11,1,9,6,1,10,5,3,9,2,2
2013,8,9,avg20,28,23,5,9,6,12,11,1,8,3,2,9,4,2,7,2,2
2013,8,9,avg5,27,25,2,13,6,12,11,1,9,6,1,10,5,3,9,2,2
2013,8,9,avg3,27,25,2,9,3,15,14,1,9,5,0,10,3,2,9,1,1
2013,8,9,ceiling_p100,26,20,6,9,6,12,11,1,8,2,2,7,3,1,8,4,3
2013,8,9,bayes_p80,26,24,2,8,4,14,13,1,10,4,2,9,2,1,8,2,1
2013,9,10,newsletter_current,27,21,6,9,3,13,11,2,9,3,1,8,4,1,7,4,3
2013,9,10,avg20,28,23,5,7,2,14,12,2,9,2,0,8,3,2,7,2,0
2013,9,10,avg5,26,21,5,9,3,13,11,2,9,3,1,8,4,1,8,4,3
2013,9,10,avg3,27,21,6,6,2,14,12,2,8,3,1,9,2,1,6,2,1
2013,9,10,ceiling_p100,26,17,9,7,2,14,12,2,8,2,0,5,3,2,6,3,1
2013,9,10,bayes_p80,26,21,5,7,2,14,12,2,9,2,0,8,3,2,6,3,0
2013,10,11,newsletter_current,28,17,11,4,3,11,11,0,5,1,1,7,2,1,7,3,3
2013,10,11,avg20,28,17,11,4,3,11,11,0,6,2,2,7,1,0,4,1,1
2013,10,11,avg5,26,16,10,3,3,11,11,0,5,1,1,6,1,1,8,3,3
2013,10,11,avg3,26,16,10,8,4,10,10,0,6,3,2,7,4,1,6,3,3
2013,10,11,ceiling_p100,25,15,10,5,2,12,12,0,6,3,1,5,2,1,7,2,2
2013,10,11,bayes_p80,27,13,14,4,3,11,11,0,5,2,2,4,1,0,4,1,1
2013,11,12,newsletter_current,27,17,10,6,4,5,4,1,6,1,1,7,4,2,5,1,1
2013,11,12,avg20,26,14,12,6,3,6,5,1,7,2,1,4,2,0,5,2,2
2013,11,12,avg5,26,14,12,5,3,6,5,1,5,1,1,6,3,1,4,1,1
2013,11,12,avg3,26,16,10,5,4,5,4,1,8,2,1,4,1,1,6,2,2
2013,11,12,ceiling_p100,25,7,18,2,2,7,6,1,4,1,1,1,0,0,4,1,1
2013,11,12,bayes_p80,26,13,13,6,3,6,5,1,6,2,1,4,3,1,5,2,2
2013,12,13,newsletter_current,25,17,8,10,5,11,9,2,7,4,2,7,5,3,6,3,1
2013,12,13,avg20,25,16,9,9,8,8,6,2,5,2,2,8,6,5,6,3,2
2013,12,13,avg5,25,15,10,9,5,11,9,2,6,3,2,6,4,2,5,3,1
2013,12,13,avg3,25,19,6,8,4,12,10,2,7,2,2,8,5,2,7,3,0
2013,12,13,ceiling_p100,23,18,5,9,7,9,7,2,7,3,2,8,6,5,7,3,2
2013,12,13,bayes_p80,26,21,5,13,9,7,5,2,8,4,2,9,7,7,8,5,2
2013,13,14,newsletter_current,24,22,2,11,6,20,16,4,9,6,3,10,5,4,8,3,1
2013,13,14,avg20,23,18,5,10,5,21,17,4,7,4,1,9,6,5,7,3,1
2013,13,14,avg5,25,23,2,12,6,20,16,4,9,6,3,10,5,3,8,3,1
2013,13,14,avg3,24,22,2,11,7,19,15,4,8,4,2,10,6,5,9,4,2
2013,13,14,ceiling_p100,23,20,3,10,4,22,18,4,8,3,1,9,5,3,7,4,1
2013,13,14,bayes_p80,26,20,6,10,4,22,18,4,6,3,1,10,5,4,8,4,1
2013,14,15,newsletter_current,26,25,1,14,8,22,20,2,9,4,3,10,7,4,10,6,3
2013,14,15,avg20,24,21,3,10,4,26,24,2,10,5,2,8,4,2,9,5,2
2013,14,15,avg5,26,25,1,14,8,22,20,2,9,4,3,10,7,4,10,6,3
2013,14,15,avg3,27,27,0,11,7,23,21,2,10,5,4,10,6,3,10,2,2
2013,14,15,ceiling_p100,25,24,1,10,4,26,24,2,10,4,1,9,4,2,10,5,3
2013,14,15,bayes_p80,26,19,7,10,5,25,23,2,7,4,3,8,5,2,8,5,3
2013,15,16,newsletter_current,26,24,2,13,5,16,13,3,9,4,1,9,4,1,10,7,5
2013,15,16,avg20,23,19,4,7,4,17,14,3,10,4,3,6,1,0,10,6,4
2013,15,16,avg5,26,23,3,12,4,17,14,3,9,4,1,9,4,1,9,6,4
2013,15,16,avg3,26,23,3,9,3,18,15,3,9,2,1,9,4,1,9,5,3
2013,15,16,ceiling_p100,24,22,2,9,6,15,12,3,10,5,3,8,1,1,10,5,4
2013,15,16,bayes_p80,24,20,4,8,3,18,15,3,10,4,2,7,2,0,9,5,3
