,fanfooty_player_id,fanfooty_afl_player_id,fanfooty_first_name,fanfooty_surname,fanfooty_team,fanfooty_status,fanfooty_number,fanfooty_birth_date,fanfooty_height,fanfooty_weight,fanfooty_state_of_origin,fanfooty_recruited_from,fanfooty_games,fanfooty_goals,short_team
3,43031,294472.0,Rory,Atkins,Adelaide,senior,21.0,1994-07-12,186.0,85.0,VIC,Calder Cannons,101.0,47.0,ADE
6,1011,980001.0,Nathan,Bassett,Adelaide,,8.0,1976-12-07,190.0,88.0,SA,Norwood,210.0,25.0,ADE
7,44021,295026.0,James,Battersby,Adelaide,,43.0,1995-11-07,177.0,78.0,SA,Sturt,,,ADE
8,46114,280974.0,Jonathon,Beech,Adelaide,,1.0,1990-11-09,187.0,85.0,SA,West Adelaide,3.0,1.0,ADE
9,623,990006.0,James,Begley,Adelaide,,28.0,1980-07-22,0.0,0.0,,,61.0,10.0,ADE
12,1146,200001.0,Rhett,Biglands,Adelaide,,35.0,1977-09-04,200.0,104.0,SA,Woodville-West Torrens,134.0,59.0,ADE
13,923,980091.0,Matthew,Bode,Adelaide,,10.0,1979-06-29,183.0,83.0,WA,Subiaco,108.0,96.0,ADE
17,42301,293193.0,Luke,Brown,Adelaide,senior,16.0,1992-09-22,181.0,81.0,SA,Norwood,161.0,13.0,ADE
19,241,990012.0,Brett,Burton,Adelaide,,24.0,1978-05-04,185.0,83.0,SA,Woodville-West Torrens,177.0,264.0,ADE
20,49119,1004995.0,Jordon,Butts,Adelaide,rookie,41.0,1999-12-31,198.0,83.0,VIC,Murray Bushrangers,,,ADE
21,42148,261857.0,Ian,Callinan,Adelaide,,37.0,1982-12-20,172.0,74.0,SA,Central District,31.0,49.0,ADE
22,39488,261654.0,Bryce,Campbell,Adelaide,,31.0,1984-09-07,181.0,81.0,SA,Norwood,8.0,1.0,ADE
25,39648,270215.0,Kyle,Cheney,Adelaide,,25.0,1989-08-25,188.0,89.0,VIC,North Ballarat Rebels,85.0,2.0,ADE
28,39609,270964.0,Myke,Cook,Adelaide,,8.0,1989-10-09,184.0,83.0,VIC,Sandringham Dragons,14.0,2.0,ADE
31,41048,280571.0,James,Craig,Adelaide,,30.0,1991-04-18,196.0,95.0,SA,North Adelaide,,,ADE
32,46036,993796.0,Ben,Crocker,Adelaide,rookie,20.0,1997-02-19,188.0,84.0,VIC,Oakleigh Chargers,32.0,25.0,ADE
33,42260,294307.0,Brad,Crouch,Adelaide,senior,2.0,1994-01-14,186.0,85.0,VIC,North Ballarat Rebels,91.0,33.0,ADE
34,44012,297401.0,Matt,Crouch,Adelaide,senior,5.0,1995-04-21,182.0,80.0,VIC,North Ballarat Rebels,119.0,26.0,ADE
36,47096,298417.0,Ben,Davis,Adelaide,senior,40.0,1997-05-19,187.0,85.0,NSW,UNSW,2.0,1.0,ADE
37,45130,991945.0,Harry,Dear,Adelaide,,38.0,1996-08-18,198.0,104.0,VIC,Sandringham Dragons,0.0,0.0,ADE
38,46081,1000932.0,Tom,Doedee,Adelaide,senior,39.0,1997-03-01,188.0,88.0,VIC,Geelong Falcons,30.0,2.0,ADE
39,40138,291200.0,Brian,Donnelly,Adelaide,,42.0,1988-07-21,191.0,87.0,,County Louth,,,ADE
40,976,200092.0,Michael,Doughty,Adelaide,,11.0,1979-08-05,179.0,81.0,SA,South Adelaide,207.0,44.0,ADE
41,2043,240370.0,Richard,Douglas,Adelaide,,26.0,1987-02-06,181.0,80.0,VIC,Calder Cannons,246.0,164.0,ADE
42,42347,296731.0,Ben,Dowdell,Adelaide,,44.0,1988-09-27,203.0,100.0,NSW,AIS,,,ADE
44,48065,999335.0,Jackson,Edwards,Adelaide,,19.0,1999-10-11,185.0,77.0,SA,Glenelg,0.0,0.0,ADE
45,1464,980002.0,Tyson,Edwards,Adelaide,,9.0,1976-08-06,178.0,81.0,SA,West Adelaide,321.0,192.0,ADE
50,48006,999331.0,Darcy,Fogarty,Adelaide,senior,32.0,1999-09-25,193.0,94.0,SA,Glenelg,19.0,22.0,ADE
51,45147,991773.0,Billy,Frampton,Adelaide,senior,22.0,1996-11-20,200.0,90.0,WA,South Fremantle,7.0,8.0,ADE
