fanfooty_player_id,fanfooty_afl_player_id,fanfooty_first_name,fanfooty_surname,fanfooty_team,fanfooty_status,fanfooty_number,fanfooty_birth_date,fanfooty_height,fanfooty_weight,fanfooty_state_of_origin,fanfooty_recruited_from,fanfooty_games,fanfooty_goals
"587","","Greg","Anderson","Adelaide","","","1966-05-14","0","0","","","162","79"
"1638","","Rowan","Andrews","Adelaide","","","0000-00-00","0","0","","","",""
"39562","0","Rhys","Archard","Adelaide","","","1990-06-07","183","83","WA","Subiaco","0","0"
"266","","Brodie","Atkinson","Adelaide","","","1972-07-31","0","0","","","7","1"
"10022","","Allan","Bartlett","Adelaide","","","1967-05-23","","","","","11","3"
"1011","980001","Nathan","Bassett","Adelaide","","8","1976-12-07","190","88","SA","Norwood","210","25"
"44021","295026","James","Battersby","Adelaide","","43","1995-11-07","177","78","SA","Sturt","",""
"46114","280974","Jonathon","Beech","Adelaide","","1","1990-11-09","187","85","SA","West Adelaide","3","1"
"623","990006","James","Begley","Adelaide","","28","1980-07-22","0","0","","","61","10"
"269","","Bryan","Beinke","Adelaide","","","1975-08-05","0","0","","","38","42"
"50128","1012807","Sam","Berry","Adelaide","senior","21","2002-02-12","181","81","VIC","Gippsland Power","17","5"
"866","","Mark","Bickley","Adelaide","","","1969-08-04","0","0","","","272","77"
"1146","200001","Rhett","Biglands","Adelaide","","35","1977-09-04","200","104","SA","Woodville-West Torrens","134","59"
"923","980091","Matthew","Bode","Adelaide","","10","1979-06-29","183","83","WA","Subiaco","108","96"
"2103","","Adrian","Bonaddio","Adelaide","","41","0000-00-00","0","0","","","",""
"1447","","Troy","Bond","Adelaide","","","1973-07-14","0","0","","","94","77"
"50220","1009029","James","Borlase","Adelaide","senior","35","2002-07-18","191","94","SA","Sturt","",""
"1368","","Stuart","Bown","Adelaide","","","1978-08-24","0","0","","","4","1"
"42301","293193","Luke","Brown","Adelaide","senior","16","1992-09-22","181","81","SA","Norwood","178","13"
"1189","","Ronnie","Burns","Adelaide","","","1973-03-13","0","0","","","154","262"
"241","990012","Brett","Burton","Adelaide","","24","1978-05-04","185","83","SA","Woodville-West Torrens","177","264"
"49119","1004995","Jordon","Butts","Adelaide","rookie","41","1999-12-31","198","83","VIC","Murray Bushrangers","24","0"
"42148","261857","Ian","Callinan","Adelaide","","37","1982-12-20","172","74","SA","Central District","31","49"
"39488","261654","Bryce","Campbell","Adelaide","","31","1984-09-07","181","81","SA","Norwood","8","1"
"1472","","Wayne","Carey","Adelaide","","","1971-05-27","0","0","","","272","727"
"1109","","Peter","Caven","Adelaide","","","1970-05-16","0","0","","","139","55"
"39648","270215","Kyle","Cheney","Adelaide","","25","1989-08-25","188","89","VIC","North Ballarat Rebels","85","2"
"759","","Justin","Cicolella","Adelaide","","","1978-09-12","0","0","","","5","1"
"932","","Matthew","Connell","Adelaide","","","1972-08-03","0","0","","","99","28"
"50125","1018335","Brayden","Cook","Adelaide","senior","15","2002-07-18","189","80","SA","South Adelaide","3","0"
"39609","270964","Myke","Cook","Adelaide","","8","1989-10-09","184","83","VIC","Sandringham Dragons","14","2"
