,player_id,trade_status,user_team_id,feed_id,first_name,last_name,team,position,round,points,price,total_points,games,total_games,price_change,total_price_change,last_position,round_position,minutes_played,total_minutes_played,updated_at,kicks,total_kicks,handballs,total_handballs,marks,total_marks,tackles,total_tackles,freekicks_for,total_freekicks_for,freekicks_against,total_freekicks_against,hitouts,total_hitouts,goals,total_goals,behinds,total_behinds,avg5,own_raw,avg,avg3,opp,oppavg,opph,opp1,opp1h,opp2,opp2h,opp3,opp3h,ven,venavg,ven1,ven2,ven3,livepts,livegames,owned,points_per_min,total_points_per_min,mvp_value,position_change
3,459,free_agent,,298210,Christian,Petracca,MEL,238,24,0,519000,1342,0,13,0,-148700,226,415,0,1238,2024-08-25T11:36:30+10:00,0,148,0,156,0,58,0,39,0,9,0,-6,0,0,0,14,0,12,97.2,2504,103.231,88.3333,COL,95.5,0,,0,,0,,0,Melbourne Cricket Ground,95.6292,,,,0,0,62.057,,1.0840064620355412,5027.559550910095,-12
39,101,free_agent,,295518,Sam,Docherty,CAR,647,24,0,562200,25,0,1,0,0,645,415,0,44,2024-08-25T11:36:31+10:00,0,9,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1295,25.0,0.0,STK,100.7,0,,0,,0,,0,Docklands Stadium,101.6,,,,0,0,32.0942,,0.5681818181818182,22488.0,-2
43,719,free_agent,,295467,Jack,Macrae,WBD,244,24,112,311400,1310,1,18,-9400,-247000,259,44,99,1562,2024-08-25T11:36:28+10:00,8,143,15,199,2,64,7,59,1,13,-1,-6,0,0,0,5,0,2,63.2,2772,72.7778,55.6667,GWS,104.059,0,,0,,0,,0,Eureka Stadium,131.5,,,,0,0,68.6989,1.1313131313131313,0.8386683738796414,4278.777319457307,15
50,99,free_agent,,996731,Charlie,Curnow,CAR,122,24,0,395900,1731,0,21,0,-149400,106,415,0,2393,2024-08-25T11:36:30+10:00,0,214,0,40,0,125,0,20,0,30,0,-13,0,0,0,57,0,41,72.8,3737,82.4286,56.3333,STK,73.1429,0,,0,,0,,0,Docklands Stadium,86.5778,,,,0,0,92.6146,,0.7233597994149603,4802.944609031331,-16
52,615,free_agent,,294307,Brad,Crouch,STK,626,24,0,545000,56,0,1,0,0,622,415,0,78,2024-08-25T11:36:31+10:00,0,6,0,9,0,2,0,4,0,1,0,0,0,0,0,0,0,0,56.0,1253,56.0,56.0,CAR,88.75,1,,0,,0,,0,Docklands Stadium,93.7317,,,,0,0,31.0533,,0.717948717948718,9732.142857142857,-4
59,180,free_agent,,271129,Todd,Goldstein,ESS,331,24,0,421600,980,0,14,0,-111800,321,415,0,1259,2024-08-25T11:36:30+10:00,0,44,0,99,0,25,0,26,0,26,0,-18,0,344,0,2,0,1,77.6,1501,70.0,78.3333,BRL,97.6818,1,,0,,0,,0,Brisbane Cricket Ground,91.8462,,,,0,0,37.1995,,0.778395552025417,6022.857142857143,-10
60,202,free_agent,,1001026,Jordan,Ridley,ESS,349,24,0,521100,923,0,9,0,-9200,337,415,0,956,2024-08-25T11:36:30+10:00,0,144,0,51,0,73,0,10,0,3,0,-2,0,0,0,1,0,0,90.8,3173,102.556,87.3333,BRL,79.4,1,,0,,0,,0,Brisbane Cricket Ground,82.6,,,,0,0,78.6369,,0.9654811715481172,5081.12640898631,-12
61,640,free_agent,,296205,Jack,Steele,STK,19,24,89,563500,2498,1,23,-2800,34000,19,126,110,2333,2024-08-25T11:36:29+10:00,11,259,9,298,5,131,6,169,0,27,0,-23,0,0,0,8,0,4,112.0,3738,108.609,108.333,CAR,105.9,1,,0,,0,,0,Docklands Stadium,103.849,,,,0,0,92.6394,0.8090909090909091,1.070724389198457,5188.336141572062,0
62,159,free_agent,,291856,Tom,Mitchell,COL,472,24,0,503000,489,0,6,0,-26000,460,415,0,509,2024-08-25T11:36:30+10:00,0,37,0,83,0,11,0,40,0,11,0,-7,0,0,0,1,0,1,86.0,1481,81.5,87.0,MEL,104.3,1,,0,,0,,0,Melbourne Cricket Ground,108.23,,,,0,0,36.7038,,0.9607072691552063,6171.7791411042945,-12
70,703,free_agent,,295136,Caleb,Daniel,WBD,395,24,107,252800,749,1,15,57900,-266000,414,58,104,1040,2024-08-25T11:36:28+10:00,11,109,12,92,4,39,3,27,1,7,0,-2,0,0,1,2,0,3,54.8,1438,49.9333,80.3333,GWS,81.1818,0,,0,,0,,0,Eureka Stadium,79.75,,,,0,0,35.6382,1.0288461538461537,0.7201923076923077,5062.753713453747,19
