,round,coach_id,coach_team_id,coach_first_name,coach_team_name,wins,draws,losses,points_for,points_against,league_points,position
0,1,71052,716,James,The Gulden Girls,1,0,0,1946,1559,4,1
0,1,300791,713,Paul,Toby or Not To Be,1,0,0,1884,1640,4,2
0,1,45168,719,Luke,He is HIMmelberg,1,0,0,1872,1682,4,3
0,1,8258,718,Simon,Wilkie Wonka,1,0,0,1819,1529,4,4
0,1,180650,720,Jordan,StupidSexyFlanders,0,0,1,1682,1872,0,5
0,1,21562,714,Mark,Need for Sheed,0,0,1,1640,1884,0,6
0,1,10857,715,Anthony,Colonel Sanders,0,0,1,1559,1946,0,7
0,1,86078,717,Lester,Baby Got Trac,0,0,1,1529,1819,0,8
0,2,300791,713,Paul,Toby or Not To Be,2,0,0,3735,3236,8,1
0,2,71052,716,James,The Gulden Girls,2,0,0,3606,3062,8,2
0,2,8258,718,Simon,Wilkie Wonka,2,0,0,3502,3050,8,3
0,2,45168,719,Luke,He is HIMmelberg,1,0,1,3375,3342,4,4
0,2,86078,717,Lester,Baby Got Trac,1,0,1,3166,3402,4,5
0,2,21562,714,Mark,Need for Sheed,0,0,2,3223,3521,0,6
0,2,180650,720,Jordan,StupidSexyFlanders,0,0,2,3203,3555,0,7
0,2,10857,715,Anthony,Colonel Sanders,0,0,2,3155,3797,0,8
0,3,71052,716,James,The Gulden Girls,3,0,0,5405,4776,12,1
0,3,300791,713,Paul,Toby or Not To Be,3,0,0,5400,4422,12,2
0,3,8258,718,Simon,Wilkie Wonka,2,0,1,5216,4849,8,3
0,3,45168,719,Luke,He is HIMmelberg,2,0,1,5181,5050,8,4
0,3,21562,714,Mark,Need for Sheed,1,0,2,4927,5087,4,5
0,3,86078,717,Lester,Baby Got Trac,1,0,2,4352,5067,4,6
0,3,10857,715,Anthony,Colonel Sanders,0,0,3,4863,5603,0,7
0,3,180650,720,Jordan,StupidSexyFlanders,0,0,3,4769,5259,0,8
0,4,300791,713,Paul,Toby or Not To Be,4,0,0,7113,6089,16,1
0,4,71052,716,James,The Gulden Girls,3,0,1,7031,6444,12,2
0,4,8258,718,Simon,Wilkie Wonka,2,0,2,6959,6646,8,3
0,4,45168,719,Luke,He is HIMmelberg,2,0,2,6848,6763,8,4
0,4,21562,714,Mark,Need for Sheed,2,0,2,6595,6713,8,5
0,4,180650,720,Jordan,StupidSexyFlanders,1,0,3,6716,6951,4,6
0,4,10857,715,Anthony,Colonel Sanders,1,0,3,6660,7346,4,7
0,4,86078,717,Lester,Baby Got Trac,1,0,3,6044,7014,4,8
0,5,300791,713,Paul,Toby or Not To Be,4,0,1,8872,8040,16,1
0,5,71052,716,James,The Gulden Girls,3,0,2,8487,8069,12,2
0,5,45168,719,Luke,He is HIMmelberg,3,0,2,8454,8169,12,3
0,5,180650,720,Jordan,StupidSexyFlanders,2,0,3,8667,8710,8,4
0,5,10857,715,Anthony,Colonel Sanders,2,0,3,8470,9130,8,5
0,5,21562,714,Mark,Need for Sheed,2,0,3,8379,8523,8,6
0,5,8258,718,Simon,Wilkie Wonka,2,0,3,8365,8252,8,7
0,5,86078,717,Lester,Baby Got Trac,2,0,3,7669,8470,8,8
0,6,300791,713,Paul,Toby or Not To Be,4,0,2,10500,9713,16,1
0,6,45168,719,Luke,He is HIMmelberg,4,0,2,10313,10000,16,2
0,6,180650,720,Jordan,StupidSexyFlanders,3,0,3,10481,10167,12,3
0,6,10857,715,Anthony,Colonel Sanders,3,0,3,10323,10546,12,4
0,6,8258,718,Simon,Wilkie Wonka,3,0,3,10038,9880,12,5
0,6,71052,716,James,The Gulden Girls,3,0,3,9944,9883,12,6
0,6,21562,714,Mark,Need for Sheed,2,0,4,10210,10382,8,7
0,6,86078,717,Lester,Baby Got Trac,2,0,4,9085,10323,8,8
0,7,300791,713,Paul,Toby or Not To Be,5,0,2,12512,11558,20,1
0,7,45168,719,Luke,He is HIMmelberg,5,0,2,12225,11787,20,2
0,7,180650,720,Jordan,StupidSexyFlanders,4,0,3,12253,11729,16,3
0,7,8258,718,Simon,Wilkie Wonka,4,0,3,11827,11393,16,4
0,7,10857,715,Anthony,Colonel Sanders,3,0,4,11885,12318,12,5
0,7,71052,716,James,The Gulden Girls,3,0,4,11789,11895,12,6
0,7,21562,714,Mark,Need for Sheed,2,0,5,11723,12171,8,7
0,7,86078,717,Lester,Baby Got Trac,2,0,5,10872,12235,8,8
0,8,300791,713,Paul,Toby or Not To Be,6,0,2,14326,13304,24,1
0,8,180650,720,Jordan,StupidSexyFlanders,5,0,3,14062,13477,20,2
0,8,45168,719,Luke,He is HIMmelberg,5,0,3,13973,13596,20,3
0,8,10857,715,Anthony,Colonel Sanders,4,0,4,13745,13909,16,4
0,8,8258,718,Simon,Wilkie Wonka,4,0,4,13414,13096,16,5
0,8,71052,716,James,The Gulden Girls,3,0,5,13380,13755,12,6
0,8,86078,717,Lester,Baby Got Trac,3,0,5,12575,13822,12,7
0,8,21562,714,Mark,Need for Sheed,2,0,6,13469,13985,8,8
0,9,300791,713,Paul,Toby or Not To Be,7,0,2,16280,15170,28,1
0,9,45168,719,Luke,He is HIMmelberg,6,0,3,15738,15305,24,2
0,9,180650,720,Jordan,StupidSexyFlanders,5,0,4,15872,15298,20,3
0,9,8258,718,Simon,Wilkie Wonka,5,0,4,15235,14906,20,4
0,9,10857,715,Anthony,Colonel Sanders,4,0,5,15611,15863,16,5
0,9,21562,714,Mark,Need for Sheed,3,0,6,15151,15552,12,6
0,9,71052,716,James,The Gulden Girls,3,0,6,15089,15520,12,7
0,9,86078,717,Lester,Baby Got Trac,3,0,6,14142,15504,12,8
0,10,300791,713,Paul,Toby or Not To Be,8,0,2,18149,16924,32,1
0,10,45168,719,Luke,He is HIMmelberg,7,0,3,17587,17070,28,2
0,10,180650,720,Jordan,StupidSexyFlanders,6,0,4,17776,17163,24,3
0,10,8258,718,Simon,Wilkie Wonka,6,0,4,17009,16447,24,4
0,10,10857,715,Anthony,Colonel Sanders,4,0,6,17376,17712,16,5
0,10,21562,714,Mark,Need for Sheed,3,0,7,17016,17456,12,6
0,10,71052,716,James,The Gulden Girls,3,0,7,16630,17294,12,7
0,10,86078,717,Lester,Baby Got Trac,3,0,7,15896,17373,12,8
