,round_x,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points_x,on_field,feed_id,first_name,last_name,team,position,round_y,points_y,price,total_points,games,total_games,price_change,total_price_change,last_position,round_position,minutes_played,total_minutes_played,updated_at,kicks,total_kicks,handballs,total_handballs,marks,total_marks,tackles,total_tackles,freekicks_for,total_freekicks_for,freekicks_against,total_freekicks_against,hitouts,total_hitouts,goals,total_goals,behinds,total_behinds,avg5,own_raw,avg,avg3,opp,oppavg,opph,opp1,opp1h,opp2,opp2h,opp3,opp3h,ven,venavg,ven1,ven2,ven3,livepts,livegames,owned,points_per_min,total_points_per_min,mvp_value,position_change,round_number_alt,source
0,1.0,71052.0,716.0,James,The Gulden Girls,590.0,RUC,137.0,True,298174,Toby,Nankervis,RIC,36.0,24.0,106.0,556700.0,2315.0,1.0,21.0,-20800.0,-26400.0,35.0,63.0,95.0,2066.0,2024-08-25T11:36:28+10:00,6.0,162.0,9.0,174.0,4.0,69.0,6.0,111.0,1.0,33.0,-1.0,-36.0,21.0,684.0,0.0,2.0,0.0,6.0,100.0,3682.0,110.238,97.3333,GCS,69.6667,0.0,,0,,0,,0,Melbourne Cricket Ground,96.9178,,,,0.0,0.0,91.2515,1.1157894736842104,1.1205227492739593,5049.982764563943,-1.0,R1,Draft
1,2.0,71052.0,716.0,James,The Gulden Girls,590.0,RUC,96.0,True,298174,Toby,Nankervis,RIC,36.0,24.0,106.0,556700.0,2315.0,1.0,21.0,-20800.0,-26400.0,35.0,63.0,95.0,2066.0,2024-08-25T11:36:28+10:00,6.0,162.0,9.0,174.0,4.0,69.0,6.0,111.0,1.0,33.0,-1.0,-36.0,21.0,684.0,0.0,2.0,0.0,6.0,100.0,3682.0,110.238,97.3333,GCS,69.6667,0.0,,0,,0,,0,Melbourne Cricket Ground,96.9178,,,,0.0,0.0,91.2515,1.1157894736842104,1.1205227492739593,5049.982764563943,-1.0,R2,Draft
2,3.0,71052.0,716.0,James,The Gulden Girls,590.0,RUC,73.0,True,298174,Toby,Nankervis,RIC,36.0,24.0,106.0,556700.0,2315.0,1.0,21.0,-20800.0,-26400.0,35.0,63.0,95.0,2066.0,2024-08-25T11:36:28+10:00,6.0,162.0,9.0,174.0,4.0,69.0,6.0,111.0,1.0,33.0,-1.0,-36.0,21.0,684.0,0.0,2.0,0.0,6.0,100.0,3682.0,110.238,97.3333,GCS,69.6667,0.0,,0,,0,,0,Melbourne Cricket Ground,96.9178,,,,0.0,0.0,91.2515,1.1157894736842104,1.1205227492739593,5049.982764563943,-1.0,R3,Draft
3,4.0,71052.0,716.0,James,The Gulden Girls,590.0,RUC,133.0,True,298174,Toby,Nankervis,RIC,36.0,24.0,106.0,556700.0,2315.0,1.0,21.0,-20800.0,-26400.0,35.0,63.0,95.0,2066.0,2024-08-25T11:36:28+10:00,6.0,162.0,9.0,174.0,4.0,69.0,6.0,111.0,1.0,33.0,-1.0,-36.0,21.0,684.0,0.0,2.0,0.0,6.0,100.0,3682.0,110.238,97.3333,GCS,69.6667,0.0,,0,,0,,0,Melbourne Cricket Ground,96.9178,,,,0.0,0.0,91.2515,1.1157894736842104,1.1205227492739593,5049.982764563943,-1.0,R4,Draft
4,5.0,71052.0,716.0,James,The Gulden Girls,590.0,RUC,87.0,True,298174,Toby,Nankervis,RIC,36.0,24.0,106.0,556700.0,2315.0,1.0,21.0,-20800.0,-26400.0,35.0,63.0,95.0,2066.0,2024-08-25T11:36:28+10:00,6.0,162.0,9.0,174.0,4.0,69.0,6.0,111.0,1.0,33.0,-1.0,-36.0,21.0,684.0,0.0,2.0,0.0,6.0,100.0,3682.0,110.238,97.3333,GCS,69.6667,0.0,,0,,0,,0,Melbourne Cricket Ground,96.9178,,,,0.0,0.0,91.2515,1.1157894736842104,1.1205227492739593,5049.982764563943,-1.0,R5,Draft
5,6.0,71052.0,716.0,James,The Gulden Girls,590.0,RUC,0.0,False,298174,Toby,Nankervis,RIC,36.0,24.0,106.0,556700.0,2315.0,1.0,21.0,-20800.0,-26400.0,35.0,63.0,95.0,2066.0,2024-08-25T11:36:28+10:00,6.0,162.0,9.0,174.0,4.0,69.0,6.0,111.0,1.0,33.0,-1.0,-36.0,21.0,684.0,0.0,2.0,0.0,6.0,100.0,3682.0,110.238,97.3333,GCS,69.6667,0.0,,0,,0,,0,Melbourne Cricket Ground,96.9178,,,,0.0,0.0,91.2515,1.1157894736842104,1.1205227492739593,5049.982764563943,-1.0,R6,Draft
6,7.0,71052.0,716.0,James,The Gulden Girls,590.0,RUC,120.0,True,298174,Toby,Nankervis,RIC,36.0,24.0,106.0,556700.0,2315.0,1.0,21.0,-20800.0,-26400.0,35.0,63.0,95.0,2066.0,2024-08-25T11:36:28+10:00,6.0,162.0,9.0,174.0,4.0,69.0,6.0,111.0,1.0,33.0,-1.0,-36.0,21.0,684.0,0.0,2.0,0.0,6.0,100.0,3682.0,110.238,97.3333,GCS,69.6667,0.0,,0,,0,,0,Melbourne Cricket Ground,96.9178,,,,0.0,0.0,91.2515,1.1157894736842104,1.1205227492739593,5049.982764563943,-1.0,R7,Draft
7,8.0,71052.0,716.0,James,The Gulden Girls,590.0,RUC,69.0,True,298174,Toby,Nankervis,RIC,36.0,24.0,106.0,556700.0,2315.0,1.0,21.0,-20800.0,-26400.0,35.0,63.0,95.0,2066.0,2024-08-25T11:36:28+10:00,6.0,162.0,9.0,174.0,4.0,69.0,6.0,111.0,1.0,33.0,-1.0,-36.0,21.0,684.0,0.0,2.0,0.0,6.0,100.0,3682.0,110.238,97.3333,GCS,69.6667,0.0,,0,,0,,0,Melbourne Cricket Ground,96.9178,,,,0.0,0.0,91.2515,1.1157894736842104,1.1205227492739593,5049.982764563943,-1.0,R8,Draft
8,9.0,71052.0,716.0,James,The Gulden Girls,590.0,RUC,89.0,True,298174,Toby,Nankervis,RIC,36.0,24.0,106.0,556700.0,2315.0,1.0,21.0,-20800.0,-26400.0,35.0,63.0,95.0,2066.0,2024-08-25T11:36:28+10:00,6.0,162.0,9.0,174.0,4.0,69.0,6.0,111.0,1.0,33.0,-1.0,-36.0,21.0,684.0,0.0,2.0,0.0,6.0,100.0,3682.0,110.238,97.3333,GCS,69.6667,0.0,,0,,0,,0,Melbourne Cricket Ground,96.9178,,,,0.0,0.0,91.2515,1.1157894736842104,1.1205227492739593,5049.982764563943,-1.0,R9,Draft
9,10.0,71052.0,716.0,James,The Gulden Girls,590.0,RUC,105.0,True,298174,Toby,Nankervis,RIC,36.0,24.0,106.0,556700.0,2315.0,1.0,21.0,-20800.0,-26400.0,35.0,63.0,95.0,2066.0,2024-08-25T11:36:28+10:00,6.0,162.0,9.0,174.0,4.0,69.0,6.0,111.0,1.0,33.0,-1.0,-36.0,21.0,684.0,0.0,2.0,0.0,6.0,100.0,3682.0,110.238,97.3333,GCS,69.6667,0.0,,0,,0,,0,Melbourne Cricket Ground,96.9178,,,,0.0,0.0,91.2515,1.1157894736842104,1.1205227492739593,5049.982764563943,-1.0,R10,Draft
