,player_id,trade_status,user_team_id,waiver_until,feed_id,first_name,last_name,team,position,round,points,price,total_points,games,total_games,price_change,total_price_change,last_position,round_position,minutes_played,total_minutes_played,updated_at,kicks,total_kicks,handballs,total_handballs,marks,total_marks,tackles,total_tackles,freekicks_for,total_freekicks_for,freekicks_against,total_freekicks_against,hitouts,total_hitouts,goals,total_goals,behinds,total_behinds,avg5,own_raw,avg,avg3,opp,oppavg,opph,opp1,opp1h,opp2,opp2h,opp3,opp3h,ven,venavg,ven1,ven2,ven3,owned,points_per_min,total_points_per_min,mvp_value,position_change
25,667,free_agent,,,1013128,Errol,Gulden,SYD,0,6,0,581900,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:16+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3690,0.0,0.0,PTA,81.0,0,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",1,"{'id': 18, 'abbrev': 'GWS', 'name': 'GWS Giants'}",0,"{'id': 5, 'abbrev': 'ESS', 'name': 'Essendon'}",1,Sydney Cricket Ground,100.703,"{'id': 5, 'name': 'Carrara Stadium', 'display_name': 'People First Stadium', 'short_name': 'People First', 'abbrev': 'PFS'}","{'id': 16, 'name': 'Sydney Cricket Ground', 'display_name': 'SCG', 'short_name': 'SCG', 'abbrev': 'SCG'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}",83.8636,,,,
35,778,free_agent,,,292128,Elliot,Yeo,WCE,0,6,0,564700,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:17+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2463,0.0,0.0,ESS,88.5833,0,"{'id': 8, 'abbrev': 'HAW', 'name': 'Hawthorn'}",1,"{'id': 10, 'abbrev': 'MEL', 'name': 'Melbourne'}",0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",1,Perth Stadium,98.8364,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",55.9773,,,,
47,118,free_agent,,,297907,Nic,Newman,CAR,0,6,0,546800,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:15+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1090,0.0,0.0,NTH,86.0,1,"{'id': 7, 'abbrev': 'GEE', 'name': 'Geelong'}",0,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",1,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,Docklands Stadium,91.0,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",24.7727,,,,
67,762,waiver,116859.0,2025-04-17T04:00:00+10:00,295898,Tim,Kelly,WCE,0,6,0,462700,296,0,4,0,-51600,254,0,0,404,2025-04-13T12:26:13+10:00,0,37,0,38,0,11,0,13,0,0,0,-4,0,0,0,0,0,3,74.0,2591,74.0,80.0,ESS,80.0,0,"{'id': 8, 'abbrev': 'HAW', 'name': 'Hawthorn'}",1,"{'id': 10, 'abbrev': 'MEL', 'name': 'Melbourne'}",0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",1,Perth Stadium,94.6274,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",58.8864,,0.7326732673267327,6252.7027027027025,
75,88,free_agent,,,296294,Blake,Acres,CAR,0,6,0,386900,237,0,4,0,-113700,322,0,0,425,2025-04-13T12:26:13+10:00,0,41,0,35,0,14,0,14,0,6,0,-3,0,0,0,1,0,0,59.25,2135,59.25,59.0,NTH,79.1667,1,"{'id': 7, 'abbrev': 'GEE', 'name': 'Geelong'}",0,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",1,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,Docklands Stadium,78.7164,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",48.5227,,0.5576470588235294,6529.957805907173,
83,398,free_agent,,,1008550,Will,Day,HAW,0,6,0,483900,404,0,4,0,-7400,109,0,0,394,2025-04-13T12:26:12+10:00,0,49,0,43,0,13,0,17,0,11,0,-7,0,0,0,5,0,4,101.0,2641,101.0,85.3333,GEE,105.0,1,"{'id': 16, 'abbrev': 'WCE', 'name': 'West Coast'}",0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",0,"{'id': 10, 'abbrev': 'MEL', 'name': 'Melbourne'}",1,Melbourne Cricket Ground,78.9615,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",60.0227,,1.0253807106598984,4791.089108910891,
84,101,free_agent,,,295518,Sam,Docherty,CAR,0,6,0,414100,358,0,5,0,-73800,164,0,0,466,2025-04-13T12:26:12+10:00,0,60,0,31,0,22,0,21,0,3,0,-1,0,0,0,1,0,2,71.6,2053,71.6,72.6667,NTH,92.75,1,"{'id': 7, 'abbrev': 'GEE', 'name': 'Geelong'}",0,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",1,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,Docklands Stadium,100.891,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",46.6591,,0.7682403433476395,5783.519553072626,
88,121,waiver,116859.0,2025-04-17T04:00:00+10:00,298290,Marc,Pittonet,CAR,0,6,0,484100,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:15+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1183,0.0,0.0,NTH,65.0,1,"{'id': 7, 'abbrev': 'GEE', 'name': 'Geelong'}",0,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",1,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,Docklands Stadium,83.6111,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",26.8864,,,,
93,289,waiver,116887.0,2025-04-17T04:00:00+10:00,1007881,Wil,Powell,GCS,0,6,0,420400,267,0,4,0,-56800,284,0,0,453,2025-04-13T12:26:13+10:00,0,29,0,27,0,17,0,8,0,1,0,-6,0,0,0,0,0,1,66.75,1978,66.75,71.0,RIC,78.7143,1,"{'id': 14, 'abbrev': 'SYD', 'name': 'Sydney'}",0,"{'id': 2, 'abbrev': 'BRL', 'name': 'Brisbane'}",1,"{'id': 15, 'abbrev': 'WBD', 'name': 'Western Bulldogs'}",0,Docklands Stadium,82.7692,"{'id': 5, 'name': 'Carrara Stadium', 'display_name': 'People First Stadium', 'short_name': 'People First', 'abbrev': 'PFS'}","{'id': 4, 'name': 'Brisbane Cricket Ground', 'display_name': 'Gabba', 'short_name': 'Gabba', 'abbrev': 'G'}","{'id': 12, 'name': 'Marrara Oval', 'display_name': 'TIO Stadium', 'short_name': 'TIO', 'abbrev': 'TIO'}",44.9545,,0.5894039735099338,6298.12734082397,
94,501,free_agent,,,1024272,Colby,McKercher,NTH,0,6,0,379400,294,0,5,0,-97500,259,0,0,487,2025-04-13T12:26:13+10:00,0,51,0,32,0,19,0,8,0,0,0,-3,0,0,0,2,0,1,58.8,2483,58.8,57.3333,CAR,84.0,0,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",1,"{'id': 5, 'abbrev': 'ESS', 'name': 'Essendon'}",1,"{'id': 2, 'abbrev': 'BRL', 'name': 'Brisbane'}",0,Docklands Stadium,88.0,"{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 226, 'name': 'Ninja Stadium', 'display_name': 'Ninja Stadium', 'short_name': 'Ninja', 'abbrev': 'NIN'}",56.4318,,0.6036960985626283,6452.380952380952,
