,player_id,trade_status,user_team_id,waiver_until,feed_id,first_name,last_name,team,position,round,points,price,total_points,games,total_games,price_change,total_price_change,last_position,round_position,minutes_played,total_minutes_played,updated_at,kicks,total_kicks,handballs,total_handballs,marks,total_marks,tackles,total_tackles,freekicks_for,total_freekicks_for,freekicks_against,total_freekicks_against,hitouts,total_hitouts,goals,total_goals,behinds,total_behinds,avg5,own_raw,avg,avg3,opp,oppavg,opph,opp1,opp1h,opp2,opp2h,opp3,opp3h,ven,venavg,ven1,ven2,ven3,owned,points_per_min,total_points_per_min,mvp_value,position_change,coach_id,coach_team_id,coach_first_name,coach_team_name
0,695,owner,116970.0,,297373,Marcus,Bontempelli,WBD,0,6,0,681000,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:17+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4336,0.0,0.0,STK,108.154,0,"{'id': 18, 'abbrev': 'GWS', 'name': 'GWS Giants'}",1,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",0,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",1,Docklands Stadium,110.959,"{'id': 11, 'name': 'Manuka Oval', 'display_name': 'Manuka Oval', 'short_name': 'Manuka', 'abbrev': 'MO'}","{'id': 55, 'name': 'Eureka Stadium', 'display_name': 'Mars Stadium', 'short_name': 'Mars', 'abbrev': 'MARS'}","{'id': 12, 'name': 'Marrara Oval', 'display_name': 'TIO Stadium', 'short_name': 'TIO', 'abbrev': 'TIO'}",98.5455,,,,,21562,116970,Mark,Sheez Nutz
1,441,owner,116887.0,,290528,Max,Gawn,MEL,0,6,0,582000,551,0,5,0,-86900,16,0,0,529,2025-04-13T12:26:12+10:00,0,40,0,47,0,18,0,11,0,10,0,-8,0,186,0,0,0,3,110.2,4379,110.2,118.333,FRE,104.846,0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",0,"{'id': 16, 'abbrev': 'WCE', 'name': 'West Coast'}",1,"{'id': 8, 'abbrev': 'HAW', 'name': 'Hawthorn'}",0,Melbourne Cricket Ground,111.858,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",99.5227,,1.0415879017013232,5281.306715063521,,10857,116887,Anthony,Work From Holmes
2,529,owner,117113.0,,1006121,Zak,Butters,PTA,0,6,0,648900,242,0,2,0,0,314,0,0,203,2025-04-13T12:26:13+10:00,0,25,0,38,0,8,0,9,0,0,0,-4,0,0,0,0,0,0,121.0,4335,121.0,121.0,SYD,94.25,1,"{'id': 9, 'abbrev': 'NTH', 'name': 'North Melbourne'}",0,"{'id': 15, 'abbrev': 'WBD', 'name': 'Western Bulldogs'}",1,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",0,Sydney Cricket Ground,64.0,"{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 55, 'name': 'Eureka Stadium', 'display_name': 'Mars Stadium', 'short_name': 'Mars', 'abbrev': 'MARS'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}",98.5227,,1.1921182266009853,5362.809917355372,,71052,117113,James,Baker-Street Boys
3,75,owner,117113.0,,293535,Lachie,Neale,BRL,0,6,0,553800,465,0,5,0,-92100,61,0,0,560,2025-04-13T12:26:12+10:00,0,70,0,65,0,19,0,16,0,6,0,-7,0,0,0,1,0,1,93.0,4371,93.0,97.0,COL,96.25,0,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",0,"{'id': 9, 'abbrev': 'NTH', 'name': 'North Melbourne'}",1,Brisbane Cricket Ground,120.344,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 4, 'name': 'Brisbane Cricket Ground', 'display_name': 'Gabba', 'short_name': 'Gabba', 'abbrev': 'G'}","{'id': 226, 'name': 'Ninja Stadium', 'display_name': 'Ninja Stadium', 'short_name': 'Ninja', 'abbrev': 'NIN'}",99.3409,,0.8303571428571429,5954.8387096774195,,71052,117113,James,Baker-Street Boys
4,518,owner,116793.0,,1004965,Tristan,Xerri,NTH,0,6,0,562300,524,0,5,0,-83600,25,0,0,519,2025-04-13T12:26:12+10:00,0,22,0,59,0,10,0,22,0,11,0,-12,0,164,0,1,0,0,104.8,4378,104.8,88.6667,CAR,80.3333,0,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",1,"{'id': 5, 'abbrev': 'ESS', 'name': 'Essendon'}",1,"{'id': 2, 'abbrev': 'BRL', 'name': 'Brisbane'}",0,Docklands Stadium,92.9259,"{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 226, 'name': 'Ninja Stadium', 'display_name': 'Ninja Stadium', 'short_name': 'Ninja', 'abbrev': 'NIN'}",99.5,,1.0096339113680155,5365.458015267176,,45168,116793,Luke,Duke Newcombe
5,272,owner,118706.0,,1009260,Sam,Flanders,GCS,0,6,0,581900,248,0,3,0,-59600,309,0,0,293,2025-04-13T12:26:13+10:00,0,36,0,36,0,15,0,6,0,4,0,-2,0,0,0,3,0,1,82.6667,4316,82.6667,82.6667,RIC,80.4,1,"{'id': 14, 'abbrev': 'SYD', 'name': 'Sydney'}",0,"{'id': 2, 'abbrev': 'BRL', 'name': 'Brisbane'}",1,"{'id': 15, 'abbrev': 'WBD', 'name': 'Western Bulldogs'}",0,Docklands Stadium,80.875,"{'id': 5, 'name': 'Carrara Stadium', 'display_name': 'People First Stadium', 'short_name': 'People First', 'abbrev': 'PFS'}","{'id': 4, 'name': 'Brisbane Cricket Ground', 'display_name': 'Gabba', 'short_name': 'Gabba', 'abbrev': 'G'}","{'id': 12, 'name': 'Marrara Oval', 'display_name': 'TIO Stadium', 'short_name': 'TIO', 'abbrev': 'TIO'}",98.0909,,0.8464163822525598,7039.110064874973,,8258,118706,Simon,Meeky Blinders
6,509,owner,116970.0,,1023518,Harry,Sheezel,NTH,0,6,0,570000,522,0,5,0,-65600,26,0,0,566,2025-04-13T12:26:12+10:00,0,72,0,74,0,28,0,18,0,4,0,-1,0,0,0,1,0,4,104.4,4386,104.4,111.667,CAR,125.667,0,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",1,"{'id': 5, 'abbrev': 'ESS', 'name': 'Essendon'}",1,"{'id': 2, 'abbrev': 'BRL', 'name': 'Brisbane'}",0,Docklands Stadium,110.609,"{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 226, 'name': 'Ninja Stadium', 'display_name': 'Ninja Stadium', 'short_name': 'Ninja', 'abbrev': 'NIN'}",99.6818,,0.9222614840989399,5459.770114942528,,21562,116970,Mark,Sheez Nutz
7,136,owner,116859.0,,1023261,Nick,Daicos,COL,0,6,0,584800,517,0,5,0,-46600,31,0,0,508,2025-04-13T12:26:12+10:00,0,73,0,74,0,18,0,20,0,12,0,-7,0,0,0,1,0,5,103.4,4387,103.4,117.667,BRL,112.5,1,"{'id': 5, 'abbrev': 'ESS', 'name': 'Essendon'}",0,"{'id': 7, 'abbrev': 'GEE', 'name': 'Geelong'}",0,"{'id': 6, 'abbrev': 'FRE', 'name': 'Fremantle'}",1,Brisbane Cricket Ground,111.333,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}",99.7045,,1.0177165354330708,5655.705996131528,,86078,116859,Lester,Grand Theft Zorko
8,671,owner,118706.0,,298539,Isaac,Heeney,SYD,0,6,0,541800,498,0,5,0,-87400,40,0,0,525,2025-04-13T12:26:12+10:00,0,63,0,49,0,19,0,19,0,5,0,-3,0,0,0,4,0,0,99.6,4340,99.6,96.6667,PTA,97.125,0,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",1,"{'id': 18, 'abbrev': 'GWS', 'name': 'GWS Giants'}",0,"{'id': 5, 'abbrev': 'ESS', 'name': 'Essendon'}",1,Sydney Cricket Ground,91.6279,"{'id': 5, 'name': 'Carrara Stadium', 'display_name': 'People First Stadium', 'short_name': 'People First', 'abbrev': 'PFS'}","{'id': 16, 'name': 'Sydney Cricket Ground', 'display_name': 'SCG', 'short_name': 'SCG', 'abbrev': 'SCG'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}",98.6364,,0.9485714285714286,5439.759036144578,,8258,118706,Simon,Meeky Blinders
9,245,owner,118706.0,,998659,Luke,Ryan,FRE,0,6,0,527700,428,0,5,0,-100600,88,0,0,547,2025-04-13T12:26:12+10:00,0,79,0,20,0,29,0,8,0,2,0,-1,0,0,0,0,0,0,85.6,4269,85.6,89.0,MEL,104.222,1,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",0,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,"{'id': 4, 'abbrev': 'COL', 'name': 'Collingwood'}",0,Melbourne Cricket Ground,109.417,"{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}",97.0227,,0.7824497257769653,6164.719626168225,,8258,118706,Simon,Meeky Blinders
