,Name,Type,#,DOB,Age,Height,Weight,Gm,SOO,Recruited from,team,short_team
0,Rory Atkins,Mid-Med,21,"12 Jul, 1994",25 y 229 d,186 cm,85 kg,97,VIC,Calder Cannons,adelaidecrows,Adelaide
1,Luke Brown,Def-Med-Gen,16,"22 Sep, 1992",27 y 157 d,181 cm,81 kg,150,SA,Norwood,adelaidecrows,Adelaide
2,Brad Crouch,Mid-Med,2,"14 Jan, 1994",26 y 43 d,186 cm,85 kg,83,VIC,North Ballarat Rebels,adelaidecrows,Adelaide
3,Matt Crouch,Mid-Med,5,"21 Apr, 1995",24 y 311 d,182 cm,80 kg,109,VIC,North Ballarat Rebels,adelaidecrows,Adelaide
4,Ben Davis,Fwd-Med-Gen,40,"19 May, 1997",22 y 283 d,187 cm,85 kg,1,NSW,UNSW,adelaidecrows,Adelaide
5,Tom Doedee,Def-Med-Key,39,"1 Mar, 1997",22 y 362 d,188 cm,88 kg,21,VIC,Geelong Falcons,adelaidecrows,Adelaide
6,Darcy Fogarty,Util-Tall,32,"25 Sep, 1999",20 y 154 d,193 cm,94 kg,14,SA,Glenelg,adelaidecrows,Adelaide
7,Billy Frampton,Ruck-Tall,22,"20 Nov, 1996",23 y 98 d,200 cm,90 kg,3,WA,South Fremantle,adelaidecrows,Adelaide
8,Jordan Gallucci,Util-Med,7,"4 May, 1998",21 y 298 d,182 cm,78 kg,27,VIC,Eastern Ranges,adelaidecrows,Adelaide
9,Bryce Gibbs,Mid-Med,6,"15 Mar, 1989",30 y 348 d,188 cm,84 kg,265,SA,Glenelg,adelaidecrows,Adelaide
10,Lachlan Gollant,Mid-Tall,44,"12 Sep, 2001",18 y 167 d,189 cm,70 kg,,VIC,Calder Cannons,adelaidecrows,Adelaide
11,Will Hamill,Def-Med-Gen,17,"17 Nov, 2000",19 y 101 d,186 cm,71 kg,,VIC,Dandenong Stingrays,adelaidecrows,Adelaide
12,Kyle Hartigan,Def-Tall-Key,15,"7 Nov, 1991",28 y 111 d,194 cm,98 kg,101,VIC,Werribee  ,adelaidecrows,Adelaide
13,Elliott Himmelberg,Util-Tall,34,"4 Jun, 1998",21 y 267 d,198 cm,96 kg,8,QLD,Redlands,adelaidecrows,Adelaide
14,Chayce Jones,Mid-Smal,1,"14 Jan, 2000",20 y 43 d,180 cm,77 kg,8,TAS,Launceston,adelaidecrows,Adelaide
15,Jake Kelly,Def-Med-Key,8,"21 Jan, 1995",25 y 36 d,190 cm,89 kg,75,VIC,Oakleigh Chargers,adelaidecrows,Adelaide
16,Riley Knight,Mid-Med,3,"27 Mar, 1995",24 y 336 d,181 cm,80 kg,54,SA,Woodville-West Torrens,adelaidecrows,Adelaide
17,Rory Laird,Def-Smal-Gen,29,"29 Dec, 1993",26 y 59 d,177 cm,81 kg,143,SA,West Adelaide,adelaidecrows,Adelaide
18,Tom T. Lynch,Fwd-Tall-Gen,27,"15 Sep, 1990",29 y 164 d,193 cm,88 kg,139,VIC,Sandringham Dragons,adelaidecrows,Adelaide
19,David Mackay,Mid-Med,14,"25 Jul, 1988",31 y 216 d,181 cm,78 kg,220,VIC,Oakleigh,adelaidecrows,Adelaide
20,Shane McAdam,Fwd-Med-Gen,23,"28 May, 1995",24 y 274 d,181 cm,78 kg,,WA,Sturt,adelaidecrows,Adelaide
21,Fischer McAsey,Def-Tall-Key,35,"8 Mar, 2001",18 y 355 d,195 cm,86 kg,,VIC,Sandringham Dragons,adelaidecrows,Adelaide
22,Ned McHenry,Mid-Med,25,"13 Jul, 2000",19 y 228 d,179 cm,70 kg,,VIC,Geelong Falcons,adelaidecrows,Adelaide
23,Andrew McPherson,Def-Med-Gen,36,"20 Jun, 1999",20 y 251 d,186 cm,79 kg,,SA,Woodville West Torrens,adelaidecrows,Adelaide
24,Wayne Milera,Fwd-Med-Gen,30,"14 Sep, 1997",22 y 165 d,184 cm,81 kg,60,SA,Central Districts,adelaidecrows,Adelaide
25, Lachlan Murphy,Def-Smal-Gen,4,"4 Dec, 1998",21 y 84 d,176 cm,76 kg,32,SA,Adelaide FC,adelaidecrows,Adelaide
26,Reilly O'Brien,Ruck-Tall,43,"20 Aug, 1995",24 y 190 d,202 cm,101 kg,20,VIC,Calder Cannons,adelaidecrows,Adelaide
27,Ronin O'Connor,Mid-Tall,37,"1 Feb, 2001",19 y 25 d,191 cm,85 kg,,WA,Claremont,adelaidecrows,Adelaide
28,Myles Poholke,Util-Med,10,"10 Jul, 1998",21 y 231 d,186 cm,86 kg,11,VIC,Dandenong Stingrays,adelaidecrows,Adelaide
29,Harry Schoenberg,Mid-Med,26,"21 Feb, 2001",19 y 5 d,180 cm,78 kg,,SA,Woodville-West Torrens,adelaidecrows,Adelaide
30,Paul Seedsman,Mid-Med,11,"22 Jan, 1992",28 y 35 d,190 cm,87 kg,101,VIC,Eastern Ranges,adelaidecrows,Adelaide
31,Lachlan Sholl,Def-Med-Gen,38,"7 Mar, 2000",19 y 356 d,185 cm,77 kg,,VIC,Calder Cannons,adelaidecrows,Adelaide
32,Rory Sloane,Mid-Med,9,"17 Mar, 1990",29 y 346 d,182 cm,83 kg,199,VIC,Eastern Ranges,adelaidecrows,Adelaide
33,Brodie Smith,Def-Med-Gen,33,"14 Jan, 1992",28 y 43 d,189 cm,90 kg,167,SA,Woodville West Torrens,adelaidecrows,Adelaide
34,Tyson Stengle,Fwd-Smal-Gen,18,"19 Oct, 1998",21 y 130 d,172 cm,73 kg,4,SA,Woodville-West Torrens,adelaidecrows,Adelaide
35,Daniel Talia,Def-Tall-Key,12,"2 Oct, 1991",28 y 147 d,197 cm,98 kg,186,VIC,Calder Cannons,adelaidecrows,Adelaide
36,Taylor Walker,Fwd-Tall-Key,13,"25 Apr, 1990",29 y 307 d,193 cm,100 kg,189,NSW,Broken Hill North,adelaidecrows,Adelaide
37,Joshua Worrell,Def-Tall-Key,24,"11 Apr, 2001",18 y 321 d,195 cm,74 kg,,VIC,Sandringham Dragons,adelaidecrows,Adelaide
38, Jordon Butts,Def-Tall-Key,41,"31 Dec, 1999",20 y 57 d,198 cm,83 kg,,VIC,Murray Bushrangers,adelaidecrows,Adelaide
39, Ben Crocker,Fwd-Med-Gen,20,"19 Feb, 1997",23 y 7 d,188 cm,84 kg,26,VIC,Oakleigh Chargers,adelaidecrows,Adelaide
40, Ben Keays,Fwd-Med-Gen,28,"23 Feb, 1997",23 y 3 d,185 cm,89 kg,30,QLD,Redlands,adelaidecrows,Adelaide
41, Kieran Strachan,Ruck-Tall,45,"5 Oct, 1995",24 y 144 d,204 cm,95 kg,,VIC,Port Melbourne,adelaidecrows,Adelaide
42, Patrick Wilson,Util-Med,31,"11 Dec, 1994",25 y 77 d,188 cm,89 kg,2,SA,Sturt,adelaidecrows,Adelaide
0,Marcus Adams,Def-Tall-Key,24,"30 Jun, 1993",26 y 241 d,192 cm,93 kg,35,WA,West Perth ,brisbanelions,Brisbane
1,Callum Ah Chee,Fwd-Med-Gen,4,"9 Oct, 1997",22 y 140 d,182 cm,78 kg,45,WA,South Fremantle,brisbanelions,Brisbane
2,Harris Andrews,Def-Tall-Key,31,"11 Dec, 1996",23 y 77 d,201 cm,100 kg,95,QLD,Aspley,brisbanelions,Brisbane
3,Noah Answerth,Def-Med-Gen,43,"6 Aug, 1999",20 y 204 d,182 cm,82 kg,17,VIC,Oakleigh Chargers,brisbanelions,Brisbane
4,Zac Bailey,Mid-Med,33,"23 Sep, 1999",20 y 156 d,182 cm,83 kg,25,NT,Southern Districts,brisbanelions,Brisbane
5,Connor Ballenden,Def-Tall-Key,38,"29 Mar, 1999",20 y 334 d,200 cm,101 kg,,QLD,Wests Juniors,brisbanelions,Brisbane
6,Jarrod Berry,Util-Tall,7,"5 Feb, 1998",22 y 21 d,193 cm,89 kg,55,VIC,North Ballarat Rebels,brisbanelions,Brisbane
7,Tom Berry,Fwd-Med-Gen,13,"1 May, 2000",19 y 301 d,185 cm,76 kg,,VIC,GWV Rebels,brisbanelions,Brisbane
8,Grant Birchall,Def-Tall-Gen,14,"28 Jan, 1988",32 y 29 d,193 cm,89 kg,247,TAS,Devonport,brisbanelions,Brisbane
9,Charlie Cameron,Fwd-Smal-Gen,23,"5 Jul, 1994",25 y 236 d,181 cm,74 kg,106,WA,Swan Districts,brisbanelions,Brisbane
10,Allen Christensen,Fwd-Smal-Gen,3,"19 May, 1991",28 y 283 d,176 cm,79 kg,130,VIC,Geelong Falcons,brisbanelions,Brisbane
11,Keidean Coleman,Fwd-Med-Gen,18,"31 Mar, 2000",19 y 332 d,182 cm,75 kg,,QLD,Brisbane,brisbanelions,Brisbane
12,Cedric Cox,Def-Med-Gen,20,"19 Aug, 1997",22 y 191 d,183 cm,82 kg,13,VIC,North Ballarat Rebels,brisbanelions,Brisbane
13,Cam Ellis-Yolmen,Mid-Med,28,"28 Jan, 1993",27 y 29 d,190 cm,96 kg,39,SA,Woodville-West Torrens,brisbanelions,Brisbane
14,Darcy Gardiner,Def-Tall-Key,27,"22 Sep, 1995",24 y 157 d,193 cm,92 kg,104,VIC,Geelong Falcons,brisbanelions,Brisbane
15,Mitchell Hinge,Mid-Med,22,"26 Jun, 1998",21 y 245 d,190 cm,84 kg,2,SA,Glenelg,brisbanelions,Brisbane
16,Eric Hipwood,Fwd-Tall-Key,30,"13 Sep, 1997",22 y 166 d,204 cm,90 kg,73,QLD,Aspley,brisbanelions,Brisbane
17,Tom Joyce,Mid-Med,32,"7 Mar, 2000",19 y 356 d,180 cm,86 kg,,WA,East Fremantle,brisbanelions,Brisbane
18,Ryan Lester,Util-Tall,35,"26 Aug, 1992",27 y 184 d,192 cm,85 kg,126,VIC,Oakleigh Chargers,brisbanelions,Brisbane
19,Jarryd Lyons,Mid-Med,17,"22 Jul, 1992",27 y 219 d,184 cm,84 kg,114,VIC,Sandringham Dragons,brisbanelions,Brisbane
20,Stefan Martin,Ruck-Tall,12,"17 Nov, 1986",33 y 101 d,199 cm,104 kg,180,VIC,Sandringham,brisbanelions,Brisbane
21,Rhys Mathieson,Mid-Med,36,"10 Jan, 1997",23 y 47 d,188 cm,87 kg,46,VIC,Geelong Falcons,brisbanelions,Brisbane
22,Lincoln McCarthy,Fwd-Smal-Gen,11,"22 Oct, 1993",26 y 127 d,176 cm,84 kg,50,SA,Glenelg,brisbanelions,Brisbane
23,Hugh McCluggage,Mid-Med,6,"3 Mar, 1998",21 y 360 d,187 cm,85 kg,61,VIC,North Ballarat Rebels,brisbanelions,Brisbane
24,Connor McFadyen,Fwd-Tall-Gen,26,"4 Dec, 2000",19 y 84 d,190 cm,81 kg,,QLD,Brisbane Academy,brisbanelions,Brisbane
25,Oscar McInerney,Ruck-Tall,46,"10 Jul, 1994",25 y 231 d,205 cm,107 kg,35,VIC,Casey Scorpions,brisbanelions,Brisbane
26,Daniel McStay,Util-Tall,25,"24 Jun, 1995",24 y 247 d,195 cm,100 kg,101,VIC,Eastern Ranges,brisbanelions,Brisbane
27,Lachie Neale,Mid-Smal,9,"24 May, 1993",26 y 278 d,177 cm,85 kg,156,SA,Glenelg,brisbanelions,Brisbane
28,Jack Payne,Def-Tall-Key,40,"15 Oct, 1999",20 y 134 d,197 cm,101 kg,,QLD,Noosa,brisbanelions,Brisbane
29,Jaxon Prior,Def-Med-Gen,45,"4 Jun, 2001",18 y 267 d,188 cm,79 kg,,WA,West Perth,brisbanelions,Brisbane
30,Cameron Rayner,Mid-Med,16,"21 Oct, 1999",20 y 128 d,187 cm,90 kg,44,VIC,Western Jets,brisbanelions,Brisbane
