player_id,first_name,last_name,team_abbrev,pos_1,pos_2,round_x,points,played,avg,avg3,avg5,price,median_score,id,league_id,user_team_id,round_y,pick,position,autopicked,time,DEF_norm_score,MID_norm_score,RUC_norm_score,FWD_norm_score,final_score
695,Marcus,Bontempelli,WBD,MID,,24,116,23,126.391,119.333,129.8,665800,125.444,1705893.0,1283.0,714.0,1.0,1.0,MID,0.0,8/03/2024 13:18,,2.126,,,2.126
138,Nick,Daicos,COL,DEF,MID,24,186,23,117.174,122.667,123.2,566700,117.174,1705894.0,1283.0,719.0,1.0,2.0,DEF,0.0,8/03/2024 13:18,2.352,1.371,,,2.352
706,Tim,English,WBD,RUC,,24,103,22,108.0,96.6667,102.4,521900,111.4725,1705901.0,1283.0,718.0,1.0,3.0,RUC,0.0,8/03/2024 13:18,,,0.083,,0.083
443,Max,Gawn,MEL,RUC,,24,122,21,124.143,132.0,124.6,637600,128.4,1705908.0,1283.0,713.0,1.0,5.0,RUC,0.0,8/03/2024 13:19,,,2.282,,2.282
197,Zach,Merrett,ESS,MID,,24,135,23,115.261,118.0,115.2,584800,118.6,1705909.0,1283.0,716.0,1.0,6.0,MID,0.0,8/03/2024 13:19,,1.501,,,1.501
629,Rowan,Marshall,STK,RUC,,24,120,23,112.0,130.667,130.6,637300,108.308,1705913.0,1283.0,720.0,1.0,8.0,RUC,0.0,8/03/2024 13:19,,,-0.328,,-0.328
9,Jordan,Dawson,ADE,MID,,24,102,22,102.136,116.667,105.8,534100,100.598,1705915.0,1283.0,714.0,2.0,9.0,MID,0.0,8/03/2024 13:20,,-0.141,,,-0.141
362,Tom,Green,GWS,MID,,24,96,23,106.565,119.333,115.8,590300,105.9,1705916.0,1283.0,719.0,2.0,10.0,MID,0.0,8/03/2024 13:20,,0.343,,,0.343
20,Rory,Laird,ADE,MID,,24,96,23,104.13,93.0,100.6,516600,106.273,1705917.0,1283.0,718.0,2.0,11.0,MID,0.0,8/03/2024 13:20,,0.377,,,0.377
350,Kieren,Briggs,GWS,RUC,,24,113,22,95.8182,101.667,100.8,526500,90.74615,1705918.0,1283.0,717.0,2.0,12.0,RUC,0.0,8/03/2024 13:20,,,,,
526,Zak,Butters,PTA,MID,,24,115,23,120.435,134.0,126.4,642500,120.682,1705920.0,1283.0,713.0,2.0,13.0,MID,0.0,8/03/2024 13:20,,1.691,,,1.691
663,Errol,Gulden,SYD,MID,,24,118,23,108.0,94.0,98.0,519000,108.0,1705921.0,1283.0,716.0,2.0,14.0,MID,0.0,8/03/2024 13:20,,0.534,,,0.534
425,James,Sicily,HAW,DEF,,24,102,20,98.9,87.3333,81.6,477200,96.3889,1705922.0,1283.0,715.0,2.0,15.0,DEF,0.0,8/03/2024 13:20,0.229,,,,0.229
342,Tom,Stewart,GEE,DEF,,24,33,22,96.6818,71.0,94.4,508500,97.42645,1705923.0,1283.0,720.0,2.0,16.0,DEF,0.0,8/03/2024 13:20,0.335,,,,0.335
662,Brodie,Grundy,SYD,RUC,,24,110,23,106.609,87.3333,89.4,469400,111.333,1705927.0,1283.0,719.0,3.0,18.0,RUC,0.0,8/03/2024 13:21,,,0.065,,0.065
483,Luke,Davies-Uniacke,NTH,MID,,24,94,23,109.13,101.0,107.2,568700,108.667,1705928.0,1283.0,718.0,3.0,19.0,MID,0.0,8/03/2024 13:21,,0.595,,,0.595
717,Tom,Liberatore,WBD,MID,,24,112,17,104.235,110.0,100.0,526900,106.0,1705929.0,1283.0,717.0,3.0,20.0,MID,0.0,8/03/2024 13:21,,0.352,,,0.352
242,Caleb,Serong,FRE,MID,,24,109,23,115.696,109.333,108.2,560600,124.583,1705930.0,1283.0,713.0,3.0,21.0,MID,0.0,8/03/2024 13:21,,2.047,,,2.047
719,Jack,Macrae,WBD,MID,FWD,24,112,18,72.7778,55.6667,63.2,311400,76.48075,1705931.0,1283.0,716.0,3.0,22.0,FWD,0.0,8/03/2024 13:21,,,,-0.575,-0.575
552,Connor,Rozee,PTA,MID,,24,78,20,98.25,92.6667,91.8,512300,99.4079,1705932.0,1283.0,715.0,3.0,23.0,MID,0.0,8/03/2024 13:21,,-0.25,,,-0.25
54,Josh,Dunkley,BRL,MID,,24,124,23,111.783,112.333,108.0,545900,111.783,1705933.0,1283.0,720.0,3.0,24.0,MID,0.0,8/03/2024 13:21,,0.879,,,0.879
72,Lachie,Neale,BRL,MID,,24,166,22,119.864,125.333,119.2,593700,117.9445,1705934.0,1283.0,714.0,4.0,25.0,MID,0.0,8/03/2024 13:22,,1.441,,,1.441
198,Darcy,Parish,ESS,MID,,24,81,12,89.3333,91.3333,87.8,478900,87.4,1705935.0,1283.0,719.0,4.0,26.0,MID,0.0,8/03/2024 13:22,,-1.345,,,-1.345
241,Luke,Ryan,FRE,DEF,,24,114,23,116.609,112.667,107.8,565000,126.0,1705937.0,1283.0,718.0,4.0,27.0,DEF,0.0,8/03/2024 13:22,3.253,,,,3.253
301,Jarrod,Witts,GCS,RUC,,24,121,16,107.875,108.0,116.4,578400,104.31450000000001,1705938.0,1283.0,717.0,4.0,28.0,RUC,0.0,8/03/2024 13:22,,,-0.846,,-0.846
286,Touk,Miller,GCS,MID,,24,100,18,102.556,76.6667,89.2,448500,113.45,1705939.0,1283.0,713.0,4.0,29.0,MID,0.0,8/03/2024 13:22,,1.031,,,1.031
215,Andrew,Brayshaw,FRE,MID,,24,127,23,109.826,117.0,125.0,609400,106.25,1705942.0,1283.0,715.0,4.0,31.0,MID,0.0,8/03/2024 13:22,,0.374,,,0.374
126,Sam,Walsh,CAR,MID,,24,139,19,108.368,108.667,107.2,525600,111.889,1705943.0,1283.0,720.0,4.0,32.0,MID,0.0,8/03/2024 13:22,,0.889,,,0.889
640,Jack,Steele,STK,MID,,24,89,23,108.609,108.333,112.0,563500,111.364,1705944.0,1283.0,714.0,5.0,33.0,MID,0.0,8/03/2024 13:22,,0.841,,,0.841
230,Luke,Jackson,FRE,RUC,FWD,24,90,23,94.5217,85.0,75.2,422900,100.5,1705945.0,1283.0,719.0,5.0,34.0,FWD,0.0,8/03/2024 13:22,,,,1.911,1.911
255,Hayden,Young,FRE,DEF,MID,24,94,23,101.348,93.0,104.2,538500,99.25,1705947.0,1283.0,717.0,5.0,36.0,DEF,0.0,8/03/2024 13:23,0.521,-0.264,,,0.521
639,Jack,Sinclair,STK,DEF,MID,24,111,22,109.909,106.667,112.2,594700,101.7085,1705949.0,1283.0,713.0,5.0,37.0,DEF,0.0,8/03/2024 13:23,0.773,-0.04,,,0.773
598,Jayden,Short,RIC,DEF,,24,115,22,82.0909,103.0,96.6,465800,78.3065,1705950.0,1283.0,716.0,5.0,38.0,DEF,0.0,8/03/2024 13:23,,,,,
273,Sam,Flanders,GCS,MID,FWD,24,161,22,119.045,124.667,121.2,594200,118.285,1705954.0,1283.0,720.0,5.0,40.0,FWD,0.0,8/03/2024 13:23,,1.472,,3.752,3.752
27,Reilly,O'Brien,ADE,RUC,,24,92,21,93.2857,90.6667,102.6,521600,88.7333,1705956.0,1283.0,714.0,6.0,41.0,RUC,0.0,8/03/2024 13:23,,,,,
257,Noah,Anderson,GCS,MID,,24,128,23,106.696,115.333,104.8,526400,108.846,1705958.0,1283.0,718.0,6.0,43.0,MID,0.0,8/03/2024 13:24,,0.611,,,0.611
690,Chad,Warner,SYD,MID,,24,114,22,103.864,119.0,96.8,505000,104.51650000000001,1705959.0,1283.0,717.0,6.0,44.0,MID,0.0,8/03/2024 13:24,,0.216,,,0.216
