,player_id,feed_id,first_name,last_name,team,position,round,points,price,total_points,games,total_games,price_change,total_price_change,last_position,round_position,minutes_played,total_minutes_played,updated_at,kicks,total_kicks,handballs,total_handballs,marks,total_marks,tackles,total_tackles,freekicks_for,total_freekicks_for,freekicks_against,total_freekicks_against,hitouts,total_hitouts,goals,total_goals,behinds,total_behinds,avg5,own_raw,avg,avg3,opp,oppavg,opph,opp1,opp1h,opp2,opp2h,opp3,opp3h,ven,venavg,ven1,ven2,ven3,livepts,livegames,owned,points_per_min,total_points_per_min,mvp_value,position_change
0,695,297373,Marcus,Bontempelli,WBD,1,24,116,665800,2907,1,23,-19500,-58800,1,30,105,2403,2024-08-25T11:36:28+10:00,12,315,10,285,0,91,7,127,2,24,0,-18,0,0,1,31,0,20,129.8,4028,126.391,119.333,GWS,108.0,0,,0,,0,,0,Eureka Stadium,105.667,,,,0,0,99.8265,1.1047619047619048,1.2097378277153559,5267.780142573442,0
0,706,1004592,Tim,English,WBD,31,24,103,521900,2376,1,22,-9500,-193200,32,71,106,2337,2024-08-25T11:36:28+10:00,9,197,8,167,7,136,2,82,0,30,-1,-26,18,601,0,13,0,10,102.4,3868,108.0,96.6667,GWS,106.444,0,,0,,0,,0,Eureka Stadium,116.0,,,,0,0,95.8612,0.9716981132075472,1.0166880616174583,4832.407407407408,1
0,458,996701,Clayton,Oliver,MEL,114,24,0,404900,1760,0,21,0,-269200,99,415,0,1999,2024-08-25T11:36:30+10:00,0,229,0,258,0,59,0,84,0,20,0,-42,0,0,0,3,0,4,76.8,3473,83.8095,68.3333,COL,107.667,0,,0,,0,,0,Melbourne Cricket Ground,105.056,,,,0,0,86.0719,,0.8804402201100551,4831.194554316635,-15
0,459,298210,Christian,Petracca,MEL,238,24,0,519000,1342,0,13,0,-148700,226,415,0,1238,2024-08-25T11:36:30+10:00,0,148,0,156,0,58,0,39,0,9,0,-6,0,0,0,14,0,12,97.2,2504,103.231,88.3333,COL,95.5,0,,0,,0,,0,Melbourne Cricket Ground,95.6292,,,,0,0,62.057,,1.0840064620355412,5027.559550910095,-12
0,20,293222,Rory,Laird,ADE,30,24,96,516600,2395,1,23,-14300,-136500,31,97,111,2216,2024-08-25T11:36:28+10:00,9,271,19,364,6,83,2,132,0,28,0,-26,0,0,0,2,0,5,100.6,3962,104.13,93.0,SYD,101.231,1,,0,,0,,0,Sydney Cricket Ground,103.167,,,,0,0,98.1908,0.8648648648648649,1.0807761732851986,4961.106309420917,1
0,197,992016,Zach,Merrett,ESS,7,24,135,584800,2651,1,23,7400,-65300,6,10,109,2400,2024-08-25T11:36:28+10:00,23,361,14,289,8,99,5,114,1,34,0,-14,0,0,1,14,1,15,115.2,4023,115.261,118.0,BRL,114.846,1,,0,,0,,0,Brisbane Cricket Ground,115.6,,,,0,0,99.7026,1.238532110091743,1.1045833333333333,5073.702293056628,-1
0,138,1023261,Nick,Daicos,COL,4,24,186,566700,2695,1,23,22700,-83300,7,1,134,2488,2024-08-25T11:36:28+10:00,25,381,15,324,11,68,1,87,2,39,0,-36,0,0,2,20,1,14,123.2,4025,117.174,122.667,MEL,121.8,1,,0,,0,,0,Melbourne Cricket Ground,103.975,,,,0,0,99.7522,1.3880597014925373,1.0831993569131833,4836.3971529520195,3
0,717,290799,Tom,Liberatore,WBD,110,24,112,526900,1772,1,17,13600,-121700,122,44,102,1648,2024-08-25T11:36:28+10:00,8,181,16,222,0,47,5,96,1,23,0,-26,0,0,1,4,1,7,100.0,3863,104.235,110.0,GWS,86.0667,0,,0,,0,,0,Eureka Stadium,109.1,,,,0,0,95.7373,1.0980392156862746,1.075242718446602,5054.923969875762,12
0,9,992242,Jordan,Dawson,ADE,43,24,102,534100,2247,1,22,23400,-113500,40,73,106,2303,2024-08-25T11:36:28+10:00,14,365,11,174,2,110,6,134,1,22,0,-27,0,0,1,10,0,6,105.8,3890,102.136,116.667,SYD,98.0,1,,0,,0,,0,Sydney Cricket Ground,81.4074,,,,0,0,96.4064,0.9622641509433962,0.9756838905775076,5229.302106994595,-3
0,54,993834,Josh,Dunkley,BRL,12,24,124,545900,2571,1,23,11100,-98100,15,21,110,2420,2024-08-25T11:36:28+10:00,9,288,19,308,4,130,8,143,2,33,0,-16,0,2,0,6,0,6,108.0,3988,111.783,112.333,ESS,107.571,0,,0,,0,,0,Brisbane Cricket Ground,109.625,,,,0,0,98.8352,1.1272727272727272,1.062396694214876,4883.569057906837,3
