feed_id,player_id,first_name,last_name,team_abbrev,pos_1,pos_2,round,points,played,avg,avg3,avg5,price
1012807,1,Sam,Berry,ADE,MID,,1,80,1,80.0,80.0,80.0,226900
1012807,1,Sam,Berry,ADE,MID,,2,52,2,66.0,66.0,66.0,226900
1012807,1,Sam,Berry,ADE,MID,,4,33,3,55.0,55.0,55.0,243100
1012807,1,Sam,Berry,ADE,MID,,5,56,4,55.25,47.0,55.25,244400
1012807,1,Sam,Berry,ADE,MID,,6,31,5,50.4,40.0,50.4,235500
1012807,1,Sam,Berry,ADE,MID,,11,43,6,49.1667,43.3333,43.0,232300
1012807,1,Sam,Berry,ADE,MID,,12,34,7,47.0,36.0,39.4,220300
1012807,1,Sam,Berry,ADE,MID,,13,74,8,50.375,50.3333,47.6,230300
1012807,1,Sam,Berry,ADE,MID,,14,15,9,46.4444,41.0,39.4,225100
1012807,1,Sam,Berry,ADE,MID,,16,104,10,52.2,64.3333,54.0,254400
1012807,1,Sam,Berry,ADE,MID,,17,89,11,55.5455,69.3333,63.2,282600
1012807,1,Sam,Berry,ADE,MID,,18,106,12,59.75,99.6667,77.6,344600
1012807,1,Sam,Berry,ADE,MID,,19,72,13,60.6923,89.0,77.2,374600
1012807,1,Sam,Berry,ADE,MID,,20,50,14,59.9286,76.0,84.2,378300
1012807,1,Sam,Berry,ADE,MID,,21,61,15,60.0,61.0,75.6,360800
1012807,1,Sam,Berry,ADE,MID,,22,86,16,61.625,65.6667,75.0,354900
1012807,1,Sam,Berry,ADE,MID,,23,76,17,62.4706,74.3333,69.0,362200
1012807,1,Sam,Berry,ADE,MID,,24,83,18,63.6111,81.6667,71.2,377400
1015329,10,Billy,Dowling,ADE,MID,FWD,13,63,1,63.0,63.0,63.0,123900
1015329,10,Billy,Dowling,ADE,MID,FWD,14,55,2,59.0,59.0,59.0,123900
1015329,10,Billy,Dowling,ADE,MID,FWD,16,57,3,58.3333,58.3333,58.3333,171500
1015329,10,Billy,Dowling,ADE,MID,FWD,17,67,4,60.5,59.6667,60.5,208200
1015329,10,Billy,Dowling,ADE,MID,FWD,18,101,5,68.6,75.0,68.6,256000
1015329,10,Billy,Dowling,ADE,MID,FWD,19,83,6,71.0,83.6667,72.6,302300
1015329,10,Billy,Dowling,ADE,MID,FWD,20,69,7,70.7143,84.3333,75.4,336800
1015329,10,Billy,Dowling,ADE,MID,FWD,21,44,8,67.375,65.3333,72.8,336300
1015329,10,Billy,Dowling,ADE,MID,FWD,24,62,9,66.7778,58.3333,71.8,326400
1004912,100,Tom,De Koning,CAR,RUC,,0,64,1,64.0,0.0,0.0,411800
1004912,100,Tom,De Koning,CAR,RUC,,1,118,2,91.0,118.0,118.0,411800
1004912,100,Tom,De Koning,CAR,RUC,,3,96,3,92.6667,107.0,107.0,431100
1004912,100,Tom,De Koning,CAR,RUC,,4,100,4,94.5,104.667,104.667,462200
1004912,100,Tom,De Koning,CAR,RUC,,5,67,5,89.0,87.6667,95.25,462300
1004912,100,Tom,De Koning,CAR,RUC,,6,122,6,94.5,96.3333,100.6,473800
1004912,100,Tom,De Koning,CAR,RUC,,7,82,7,92.7143,90.3333,93.4,473800
1004912,100,Tom,De Koning,CAR,RUC,,8,90,8,92.375,98.0,92.2,485000
1004912,100,Tom,De Koning,CAR,RUC,,9,66,9,89.4444,79.3333,85.4,467600
1004912,100,Tom,De Koning,CAR,RUC,,10,28,10,83.3,61.3333,77.6,428200
1004912,100,Tom,De Koning,CAR,RUC,,11,131,11,87.6364,75.0,79.4,417200
1004912,100,Tom,De Koning,CAR,RUC,,12,140,12,92.0,99.6667,91.0,443800
1004912,100,Tom,De Koning,CAR,RUC,,13,146,13,96.1538,139.0,102.2,515200
1004912,100,Tom,De Koning,CAR,RUC,,15,176,14,101.857,154.0,124.2,589700
1004912,100,Tom,De Koning,CAR,RUC,,17,128,15,103.6,150.0,144.2,640400
1004912,100,Tom,De Koning,CAR,RUC,,18,95,16,103.062,133.0,137.0,653600
1004912,100,Tom,De Koning,CAR,RUC,,19,77,17,101.529,100.0,124.4,616500
295518,101,Sam,Docherty,CAR,MID,,0,25,1,25.0,0.0,0.0,562200
1008510,102,Corey,Durdin,CAR,FWD,,1,15,1,15.0,15.0,15.0,294200
1008510,102,Corey,Durdin,CAR,FWD,,3,44,2,29.5,29.5,29.5,294200
1008510,102,Corey,Durdin,CAR,FWD,,4,47,3,35.3333,35.3333,35.3333,265800
1008510,102,Corey,Durdin,CAR,FWD,,5,50,4,39.0,47.0,39.0,261200
1008510,102,Corey,Durdin,CAR,FWD,,6,62,5,43.6,53.0,43.6,265800
1008510,102,Corey,Durdin,CAR,FWD,,7,58,6,46.0,56.6667,52.2,274000
1008510,102,Corey,Durdin,CAR,FWD,,8,29,7,43.5714,49.6667,49.2,270800
1008510,102,Corey,Durdin,CAR,FWD,,9,39,8,43.0,42.0,47.6,257900
1008510,102,Corey,Durdin,CAR,FWD,,10,18,9,40.2222,28.6667,41.2,229100
1008510,102,Corey,Durdin,CAR,FWD,,13,18,10,38.0,25.0,32.4,202100
1008510,102,Corey,Durdin,CAR,FWD,,15,6,11,35.0909,14.0,22.0,167700
1008510,102,Corey,Durdin,CAR,FWD,,23,92,12,39.8333,38.6667,34.6,176000
1008510,102,Corey,Durdin,CAR,FWD,,24,26,13,38.7692,41.3333,32.0,185700
297767,103,Sam,Durdin,CAR,DEF,,19,33,1,33.0,33.0,33.0,123900
296334,104,Orazio,Fantasia,CAR,FWD,,0,35,1,35.0,0.0,0.0,175900
296334,104,Orazio,Fantasia,CAR,FWD,,1,39,2,37.0,39.0,39.0,175900
296334,104,Orazio,Fantasia,CAR,FWD,,3,18,3,30.6667,28.5,28.5,171900
296334,104,Orazio,Fantasia,CAR,FWD,,4,41,4,33.25,32.6667,32.6667,171900
296334,104,Orazio,Fantasia,CAR,FWD,,5,32,5,33.0,30.3333,32.5,168800
296334,104,Orazio,Fantasia,CAR,FWD,,6,37,6,33.6667,36.6667,33.4,175000
296334,104,Orazio,Fantasia,CAR,FWD,,8,28,7,32.8571,32.3333,31.2,173800
296334,104,Orazio,Fantasia,CAR,FWD,,10,41,8,33.875,35.3333,35.8,176300
296334,104,Orazio,Fantasia,CAR,FWD,,11,43,9,34.8889,37.3333,36.2,180600
296334,104,Orazio,Fantasia,CAR,FWD,,12,57,10,37.1,47.0,41.2,197400
296334,104,Orazio,Fantasia,CAR,FWD,,15,44,11,37.7273,48.0,42.6,210800
296334,104,Orazio,Fantasia,CAR,FWD,,16,76,12,40.9167,59.0,52.2,236500
296334,104,Orazio,Fantasia,CAR,FWD,,17,20,13,39.3077,46.6667,48.0,238300
296334,104,Orazio,Fantasia,CAR,FWD,,24,48,14,39.9286,48.0,49.0,240400
1002228,105,Lachie,Fogarty,CAR,FWD,,0,80,1,80.0,0.0,0.0,348400
1002228,105,Lachie,Fogarty,CAR,FWD,,1,55,2,67.5,55.0,55.0,348400
1002228,105,Lachie,Fogarty,CAR,FWD,,3,90,3,75.0,72.5,72.5,360100
1002228,105,Lachie,Fogarty,CAR,FWD,,4,45,4,67.5,63.3333,63.3333,353000
1002228,105,Lachie,Fogarty,CAR,FWD,,11,51,5,64.2,62.0,60.25,344200
1002228,105,Lachie,Fogarty,CAR,FWD,,12,69,6,65.0,55.0,62.0,328800
1002228,105,Lachie,Fogarty,CAR,FWD,,13,42,7,61.7143,54.0,59.4,314700
1002228,105,Lachie,Fogarty,CAR,FWD,,15,61,8,61.625,57.3333,53.6,309800
1002228,105,Lachie,Fogarty,CAR,FWD,,16,82,9,63.8889,61.6667,61.0,313200
1002228,105,Lachie,Fogarty,CAR,FWD,,17,57,10,63.2,66.6667,62.2,322200
1002228,105,Lachie,Fogarty,CAR,FWD,,18,59,11,62.8182,66.0,60.2,327600
1002228,105,Lachie,Fogarty,CAR,FWD,,19,99,12,65.8333,71.6667,71.6,338400
1002228,105,Lachie,Fogarty,CAR,FWD,,20,48,13,64.4615,68.6667,69.0,341800
1002228,105,Lachie,Fogarty,CAR,FWD,,21,70,14,64.8571,72.3333,66.6,349500
1002228,105,Lachie,Fogarty,CAR,FWD,,22,11,15,61.2667,43.0,57.4,315600
294036,106,George,Hewett,CAR,MID,,0,106,1,106.0,0.0,0.0,440000
294036,106,George,Hewett,CAR,MID,,1,76,2,91.0,76.0,76.0,440000
294036,106,George,Hewett,CAR,MID,,3,124,3,102.0,100.0,100.0,464700
294036,106,George,Hewett,CAR,MID,,4,103,4,102.25,101.0,101.0,481900
294036,106,George,Hewett,CAR,MID,,5,105,5,102.8,110.667,102.0,508500
294036,106,George,Hewett,CAR,MID,,6,110,6,104.0,106.0,103.6,521200
294036,106,George,Hewett,CAR,MID,,7,75,7,99.8571,96.6667,103.4,517400
294036,106,George,Hewett,CAR,MID,,8,98,8,99.625,94.3333,98.2,512200
294036,106,George,Hewett,CAR,MID,,9,39,9,92.8889,70.6667,85.4,475800
294036,106,George,Hewett,CAR,MID,,10,50,10,88.6,62.3333,74.4,435600
294036,106,George,Hewett,CAR,MID,,11,97,11,89.3636,62.0,71.8,404800
294036,106,George,Hewett,CAR,MID,,12,66,12,87.4167,71.0,70.0,395300
