,player_id,name,team_abbrev,played,points,round_number,avg,weight,scr,scr_wgt,scr_pos,avg_adj,round_rank_by_pos_all_players,round_rank_by_pos_drafted_players
9382,662,B.Grundy,SYD,1,139,0,139.0,0.105,3.415,3.0833049999999997,RUC,77.8,1.0,1.0
9451,666,I.Heeney,SYD,1,144,0,144.0,0.368,3.819,2.935064,MID,78.0,1.0,1.0
9452,666,I.Heeney,SYD,1,144,0,144.0,0.263,3.819,3.603603,FWD,78.0,1.0,1.0
612,138,N.Daicos,COL,1,131,0,131.0,0.263,2.768,2.5925789999999997,DEF,77.4,1.5,1.5
4130,348,L.Ash,GWS,1,131,0,131.0,0.263,2.768,1.7054799999999997,DEF,77.4,1.5,1.5
271,115,H.McKay,CAR,1,130,0,130.0,0.263,2.687,2.02161,FWD,77.4,2.0,2.0
488,133,D.Cameron,COL,1,133,0,133.0,0.105,2.93,2.6329550000000004,RUC,77.5,2.0,2.0
6161,474,J.Viney,MEL,1,138,0,138.0,0.368,3.334,1.5480960000000001,MID,77.7,2.0,2.0
2902,273,S.Flanders,GCS,1,124,0,124.0,0.263,2.202,2.4686820000000003,FWD,77.1,3.0,3.0
3228,293,M.Rowell,GCS,1,137,0,137.0,0.368,3.253,2.0275600000000003,MID,77.7,3.0,3.0
3394,301,J.Witts,GCS,1,110,0,110.0,0.105,1.07,0.9983900000000001,RUC,76.5,3.0,3.0
8319,598,J.Short,RIC,1,130,0,130.0,0.263,2.687,1.5726689999999999,DEF,77.4,3.0,3.0
3182,289,W.Powell,GCS,1,123,0,123.0,0.263,2.121,1.332526,DEF,77.1,4.0,4.0
4169,350,K.Briggs,GWS,1,109,0,109.0,0.105,0.989,0.793595,RUC,76.5,4.0,4.0
4329,362,T.Green,GWS,1,132,0,132.0,0.368,2.849,1.9389360000000002,MID,77.5,4.0,4.0
9784,681,T.Papley,SYD,1,120,0,120.0,0.263,1.879,1.2596349999999998,FWD,77.0,4.0,
613,138,N.Daicos,COL,1,131,0,131.0,0.368,2.768,2.286288,MID,77.4,5.0,5.0
4409,368,J.Hogan,GWS,1,113,0,113.0,0.263,1.313,1.150729,FWD,76.7,5.0,4.0
8159,589,S.Naismith,RIC,1,93,0,93.0,0.105,-0.305,-0.750095,RUC,75.8,5.0,
5565,44,H.Andrews,BRL,1,118,0,118.0,0.263,1.717,0.8938100000000001,DEF,76.9,5.5,5.5
8411,603,N.Vlastuin,RIC,1,118,0,118.0,0.263,1.717,1.110259,DEF,76.9,5.5,5.5
2901,273,S.Flanders,GCS,1,124,0,124.0,0.368,2.202,1.998864,MID,77.1,6.0,6.0
3053,280,B.King,GCS,1,107,0,107.0,0.263,0.827,-0.035640000000000005,FWD,76.4,6.0,
9758,68,O.McInerney,BRL,1,77,0,77.0,0.105,-1.598,-1.519775,RUC,75.1,6.0,5.0
2645,257,N.Anderson,GCS,1,122,0,122.0,0.368,2.04,1.432432,MID,77.0,7.0,7.0
5610,443,M.Gawn,MEL,1,72,0,72.0,0.105,-2.003,-1.57355,RUC,72.0,7.0,6.0
9226,652,N.Blakey,SYD,1,117,0,117.0,0.263,1.636,1.2191449999999997,DEF,76.8,7.0,7.0
11591,86,D.Zorko,BRL,1,105,0,105.0,0.263,0.666,1.122568,FWD,76.3,7.0,5.0
36,100,T.De Koning,CAR,1,64,0,64.0,0.105,-2.65,-2.4006250000000002,RUC,64.0,8.0,7.0
4191,351,C.Brown,GWS,1,103,0,103.0,0.263,0.504,-0.520911,FWD,76.2,8.0,
5725,451,S.May,MEL,1,115,0,115.0,0.263,1.474,0.9080239999999999,DEF,76.7,8.0,8.0
9902,690,C.Warner,SYD,1,118,0,118.0,0.368,1.717,1.121944,MID,76.9,8.0,8.0
3113,283,J.Lukosius,GCS,1,93,0,93.0,0.263,-0.305,-0.663732,FWD,75.8,9.0,
3156,286,T.Miller,GCS,1,116,0,116.0,0.368,1.555,0.9706159999999999,MID,76.8,9.0,9.0
4722,389,L.Whitfield,GWS,1,108,0,108.0,0.263,0.908,1.05265,DEF,76.4,9.0,9.0
9685,677,H.McLean,SYD,1,44,0,44.0,0.105,-4.267,-4.210825000000001,RUC,44.0,9.0,8.0
512,135,M.Cox,COL,1,36,0,36.0,0.105,-4.914,-4.914,RUC,36.0,10.0,
838,151,P.Lipinski,COL,1,87,0,87.0,0.263,-0.79,-0.8155110000000001,FWD,75.5,10.0,6.0
2822,266,S.Collins,GCS,1,102,0,102.0,0.263,0.423,-0.17927000000000004,DEF,76.2,10.0,
10404,72,L.Neale,BRL,1,112,0,112.0,0.368,1.232,1.4163679999999998,MID,76.6,10.0,10.0
4268,355,S.Coniglio,GWS,1,111,0,111.0,0.368,1.151,-0.15503200000000006,MID,76.6,11.0,11.0
4386,367,H.Himmelberg,GWS,1,101,0,101.0,0.263,0.342,0.095306,DEF,76.1,11.0,10.0
8303,597,S.Ryan,RIC,1,15,0,15.0,0.105,-6.612,-6.5776650000000005,RUC,15.0,11.0,
9428,665,W.Hayward,SYD,1,83,0,83.0,0.263,-1.113,-1.260017,FWD,75.3,11.0,
589,137,J.Daicos,COL,1,109,0,109.0,0.368,0.989,0.12493600000000005,MID,76.5,12.0,12.0
2731,260,C.Ballard,GCS,1,97,0,97.0,0.263,0.019,-0.8933470000000001,DEF,76.0,12.0,
6066,47,Z.Bailey,BRL,1,81,0,81.0,0.263,-1.275,-1.301037,FWD,75.3,12.5,7.5
9493,667,J.Jordon,SYD,1,81,0,81.0,0.263,-1.275,-1.366524,FWD,75.3,12.5,7.5
