,user_team_id,coach_first_name,round,pick,player_id,name,team_abbrev,avg,avg_adj,scr_wgt,rank,roll_rank
0,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,126.391,126.4,3.0259199999999997,1.0,1.0
1,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,126.864,124.6,2.835688,2.0,2.0
2,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,127.048,122.5,2.6132239999999998,3.0,3.0
3,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,127.45,120.6,2.412248,4.0,4.0
4,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,124.579,116.0,1.925608,5.0,5.0
6,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,125.444,114.5,1.7669759999999999,7.0,6.0
11,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,125.647,112.4,1.5445119999999999,12.0,7.0
16,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,126.75,111.0,1.3966239999999999,17.0,8.0
22,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,128.133,109.7,1.2588479999999997,23.0,8.0
30,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,126.071,106.1,0.8777519999999999,31.0,8.0
59,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,123.308,102.3,0.4757999999999998,60.0,8.0
66,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,125.333,101.3,0.3702559999999998,67.0,8.0
111,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,119.818,96.4,-0.14861600000000008,112.0,8.0
142,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,118.3,93.8,-0.42353600000000013,143.0,8.0
151,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,121.111,93.0,-0.5082240000000002,152.0,8.0
191,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,119.375,90.4,-0.7831440000000001,192.0,8.0
248,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,116.143,87.5,-1.0902960000000002,249.0,8.0
265,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,118.5,86.3,-1.2166960000000004,266.0,8.0
299,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,128.25,84.3,-1.4284160000000001,300.0,8.0
302,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,117.2,84.2,-1.43916,303.0,8.0
365,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,124.0,81.4,-1.735568,366.0,8.0
402,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,131.0,79.9,-1.8942000000000003,403.0,8.0
470,714.0,Mark,1.0,1.0,695,M.Bontempelli,WBD,126.0,77.2,-2.1798640000000002,471.0,8.0
10,719.0,Luke,1.0,2.0,138,N.Daicos,COL,117.174,117.2,1.5943640000000001,11.0,1.0
27,719.0,Luke,1.0,2.0,138,N.Daicos,COL,114.045,112.3,0.989287,28.0,2.0
