,round,pick,coach_first_name,player_id,feed_id,name,team_abbrev,scr_pos,avg,round_rank_by_pos_all_players,round_rank_by_pos_drafted_players,scr,pos_scr,p,n,sum_n,weight,scr_wgt,nearest_7_rank
0,1.0,1.0,Mark,695,297373,M.Bontempelli,WBD,MID,126.3913043478261,11.282608695652174,9.804347826086957,2.395,2.4,MID,7,19,0.368,2.397,1
1,1.0,2.0,Luke,138,1023261,N.Daicos,COL,DEF,117.17391304347827,21.630434782608695,12.478260869565217,1.65,2.101,DEF,5,19,0.263,1.769,2
2,1.0,3.0,Simon,706,1004592,T.English,WBD,RUC,108.0,7.318181818181818,6.318181818181818,0.908,0.401,RUC,2,19,0.105,0.855,4
3,1.0,4.0,Lester,459,298210,C.Petracca,MEL,MID,103.23076923076923,23.653846153846153,19.23076923076923,0.523,0.036,MID,7,19,0.368,0.344,6
4,1.0,5.0,Paul,443,290528,M.Gawn,MEL,RUC,124.14285714285714,4.785714285714286,4.214285714285714,2.214,2.087,RUC,2,19,0.105,2.201,1
5,1.0,6.0,James,197,992016,Z.Merrett,ESS,MID,115.26086956521739,16.391304347826086,13.847826086956522,1.495,1.264,MID,7,19,0.368,1.41,2
6,1.0,7.0,Anthony,458,996701,C.Oliver,MEL,MID,83.80952380952381,36.642857142857146,27.547619047619047,-1.048,-1.946,MID,7,19,0.368,-1.378,8
7,1.0,8.0,Jordan,629,992468,R.Marshall,STK,RUC,112.0,6.5,5.673913043478261,1.232,0.819,RUC,2,19,0.105,1.189,2
8,2.0,9.0,Mark,9,992242,J.Dawson,ADE,MID,102.13636363636364,26.022727272727273,20.863636363636363,0.434,-0.076,MID,7,19,0.368,0.246,5
9,2.0,10.0,Luke,362,1009528,T.Green,GWS,MID,106.56521739130434,21.67391304347826,17.065217391304348,0.792,0.376,MID,7,19,0.368,0.639,4
10,2.0,11.0,Simon,20,293222,R.Laird,ADE,MID,104.1304347826087,23.065217391304348,18.91304347826087,0.595,0.128,MID,7,19,0.368,0.423,5
11,2.0,12.0,Lester,350,1008436,K.Briggs,GWS,RUC,95.81818181818181,8.863636363636363,7.590909090909091,-0.077,-0.872,RUC,2,19,0.105,-0.16,8
12,2.0,13.0,Paul,526,1006121,Z.Butters,PTA,MID,120.43478260869566,13.891304347826088,12.08695652173913,1.914,1.792,MID,7,19,0.368,1.869,1
13,2.0,14.0,James,663,1013128,E.Gulden,SYD,MID,108.0,21.76086956521739,18.347826086956523,0.908,0.523,MID,7,19,0.368,0.766,4
14,2.0,15.0,Anthony,425,297566,J.Sicily,HAW,DEF,98.9,34.6,19.875,0.172,0.199,DEF,5,19,0.263,0.179,6
15,2.0,16.0,Jordan,342,291800,T.Stewart,GEE,DEF,96.68181818181819,34.5,19.40909090909091,-0.007,-0.032,DEF,5,19,0.263,-0.014,6
16,3.0,17.0,Mark,537,994295,D.Houston,PTA,DEF,106.81818181818181,25.272727272727273,15.704545454545455,0.813,1.023,DEF,5,19,0.263,0.868,3
17,3.0,18.0,Luke,662,293957,B.Grundy,SYD,RUC,106.6086956521739,7.3478260869565215,6.304347826086956,0.796,0.256,RUC,2,19,0.105,0.739,5
18,3.0,19.0,Simon,483,1002267,L.Davies-Uniacke,NTH,MID,109.1304347826087,21.695652173913043,18.02173913043478,1.0,0.638,MID,7,19,0.368,0.867,4
19,3.0,20.0,Lester,717,290799,T.Liberatore,WBD,MID,104.23529411764706,22.941176470588236,19.558823529411764,0.604,0.138,MID,7,19,0.368,0.433,5
20,3.0,21.0,Paul,242,1009420,C.Serong,FRE,MID,115.69565217391305,17.0,14.521739130434783,1.531,1.308,MID,7,19,0.368,1.449,3
21,3.0,22.0,James,719,295467,J.Macrae,WBD,FWD,72.77777777777777,64.72222222222223,24.583333333333332,-1.94,-1.159,FWD,5,19,0.263,-1.735,8
22,3.0,23.0,Anthony,552,1001299,C.Rozee,PTA,MID,98.25,28.575,22.075,0.12,-0.473,MID,7,19,0.368,-0.098,7
23,3.0,24.0,Jordan,54,993834,J.Dunkley,BRL,MID,111.78260869565217,18.391304347826086,15.695652173913043,1.214,0.909,MID,7,19,0.368,1.102,4
24,4.0,25.0,Mark,72,293535,L.Neale,BRL,MID,119.86363636363636,16.454545454545453,13.409090909090908,1.868,1.733,MID,7,19,0.368,1.818,2
25,4.0,26.0,Luke,198,993817,D.Parish,ESS,MID,89.33333333333333,38.375,28.791666666666668,-0.601,-1.383,MID,7,19,0.368,-0.889,8
26,4.0,27.0,Simon,241,998659,L.Ryan,FRE,DEF,116.6086956521739,18.73913043478261,11.695652173913043,1.604,2.042,DEF,5,19,0.263,1.719,2
27,4.0,28.0,Lester,301,291975,J.Witts,GCS,RUC,107.875,6.625,5.8125,0.898,0.388,RUC,2,19,0.105,0.844,3
28,4.0,29.0,Paul,286,298272,T.Miller,GCS,MID,102.55555555555556,23.055555555555557,18.916666666666668,0.468,-0.033,MID,7,19,0.368,0.284,6
29,4.0,30.0,James,666,298539,I.Heeney,SYD,FWD,116.76190476190476,15.071428571428571,7.523809523809524,1.617,3.0,FWD,5,19,0.263,1.981,1
30,4.0,31.0,Anthony,215,1002232,A.Brayshaw,FRE,MID,109.82608695652173,20.17391304347826,16.891304347826086,1.056,0.709,MID,7,19,0.368,0.928,2
31,4.0,32.0,Jordan,126,1006094,S.Walsh,CAR,MID,108.36842105263158,21.18421052631579,17.68421052631579,0.938,0.56,MID,7,19,0.368,0.799,4
32,5.0,33.0,Mark,640,296205,J.Steele,STK,MID,108.6086956521739,19.73913043478261,16.565217391304348,0.957,0.585,MID,7,19,0.368,0.82,4
33,5.0,34.0,Luke,230,1009399,L.Jackson,FRE,FWD,94.52173913043478,34.391304347826086,15.630434782608695,-0.182,0.897,FWD,5,19,0.263,0.102,5
34,5.0,35.0,Simon,221,998145,S.Darcy,FRE,RUC,98.25,8.625,7.625,0.12,-0.618,RUC,2,19,0.105,0.043,5
35,5.0,36.0,Lester,255,1009256,H.Young,FRE,DEF,101.34782608695652,29.891304347826086,17.804347826086957,0.37,0.454,DEF,5,19,0.263,0.392,5
36,5.0,37.0,Paul,639,994389,J.Sinclair,STK,DEF,109.9090909090909,22.90909090909091,14.545454545454545,1.063,1.345,DEF,5,19,0.263,1.137,3
37,5.0,38.0,James,598,992049,J.Short,RIC,DEF,82.0909090909091,53.95454545454545,27.09090909090909,-1.187,-1.55,DEF,5,19,0.263,-1.282,7
38,5.0,39.0,Anthony,509,1023518,H.Sheezel,NTH,DEF,117.95238095238095,16.142857142857142,10.976190476190476,1.713,2.182,DEF,5,19,0.263,1.836,2
39,5.0,40.0,Jordan,273,1009260,S.Flanders,GCS,FWD,119.04545454545455,8.636363636363637,5.4772727272727275,1.801,3.216,FWD,5,19,0.263,2.173,1
40,6.0,41.0,Mark,27,297523,R.O'Brien,ADE,RUC,93.28571428571429,9.476190476190476,8.0,-0.282,-1.136,RUC,2,19,0.105,-0.372,6
41,6.0,42.0,Luke,585,290847,D.*** Martin,RIC,FWD,63.46153846153846,78.53846153846153,29.23076923076923,-2.693,-2.04,FWD,5,19,0.263,-2.521,7
42,6.0,43.0,Simon,257,1009199,N.Anderson,GCS,MID,106.69565217391305,24.652173913043477,19.195652173913043,0.803,0.389,MID,7,19,0.368,0.651,3
43,6.0,44.0,Lester,690,1012014,C.Warner,SYD,MID,103.86363636363636,24.272727272727273,19.181818181818183,0.574,0.1,MID,7,19,0.368,0.4,4
