,feed_id,player_id,scr_pos,count,avg,pos_scr,mean,sd
171,1009260,273,FWD,22,119.04545454545455,3.216,85.0349613779445,10.575399608056781
55,298539,666,FWD,21,116.76190476190476,3.0,85.0349613779445,10.575399608056781
1,261224,86,FWD,23,110.43478260869566,2.402,85.0349613779445,10.575399608056781
52,297373,695,MID,23,126.3913043478261,2.4,102.879972203589,9.797866887539554
219,1023518,509,DEF,21,117.95238095238095,2.182,96.98531134300332,9.610427729930151
216,1023261,138,DEF,23,117.17391304347827,2.101,96.98531134300332,9.610427729930151
3,290528,443,RUC,21,124.14285714285714,2.087,104.16184581805271,9.57260498747328
101,998659,241,DEF,23,116.6086956521739,2.042,96.98531134300332,9.610427729930151
120,1006121,526,MID,23,120.43478260869566,1.792,102.879972203589,9.797866887539554
25,293535,72,MID,22,119.86363636363636,1.733,102.879972203589,9.797866887539554
27,1004965,518,RUC,23,119.8695652173913,1.641,104.16184581805271,9.57260498747328
24,294305,389,DEF,23,111.0,1.458,96.98531134300332,9.610427729930151
18,291790,730,MID,22,116.5909090909091,1.399,102.879972203589,9.797866887539554
31,294859,766,DEF,19,110.26315789473684,1.382,96.98531134300332,9.610427729930151
79,994389,639,DEF,22,109.9090909090909,1.345,96.98531134300332,9.610427729930151
145,1009420,242,MID,23,115.69565217391305,1.308,102.879972203589,9.797866887539554
65,992016,197,MID,23,115.26086956521739,1.264,102.879972203589,9.797866887539554
153,1006314,415,FWD,23,97.73913043478261,1.201,85.0349613779445,10.575399608056781
108,1001195,31,FWD,15,96.8,1.112,85.0349613779445,10.575399608056781
76,994295,537,DEF,22,106.81818181818181,1.023,96.98531134300332,9.610427729930151
73,993834,54,MID,23,111.78260869565217,0.909,102.879972203589,9.797866887539554
176,1009399,230,FWD,23,94.52173913043478,0.897,85.0349613779445,10.575399608056781
144,1006103,173,FWD,23,93.95652173913044,0.844,85.0349613779445,10.575399608056781
169,1012013,193,DEF,23,105.04347826086956,0.838,96.98531134300332,9.610427729930151
14,992468,629,RUC,23,112.0,0.819,104.16184581805271,9.57260498747328
18,292128,779,DEF,20,104.8,0.813,96.98531134300332,9.610427729930151
137,1006152,218,DEF,23,104.6086956521739,0.793,96.98531134300332,9.610427729930151
62,990704,97,MID,23,110.47826086956522,0.776,102.879972203589,9.797866887539554
100,1002232,215,MID,23,109.82608695652173,0.709,102.879972203589,9.797866887539554
41,296324,368,FWD,23,92.3913043478261,0.696,85.0349613779445,10.575399608056781
105,1002267,483,MID,23,109.1304347826087,0.638,102.879972203589,9.797866887539554
9,298174,590,RUC,21,110.23809523809524,0.635,104.16184581805271,9.57260498747328
44,296205,640,MID,23,108.6086956521739,0.585,102.879972203589,9.797866887539554
110,1001026,202,DEF,9,102.55555555555556,0.58,96.98531134300332,9.610427729930151
117,1006094,126,MID,19,108.36842105263158,0.56,102.879972203589,9.797866887539554
164,1013128,663,MID,23,108.0,0.523,102.879972203589,9.797866887539554
117,1002251,357,FWD,21,90.0,0.469,85.0349613779445,10.575399608056781
50,297907,120,DEF,23,101.47826086956522,0.468,96.98531134300332,9.610427729930151
159,1009256,255,DEF,23,101.34782608695652,0.454,96.98531134300332,9.610427729930151
88,998215,204,MID,4,107.25,0.446,102.879972203589,9.797866887539554
185,1015507,643,DEF,22,100.9090909090909,0.408,96.98531134300332,9.610427729930151
25,1004592,706,RUC,22,108.0,0.401,104.16184581805271,9.57260498747328
137,1009199,257,MID,23,106.69565217391305,0.389,102.879972203589,9.797866887539554
4,291975,301,RUC,16,107.875,0.388,104.16184581805271,9.57260498747328
147,1009528,362,MID,23,106.56521739130434,0.376,102.879972203589,9.797866887539554
53,297401,7,MID,15,105.53333333333333,0.271,102.879972203589,9.797866887539554
5,293957,662,RUC,23,106.6086956521739,0.256,104.16184581805271,9.57260498747328
188,1015889,325,DEF,23,99.08695652173913,0.219,96.98531134300332,9.610427729930151
48,297566,425,DEF,20,98.9,0.199,96.98531134300332,9.610427729930151
146,1008280,725,DEF,20,98.55,0.163,96.98531134300332,9.610427729930151
105,1000953,115,FWD,20,86.7,0.157,85.0349613779445,10.575399608056781
26,293845,307,FWD,22,86.5,0.139,85.0349613779445,10.575399608056781
11,290799,717,MID,17,104.23529411764706,0.138,102.879972203589,9.797866887539554
24,293222,20,MID,23,104.1304347826087,0.128,102.879972203589,9.797866887539554
85,996708,702,DEF,23,98.0,0.106,96.98531134300332,9.610427729930151
12,990291,133,RUC,23,105.1304347826087,0.101,104.16184581805271,9.57260498747328
156,1012014,690,MID,22,103.86363636363636,0.1,102.879972203589,9.797866887539554
134,1006028,652,DEF,23,97.47826086956522,0.051,96.98531134300332,9.610427729930151
56,298210,459,MID,13,103.23076923076923,0.036,102.879972203589,9.797866887539554
44,296420,457,FWD,23,85.08695652173913,0.005,85.0349613779445,10.575399608056781
99,999827,488,FWD,18,85.0,-0.003,85.0349613779445,10.575399608056781
14,291800,342,DEF,22,96.68181818181819,-0.032,96.98531134300332,9.610427729930151
58,298272,286,MID,18,102.55555555555556,-0.033,102.879972203589,9.797866887539554
21,1000980,413,RUC,19,103.47368421052632,-0.072,104.16184581805271,9.57260498747328
189,1012819,249,FWD,20,84.25,-0.074,85.0349613779445,10.575399608056781
67,992242,9,MID,22,102.13636363636364,-0.076,102.879972203589,9.797866887539554
138,1009208,293,MID,23,102.1304347826087,-0.077,102.879972203589,9.797866887539554
29,294518,52,FWD,23,83.91304347826087,-0.106,85.0349613779445,10.575399608056781
93,998102,194,DEF,23,95.3913043478261,-0.166,96.98531134300332,9.610427729930151
80,996554,775,FWD,20,83.1,-0.183,85.0349613779445,10.575399608056781
81,996731,99,FWD,21,82.42857142857143,-0.246,85.0349613779445,10.575399608056781
185,1011936,676,FWD,17,82.3529411764706,-0.254,85.0349613779445,10.575399608056781
102,1000223,562,FWD,18,82.33333333333333,-0.255,85.0349613779445,10.575399608056781
26,1004912,100,RUC,17,101.52941176470588,-0.275,104.16184581805271,9.57260498747328
130,1004938,331,FWD,23,81.91304347826087,-0.295,85.0349613779445,10.575399608056781
47,296347,372,MID,15,99.93333333333334,-0.301,102.879972203589,9.797866887539554
150,1011640,536,MID,21,99.66666666666667,-0.328,102.879972203589,9.797866887539554
32,294318,560,MID,22,99.36363636363636,-0.359,102.879972203589,9.797866887539554
123,1004863,16,DEF,22,93.45454545454545,-0.367,96.98531134300332,9.610427729930151
73,993946,19,FWD,23,81.04347826086956,-0.377,85.0349613779445,10.575399608056781
259,1023492,770,FWD,20,80.55,-0.424,85.0349613779445,10.575399608056781
109,1000981,594,DEF,23,92.8695652173913,-0.428,96.98531134300332,9.610427729930151
182,1011659,507,FWD,23,80.17391304347827,-0.46,85.0349613779445,10.575399608056781
34,295340,648,FWD,18,80.11111111111111,-0.466,85.0349613779445,10.575399608056781
196,1020895,418,MID,23,98.30434782608695,-0.467,102.879972203589,9.797866887539554
96,1001299,552,MID,20,98.25,-0.473,102.879972203589,9.797866887539554
82,996765,681,FWD,18,80.0,-0.476,85.0349613779445,10.575399608056781
95,1000978,67,MID,23,98.08695652173913,-0.489,102.879972203589,9.797866887539554
77,993998,511,FWD,18,79.66666666666667,-0.508,85.0349613779445,10.575399608056781
16,291533,453,FWD,22,79.5,-0.523,85.0349613779445,10.575399608056781
43,296422,645,DEF,23,91.73913043478261,-0.546,96.98531134300332,9.610427729930151
223,1017126,704,FWD,20,79.25,-0.547,85.0349613779445,10.575399608056781
45,297354,390,DEF,23,91.65217391304348,-0.555,96.98531134300332,9.610427729930151
35,295344,363,FWD,22,79.13636363636364,-0.558,85.0349613779445,10.575399608056781
29,294674,603,DEF,22,91.31818181818181,-0.59,96.98531134300332,9.610427729930151
68,993107,367,DEF,23,91.26086956521739,-0.596,96.98531134300332,9.610427729930151
0,250365,523,FWD,20,78.6,-0.608,85.0349613779445,10.575399608056781
18,998145,221,RUC,12,98.25,-0.618,104.16184581805271,9.57260498747328
114,1002235,75,FWD,23,78.43478260869566,-0.624,85.0349613779445,10.575399608056781
56,298630,190,FWD,23,78.34782608695652,-0.632,85.0349613779445,10.575399608056781
3,281085,451,DEF,19,90.47368421052632,-0.678,96.98531134300332,9.610427729930151
64,992059,247,FWD,20,77.3,-0.731,85.0349613779445,10.575399608056781
76,993993,566,FWD,22,77.22727272727273,-0.738,85.0349613779445,10.575399608056781
43,295898,762,MID,20,95.45,-0.758,102.879972203589,9.797866887539554
109,1001398,110,FWD,23,76.91304347826087,-0.768,85.0349613779445,10.575399608056781
163,1008384,40,FWD,7,76.42857142857143,-0.814,85.0349613779445,10.575399608056781
212,1015781,480,FWD,19,76.15789473684211,-0.839,85.0349613779445,10.575399608056781
87,998172,601,MID,15,94.53333333333333,-0.852,102.879972203589,9.797866887539554
121,1006126,686,MID,21,94.52380952380952,-0.853,102.879972203589,9.797866887539554
28,1005521,68,RUC,22,96.0,-0.853,104.16184581805271,9.57260498747328
137,1005577,177,FWD,16,75.9375,-0.86,85.0349613779445,10.575399608056781
32,1008436,350,RUC,22,95.81818181818181,-0.872,104.16184581805271,9.57260498747328
140,1007881,289,DEF,18,88.55555555555556,-0.877,96.98531134300332,9.610427729930151
269,1025034,314,FWD,23,75.73913043478261,-0.879,85.0349613779445,10.575399608056781
224,1024272,503,DEF,16,88.5,-0.883,96.98531134300332,9.610427729930151
123,1003130,151,FWD,23,75.65217391304348,-0.887,85.0349613779445,10.575399608056781
4,280711,530,FWD,16,75.5,-0.902,85.0349613779445,10.575399608056781
88,997078,200,DEF,21,88.28571428571429,-0.905,96.98531134300332,9.610427729930151
67,993794,403,FWD,23,75.43478260869566,-0.908,85.0349613779445,10.575399608056781
71,993878,330,FWD,10,75.2,-0.93,85.0349613779445,10.575399608056781
196,1012862,107,FWD,21,75.14285714285714,-0.935,85.0349613779445,10.575399608056781
6,290629,184,DEF,18,88.0,-0.935,96.98531134300332,9.610427729930151
130,1005144,396,DEF,22,87.68181818181819,-0.968,96.98531134300332,9.610427729930151
31,294643,295,FWD,15,74.6,-0.987,85.0349613779445,10.575399608056781
221,1017094,409,FWD,23,74.34782608695652,-1.011,85.0349613779445,10.575399608056781
45,296294,87,MID,22,92.9090909090909,-1.018,102.879972203589,9.797866887539554
20,293871,136,DEF,23,87.17391304347827,-1.021,96.98531134300332,9.610427729930151
10,290826,745,FWD,23,74.21739130434783,-1.023,85.0349613779445,10.575399608056781
37,295461,124,DEF,17,86.88235294117646,-1.051,96.98531134300332,9.610427729930151
30,294036,106,MID,21,92.14285714285714,-1.096,102.879972203589,9.797866887539554
166,1008541,461,FWD,21,73.38095238095238,-1.102,85.0349613779445,10.575399608056781
51,298268,749,DEF,21,86.0952380952381,-1.133,96.98531134300332,9.610427729930151
7,297523,27,RUC,21,93.28571428571429,-1.136,104.16184581805271,9.57260498747328
160,1009378,462,DEF,23,85.91304347826087,-1.152,96.98531134300332,9.610427729930151
120,1002403,588,FWD,21,72.80952380952381,-1.156,85.0349613779445,10.575399608056781
36,295467,719,FWD,18,72.77777777777777,-1.159,85.0349613779445,10.575399608056781
84,997230,340,FWD,23,72.78260869565217,-1.159,85.0349613779445,10.575399608056781
134,1008550,397,MID,16,91.1875,-1.193,102.879972203589,9.797866887539554
37,295584,623,FWD,22,72.0909090909091,-1.224,85.0349613779445,10.575399608056781
167,1011981,42,DEF,13,85.0,-1.247,96.98531134300332,9.610427729930151
141,1008083,369,DEF,23,85.0,-1.247,96.98531134300332,9.610427729930151
194,1012857,400,FWD,21,71.80952380952381,-1.251,85.0349613779445,10.575399608056781
94,1000972,531,MID,23,90.52173913043478,-1.261,102.879972203589,9.797866887539554
158,1009253,348,DEF,17,84.76470588235294,-1.272,96.98531134300332,9.610427729930151
79,996232,182,FWD,13,71.38461538461539,-1.291,85.0349613779445,10.575399608056781
97,998134,606,DEF,23,84.30434782608695,-1.32,96.98531134300332,9.610427729930151
112,1002227,622,FWD,20,70.8,-1.346,85.0349613779445,10.575399608056781
111,1005054,137,MID,23,89.56521739130434,-1.359,102.879972203589,9.797866887539554
48,297899,711,FWD,8,70.625,-1.363,85.0349613779445,10.575399608056781
