,Name,Type,#,DOB,Age,Height,Weight,Gm,SOO,Recruited from,team,short_team
0,Rory Atkins,Mid-Med,21,"12 Jul, 1994",25 y 229 d,186 cm,85 kg,97,VIC,Calder Cannons,adelaidecrows,ADE
1,Luke Brown,Def-Med-Gen,16,"22 Sep, 1992",27 y 157 d,181 cm,81 kg,150,SA,Norwood,adelaidecrows,ADE
2,Brad Crouch,Mid-Med,2,"14 Jan, 1994",26 y 43 d,186 cm,85 kg,83,VIC,North Ballarat Rebels,adelaidecrows,ADE
3,Matt Crouch,Mid-Med,5,"21 Apr, 1995",24 y 311 d,182 cm,80 kg,109,VIC,North Ballarat Rebels,adelaidecrows,ADE
4,Ben Davis,Fwd-Med-Gen,40,"19 May, 1997",22 y 283 d,187 cm,85 kg,1,NSW,UNSW,adelaidecrows,ADE
5,Tom Doedee,Def-Med-Key,39,"1 Mar, 1997",22 y 362 d,188 cm,88 kg,21,VIC,Geelong Falcons,adelaidecrows,ADE
6,Darcy Fogarty,Util-Tall,32,"25 Sep, 1999",20 y 154 d,193 cm,94 kg,14,SA,Glenelg,adelaidecrows,ADE
7,Billy Frampton,Ruck-Tall,22,"20 Nov, 1996",23 y 98 d,200 cm,90 kg,3,WA,South Fremantle,adelaidecrows,ADE
8,Jordan Gallucci,Util-Med,7,"4 May, 1998",21 y 298 d,182 cm,78 kg,27,VIC,Eastern Ranges,adelaidecrows,ADE
9,Bryce Gibbs,Mid-Med,6,"15 Mar, 1989",30 y 348 d,188 cm,84 kg,265,SA,Glenelg,adelaidecrows,ADE
10,Lachlan Gollant,Mid-Tall,44,"12 Sep, 2001",18 y 167 d,189 cm,70 kg,,VIC,Calder Cannons,adelaidecrows,ADE
11,Will Hamill,Def-Med-Gen,17,"17 Nov, 2000",19 y 101 d,186 cm,71 kg,,VIC,Dandenong Stingrays,adelaidecrows,ADE
12,Kyle Hartigan,Def-Tall-Key,15,"7 Nov, 1991",28 y 111 d,194 cm,98 kg,101,VIC,Werribee  ,adelaidecrows,ADE
13,Elliott Himmelberg,Util-Tall,34,"4 Jun, 1998",21 y 267 d,198 cm,96 kg,8,QLD,Redlands,adelaidecrows,ADE
14,Chayce Jones,Mid-Smal,1,"14 Jan, 2000",20 y 43 d,180 cm,77 kg,8,TAS,Launceston,adelaidecrows,ADE
15,Jake Kelly,Def-Med-Key,8,"21 Jan, 1995",25 y 36 d,190 cm,89 kg,75,VIC,Oakleigh Chargers,adelaidecrows,ADE
16,Riley Knight,Mid-Med,3,"27 Mar, 1995",24 y 336 d,181 cm,80 kg,54,SA,Woodville-West Torrens,adelaidecrows,ADE
17,Rory Laird,Def-Smal-Gen,29,"29 Dec, 1993",26 y 59 d,177 cm,81 kg,143,SA,West Adelaide,adelaidecrows,ADE
18,Tom T. Lynch,Fwd-Tall-Gen,27,"15 Sep, 1990",29 y 164 d,193 cm,88 kg,139,VIC,Sandringham Dragons,adelaidecrows,ADE
19,David Mackay,Mid-Med,14,"25 Jul, 1988",31 y 216 d,181 cm,78 kg,220,VIC,Oakleigh,adelaidecrows,ADE
20,Shane McAdam,Fwd-Med-Gen,23,"28 May, 1995",24 y 274 d,181 cm,78 kg,,WA,Sturt,adelaidecrows,ADE
21,Fischer McAsey,Def-Tall-Key,35,"8 Mar, 2001",18 y 355 d,195 cm,86 kg,,VIC,Sandringham Dragons,adelaidecrows,ADE
22,Ned McHenry,Mid-Med,25,"13 Jul, 2000",19 y 228 d,179 cm,70 kg,,VIC,Geelong Falcons,adelaidecrows,ADE
23,Andrew McPherson,Def-Med-Gen,36,"20 Jun, 1999",20 y 251 d,186 cm,79 kg,,SA,Woodville West Torrens,adelaidecrows,ADE
24,Wayne Milera,Fwd-Med-Gen,30,"14 Sep, 1997",22 y 165 d,184 cm,81 kg,60,SA,Central Districts,adelaidecrows,ADE
25, Lachlan Murphy,Def-Smal-Gen,4,"4 Dec, 1998",21 y 84 d,176 cm,76 kg,32,SA,Adelaide FC,adelaidecrows,ADE
26,Reilly O'Brien,Ruck-Tall,43,"20 Aug, 1995",24 y 190 d,202 cm,101 kg,20,VIC,Calder Cannons,adelaidecrows,ADE
27,Ronin O'Connor,Mid-Tall,37,"1 Feb, 2001",19 y 25 d,191 cm,85 kg,,WA,Claremont,adelaidecrows,ADE
28,Myles Poholke,Util-Med,10,"10 Jul, 1998",21 y 231 d,186 cm,86 kg,11,VIC,Dandenong Stingrays,adelaidecrows,ADE
29,Harry Schoenberg,Mid-Med,26,"21 Feb, 2001",19 y 5 d,180 cm,78 kg,,SA,Woodville-West Torrens,adelaidecrows,ADE
30,Paul Seedsman,Mid-Med,11,"22 Jan, 1992",28 y 35 d,190 cm,87 kg,101,VIC,Eastern Ranges,adelaidecrows,ADE
31,Lachlan Sholl,Def-Med-Gen,38,"7 Mar, 2000",19 y 356 d,185 cm,77 kg,,VIC,Calder Cannons,adelaidecrows,ADE
32,Rory Sloane,Mid-Med,9,"17 Mar, 1990",29 y 346 d,182 cm,83 kg,199,VIC,Eastern Ranges,adelaidecrows,ADE
33,Brodie Smith,Def-Med-Gen,33,"14 Jan, 1992",28 y 43 d,189 cm,90 kg,167,SA,Woodville West Torrens,adelaidecrows,ADE
34,Tyson Stengle,Fwd-Smal-Gen,18,"19 Oct, 1998",21 y 130 d,172 cm,73 kg,4,SA,Woodville-West Torrens,adelaidecrows,ADE
35,Daniel Talia,Def-Tall-Key,12,"2 Oct, 1991",28 y 147 d,197 cm,98 kg,186,VIC,Calder Cannons,adelaidecrows,ADE
36,Taylor Walker,Fwd-Tall-Key,13,"25 Apr, 1990",29 y 307 d,193 cm,100 kg,189,NSW,Broken Hill North,adelaidecrows,ADE
37,Joshua Worrell,Def-Tall-Key,24,"11 Apr, 2001",18 y 321 d,195 cm,74 kg,,VIC,Sandringham Dragons,adelaidecrows,ADE
38, Jordon Butts,Def-Tall-Key,41,"31 Dec, 1999",20 y 57 d,198 cm,83 kg,,VIC,Murray Bushrangers,adelaidecrows,ADE
