fanfooty_team_name,fanfooty_team_name_mid,fanfooty_team_name_long,footywire_team_name,sc_team_name
AD,Adelaide,adelaidecrows,Adelaide,ADE
BL,Brisbane Lions,brisbanelions,Brisbane,BRI
CA,Carlton,carltonblues,Carlton,CAR
CO,Collingwood,collingwoodmagpies,Collingwood,COL
ES,Essendon,essendonbombers,Essendon,ESS
FR,Fremantle,fremantledockers,Fremantle,FRE
GC,Gold Coast,goldcoastsuns,Gold Coast,GCS
GE,Geelong,geelongcats,Geelong,GEE
HW,Hawthorn,hawthornhawks,Hawthorn,HAW
ME,Melbourne,melbournedemons,Melbourne,MEL
NM,North Melbourne,northmelbournekangaroos,North Melbourne,NTH
PA,Port Adelaide,portadelaidepower,Port Adelaide,PTA
RI,Richmond,richmondtigers,Richmond,RIC
SK,St Kilda,stkildasaints,St Kilda,STK
SY,Sydney,sydneyswans,Sydney,SYD
WB,Western Bulldogs,westernbulldogs,Western Bulldogs,WBD
WC,West Coast,westcoasteagles,West Coast,WCE
WS,GWS,westernsydneygiants,GWS,GWS
ME,Naarm,melbournedemons,Melbourne,MEL
