,round,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number_alt,player_round_id,Fanfooty Match ID,Fanfooty Match URL,Round,Year,Player ID,First Name,Surname,Team,null,DT,SC,null2,null3,null4,Kicks,Handballs,Marks,Tackles,Hitouts,Frees for,Frees against,Goals,Behinds,Not sure,Tag,Tag Notes,Tag 2,Tag 2 Notes,null5,null6,null7,null8,Position,Jumper Number,null9,null10,null11,DT own %,SC own %,AF own %,null12,AF Breakeven,null13,Contested Possessions,Clearances,Clangers,Disposal efficiency,Time on ground,Metres gained,Injured,Opposition
0,1,86078,9806,Lester,HoweIMetYourMother,153,DEF,156,True,291313,Jeremy,Howe,COL,DEF,R1,291313_R1,7302.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7302,R1,2020.0,291313.0,Jeremy,Howe,CO,25.0,110.0,156.0,79.0,86.0,114.0,16.0,9.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,Full Time,hot,%D and %M with %T,job,In defence on Young,507700.0,,431900.0,,Back,38.0,0.0,0.0,0.0,0.0,0.0,0.0,597000.0,,,11.0,0.0,2.0,88.0,96.0,433.0,False,WB
1,2,86078,9806,Lester,HoweIMetYourMother,153,DEF,126,True,291313,Jeremy,Howe,COL,DEF,R2,291313_R2,7310.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7310,R2,2020.0,291313.0,Jeremy,Howe,CO,14.0,79.0,126.0,106.0,63.0,87.0,16.0,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,Full Time,rock,%O including %K... also %M and %T,job,In defence,507700.0,,,,Back,38.0,0.0,0.0,0.0,0.0,0.0,0.0,597000.0,,,4.0,0.0,5.0,80.0,100.0,364.0,False,RI
2,3,86078,9806,Lester,HoweIMetYourMother,153,DEF,88,True,291313,Jeremy,Howe,COL,DEF,R3,291313_R3,7322.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7322,R3,2020.0,291313.0,Jeremy,Howe,CO,8.0,61.0,88.0,81.0,47.0,66.0,16.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,Full Time,job,%D with %k by foot... also %M... In defence on Marsh,,,,,,,Back,38.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,2.0,88.0,92.0,437.0,False,SK
3,4,86078,9806,Lester,HoweIMetYourMother,153,DEF,112,True,291313,Jeremy,Howe,COL,DEF,R4,291313_R4,7329.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7329,R4,2020.0,291313.0,Jeremy,Howe,CO,14.0,92.0,112.0,48.0,70.0,93.0,18.0,5.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,Full Time,longterminjured,Terrible injury in a clash with Hopper in Q4 that left his right knee at a very bad angle... %O including %K... also %M and %T,job,In defence on Finlayson,,,,,Back,38.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,2.0,4.0,73.0,80.0,499.0,False,WS
4,1,86078,9806,Lester,HoweIMetYourMother,789,DEF,152,True,240283,Shannon,Hurn,WCE,DEF,R1,240283_R1,7309.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7309,R1,2020.0,240283.0,Shannon,Hurn,WC,14.0,94.0,152.0,122.0,75.0,99.0,17.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,Full Time,gun,%O including %K... also %M,guard,Floating at half back,549100.0,,562200.0,,Back,25.0,0.0,0.0,0.0,0.0,0.0,0.0,645000.0,,,5.0,0.0,0.0,95.0,83.0,339.0,False,ME
5,2,86078,9806,Lester,HoweIMetYourMother,789,DEF,73,True,240283,Shannon,Hurn,WCE,DEF,R2,240283_R2,7315.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7315,R2,2020.0,240283.0,Shannon,Hurn,WC,8.0,53.0,73.0,26.0,44.0,63.0,11.0,5.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,Full Time,guard,%M and %D... Floating at half back,,,549100.0,,,,Back,25.0,0.0,0.0,0.0,0.0,0.0,0.0,645000.0,,,3.0,0.0,3.0,93.0,84.0,311.0,False,GC
6,3,86078,9806,Lester,HoweIMetYourMother,789,DEF,89,True,240283,Shannon,Hurn,WCE,DEF,R3,240283_R3,7324.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7324,R3,2020.0,240283.0,Shannon,Hurn,WC,4.0,53.0,89.0,24.0,43.0,60.0,12.0,2.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,Full Time,guard,%D including %K... also %M... Floating at half back,,,,,,,Back,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.0,2.0,100.0,82.0,391.0,False,BL
7,4,86078,9806,Lester,HoweIMetYourMother,789,DEF,86,True,240283,Shannon,Hurn,WCE,DEF,R4,240283_R4,7330.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7330,R4,2020.0,240283.0,Shannon,Hurn,WC,8.0,61.0,86.0,21.0,48.0,66.0,15.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,Full Time,guard,%O with %k by foot... also %M... Floating at half back,,,,,,,Back,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.0,0.0,3.0,82.0,81.0,367.0,False,PA
8,5,86078,9806,Lester,HoweIMetYourMother,789,DEF,68,True,240283,Shannon,Hurn,WCE,DEF,R5,240283_R5,7339.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7339,R5,2020.0,240283.0,Shannon,Hurn,WC,8.0,54.0,68.0,68.0,42.0,60.0,8.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Full Time,guard,%D and %M with %T... Starting on Heeney,,,,,,,Back,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.0,0.0,2.0,81.0,85.0,139.0,False,SY
9,6,86078,9806,Lester,HoweIMetYourMother,789,DEF,39,True,240283,Shannon,Hurn,WCE,DEF,R6,240283_R6,7349.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7349,R6,2020.0,240283.0,Shannon,Hurn,WC,3.0,34.0,39.0,44.0,26.0,36.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Time,guard,%P including %K... also %M... Floating at half back,,,,,,,Back,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,80.0,73.0,156.0,False,AD
10,7,86078,9806,Lester,HoweIMetYourMother,789,DEF,93,True,240283,Shannon,Hurn,WCE,DEF,R7,240283_R7,7362.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7362,R7,2020.0,240283.0,Shannon,Hurn,WC,19.0,86.0,93.0,58.0,68.0,87.0,14.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,Full Time,hot,%O including %K... also %M and %T,guard,Floating at half back,,,,,Back,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,1.0,88.0,78.0,198.0,False,FR
11,8,86078,9806,Lester,HoweIMetYourMother,789,DEF,114,True,240283,Shannon,Hurn,WCE,DEF,R8,240283_R8,7370.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7370,R8,2020.0,240283.0,Shannon,Hurn,WC,9.0,69.0,114.0,90.0,53.0,69.0,10.0,5.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,Full Time,guard,%O and %M plus %T... Floating at half back,,,,,,,Back,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,1.0,1.0,100.0,77.0,212.0,False,CO
12,9,86078,9806,Lester,HoweIMetYourMother,789,DEF,63,True,240283,Shannon,Hurn,WCE,DEF,R9,240283_R9,7379.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7379,R9,2020.0,240283.0,Shannon,Hurn,WC,8.0,54.0,63.0,70.0,44.0,57.0,8.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Full Time,guard,%M and %O... Floating at half back,,,,,,,Back,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.0,0.0,0.0,83.0,76.0,86.0,False,GE
13,10,86078,9806,Lester,HoweIMetYourMother,789,DEF,0,False,240283,Shannon,Hurn,WCE,DEF,R10,240283_R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,86078,9806,Lester,HoweIMetYourMother,536,FWD,131,True,993998,Jy,Simpkin,NTH,FWD MID,R1,993998_R1,7307.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7307,R1,2020.0,993998.0,Jy,Simpkin,NM,15.0,89.0,131.0,113.0,68.0,93.0,15.0,8.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,Full Time,hot,%s from %O and %M plus %T,pocket,Playing deep forward,427700.0,,383000.0,,Forward,12.0,0.0,0.0,0.0,0.0,0.0,0.0,432000.0,,,11.0,4.0,2.0,69.0,83.0,419.0,False,SK
15,2,86078,9806,Lester,HoweIMetYourMother,536,FWD,104,True,993998,Jy,Simpkin,NTH,FWD MID,R2,993998_R2,7316.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7316,R2,2020.0,993998.0,Jy,Simpkin,NM,13.0,72.0,104.0,34.0,58.0,84.0,14.0,11.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,Full Time,pocket,%D and %M... Playing deep forward,,,427700.0,,,,Forward,12.0,0.0,0.0,0.0,0.0,0.0,0.0,432000.0,,,11.0,7.0,5.0,76.0,80.0,297.0,False,WS
16,3,86078,9806,Lester,HoweIMetYourMother,536,FWD,140,True,993998,Jy,Simpkin,NTH,FWD MID,R3,993998_R3,7321.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7321,R3,2020.0,993998.0,Jy,Simpkin,NM,25.0,96.0,140.0,119.0,77.0,103.0,13.0,13.0,2.0,4.0,0.0,5.0,1.0,1.0,1.0,Full Time,graph,%s from %P and %M plus %T... helped out by %4FF,wing,Playing midfield,,,,,Forward,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.0,8.0,2.0,65.0,88.0,375.0,False,SY
17,4,86078,9806,Lester,HoweIMetYourMother,536,FWD,119,True,993998,Jy,Simpkin,NTH,FWD MID,R4,993998_R4,7336.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7336,R4,2020.0,993998.0,Jy,Simpkin,NM,26.0,91.0,119.0,81.0,73.0,100.0,8.0,15.0,2.0,6.0,0.0,3.0,1.0,1.0,1.0,Full Time,hot,%s from %D and %M with %T... helped out by %4FF,wing,Playing midfield,,,,,Forward,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12.0,7.0,4.0,60.0,87.0,160.0,False,HW
18,5,86078,9806,Lester,HoweIMetYourMother,536,FWD,97,True,993998,Jy,Simpkin,NTH,FWD MID,R5,993998_R5,7341.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7341,R5,2020.0,993998.0,Jy,Simpkin,NM,8.0,60.0,97.0,48.0,48.0,69.0,6.0,14.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,Full Time,wing,%D and %T... Playing midfield,,,,,,,Forward,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,5.0,1.0,80.0,80.0,226.0,False,WB
19,6,86078,9806,Lester,HoweIMetYourMother,536,FWD,127,True,993998,Jy,Simpkin,NTH,FWD MID,R6,993998_R6,7351.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7351,R6,2020.0,993998.0,Jy,Simpkin,NM,20.0,95.0,127.0,62.0,69.0,97.0,16.0,7.0,3.0,6.0,0.0,2.0,1.0,0.0,1.0,Full Time,hot,%s from %D and %M with %T,wing,Playing midfield,,,,,Forward,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16.0,7.0,4.0,69.0,84.0,432.0,False,ES
