,player_id,trade_status,user_team_id,feed_id,first_name,last_name,team,position
32,278,free_agent,,281091,Hugh,Greenwood,GCS,MID
39,319,free_agent,,281065,Mitch,Duncan,GEE,MID
41,436,free_agent,,297566,James,Sicily,HAW,DEF
42,345,free_agent,,280317,Rhys,Stanley,GEE,RUC
45,208,free_agent,,291783,Dylan,Shiel,ESS,MID
51,489,free_agent,,296035,Trent,Dumont,NTH,MID
53,586,free_agent,,290847,Dustin,Martin,RIC,FWD MID
54,348,free_agent,,291800,Tom,Stewart,GEE,DEF
57,310,free_agent,,296733,Mark,Blicavs,GEE,DEF MID
59,359,free_agent,,291969,Stephen,Coniglio,GWS,MID
64,51,free_agent,,998133,Jarrod,Berry,BRL,MID
69,607,free_agent,,296351,Jack,Billings,STK,MID
71,498,free_agent,,296355,Luke,McDonald,NTH,DEF
73,327,free_agent,,260227,Shaun,Higgins,GEE,MID
74,198,free_agent,,998102,Andrew,McGrath,ESS,MID
75,763,free_agent,,280078,Luke,Shuey,WCE,MID
77,640,free_agent,,250267,Paddy,Ryder,STK,RUC
80,307,free_agent,,291975,Jarrod,Witts,GCS,RUC
83,98,free_agent,,295518,Sam,Docherty,CAR,DEF
84,298,free_agent,,1009208,Matt,Rowell,GCS,MID
87,762,free_agent,,281080,Brad,Sheppard,WCE,DEF
93,457,free_agent,,298264,Ed,Langdon,MEL,MID
98,124,free_agent,,998215,Will,Setterfield,CAR,MID
100,504,free_agent,,290738,Jared,Polec,NTH,MID
101,744,free_agent,,240283,Shannon,Hurn,WCE,DEF
102,438,free_agent,,1002222,James,Worpel,HAW,MID
109,510,free_agent,,270325,Robbie,Tarrant,NTH,DEF
112,547,free_agent,,997142,Peter,Ladhams,PTA,RUC FWD
114,129,free_agent,,294685,Zac,Williams,CAR,DEF
115,209,free_agent,,291771,Devon,Smith,ESS,MID
119,339,free_agent,,298419,Brandan,Parfitt,GEE,MID
122,216,free_agent,,296294,Blake,Acres,FRE,MID
125,263,free_agent,,998260,Jack,Bowes,GCS,DEF
126,272,free_agent,,293713,Brandon,Ellis,GCS,MID
127,616,free_agent,,294307,Brad,Crouch,STK,MID
128,739,free_agent,,298268,Liam,Duggan,WCE,DEF
130,705,free_agent,,294101,Jason,Johannisen,WBD,DEF
131,733,free_agent,,990290,Tom,Barrass,WCE,DEF
134,109,free_agent,,296190,Jack,Martin,CAR,FWD
137,576,free_agent,,270896,Trent,Cotchin,RIC,MID
140,139,free_agent,,1005054,Josh,Daicos,COL,MID
141,530,free_agent,,991930,Darcy,Byrne-Jones,PTA,DEF
143,612,free_agent,,1002264,Hunter,Clark,STK,DEF
146,407,free_agent,,291351,Jack,Gunston,HAW,FWD
147,396,free_agent,,280744,Luke,Breust,HAW,FWD
148,620,free_agent,,298421,Jade,Gresham,STK,MID
151,306,free_agent,,298524,Lachie,Weller,GCS,MID
155,443,free_agent,,298279,Angus,Brayshaw,MEL,MID
157,226,free_agent,,997033,Brennan,Cox,FRE,DEF
162,159,free_agent,,298288,Darcy,Moore,COL,DEF
164,710,free_agent,,1003130,Patrick,Lipinski,WBD,MID
167,614,free_agent,,1005717,Nick,Coffield,STK,DEF
168,267,free_agent,,295446,Sam,Collins,GCS,DEF
169,732,free_agent,,1004385,Oscar,Allen,WCE,FWD
170,542,free_agent,,261892,Hamish,Hartlett,PTA,DEF
171,120,free_agent,,298290,Marc,Pittonet,CAR,RUC
172,380,free_agent,,280762,Shane,Mumford,GWS,RUC
175,435,free_agent,,280737,Liam,Shiels,HAW,MID
176,622,free_agent,,1002227,Jack,Higgins,STK,FWD
179,80,free_agent,,290311,Mitch,Robinson,BRL,MID
180,639,free_agent,,293846,Sebastian,Ross,STK,MID
181,608,free_agent,,992374,Dan,Butler,STK,FWD
182,579,free_agent,,260930,Shane,Edwards,RIC,MID
184,237,free_agent,,990740,Rory,Lobb,FRE,RUC FWD
185,683,free_agent,,294737,Callum,Sinclair,SYD,RUC
186,401,free_agent,,1000959,James,Cousins,HAW,MID
187,260,free_agent,,1009199,Noah,Anderson,GCS,MID
190,694,free_agent,,293651,Hayden,Crozier,WBD,DEF
191,644,free_agent,,296422,Callum,Wilkie,STK,DEF
192,654,free_agent,,998103,Oliver,Florent,SYD,MID
193,21,free_agent,,270938,Tom,Lynch,ADE,FWD
194,651,free_agent,,996442,Ryan,Clarke,SYD,MID
195,259,free_agent,,998130,Ben,Ainsworth,GCS,FWD
196,681,free_agent,,1006126,James,Rowbottom,SYD,MID
197,164,free_agent,,1008089,Isaac,Quaynor,COL,DEF
199,217,free_agent,,295067,James,Aish,FRE,MID
200,557,free_agent,,993979,Sam,Powell-Pepper,PTA,FWD MID
201,481,free_agent,,290787,Shaun,Atley,NTH,DEF
202,248,free_agent,,293854,Matt,Taberner,FRE,FWD
203,602,free_agent,,998529,Ivan,Soldo,RIC,RUC
204,430,free_agent,,996487,Tom,Phillips,HAW,FWD MID
205,114,free_agent,,291773,Jack,Newnes,CAR,MID FWD
206,103,free_agent,,296200,Michael,Gibbons,CAR,FWD
208,652,free_agent,,291978,Harry,Cunningham,SYD,DEF
209,118,free_agent,,994539,Sam,Petrevski-Seton,CAR,DEF
210,565,free_agent,,290198,David,Astbury,RIC,DEF
212,534,free_agent,,1006096,Xavier,Duursma,PTA,MID
214,754,free_agent,,298298,Jackson,Nelson,WCE,DEF
215,54,free_agent,,990609,Charlie,Cameron,BRL,FWD
217,257,free_agent,,294125,Nathan,Wilson,FRE,DEF
218,101,free_agent,,999827,Zac,Fisher,CAR,FWD
219,22,free_agent,,250362,David,Mackay,ADE,DEF
220,161,free_agent,,1000072,John,Noble,COL,DEF
221,77,free_agent,,1002235,Cam,Rayner,BRL,FWD
222,341,free_agent,,291357,Gary,Rohan,GEE,FWD
225,321,free_agent,,298211,Darcy,Fort,GEE,RUC
226,406,free_agent,,1006159,Damon,Greaves,HAW,DEF
228,219,free_agent,,296371,Brett,Bewley,FRE,FWD MID
229,312,free_agent,,293845,Jeremy,Cameron,GEE,FWD
231,105,free_agent,,281078,Liam,Jones,CAR,DEF
232,334,free_agent,,1004938,Gryan,Miers,GEE,FWD
233,593,free_agent,,993771,Marlion,Pickett,RIC,MID
234,655,free_agent,,291848,Robbie,Fox,SYD,DEF
235,402,free_agent,,1008550,Will,Day,HAW,DEF
236,669,free_agent,,1011936,Justin,McInerney,SYD,MID
237,630,free_agent,,993917,Ben,Long,STK,DEF
238,582,free_agent,,280819,Dylan,Grimes,RIC,DEF
239,236,free_agent,,996580,Ethan,Hughes,FRE,DEF
240,588,free_agent,,294592,Kamdyn,McIntosh,RIC,MID
241,486,free_agent,,294508,Aidan,Corr,NTH,DEF
242,337,free_agent,,1007102,Mark,O'Connor,GEE,DEF
243,152,free_agent,,1010841,Jack,Madgen,COL,DEF
244,64,free_agent,,291548,Ryan,Lester,BRL,DEF
245,724,free_agent,,291545,Mitch,Wallis,WBD,FWD
246,399,free_agent,,210012,Shaun,Burgoyne,HAW,FWD
247,181,free_agent,,1005577,Sam,Draper,ESS,RUC
248,450,free_agent,,290160,Michael,Hibberd,MEL,DEF
249,757,free_agent,,281373,Jack,Redden,WCE,MID
250,325,free_agent,,270326,Lachie,Henderson,GEE,DEF
251,551,free_agent,,1004998,Todd,Marshall,PTA,FWD
252,559,free_agent,,1001299,Connor,Rozee,PTA,FWD
253,673,free_agent,,298144,Sam,Naismith,SYD,RUC
254,53,free_agent,,240302,Grant,Birchall,BRL,DEF
255,316,free_agent,,291526,Luke,Dahlhaus,GEE,FWD
257,545,free_agent,,292145,Tom,Jonas,PTA,DEF
258,567,free_agent,,1002245,Noah,Balta,RIC,DEF
262,376,free_agent,,290314,Lachlan,Keeffe,GWS,DEF
263,190,free_agent,,270588,Cale,Hooker,ESS,DEF
264,611,free_agent,,290641,Jake,Carlisle,STK,DEF
265,296,free_agent,,1001195,Izak,Rankine,GCS,FWD
266,197,free_agent,,294092,Anthony,McDonald-Tipungwuti,ESS,FWD
267,225,free_agent,,290823,Reece,Conca,FRE,DEF
268,340,free_agent,,1002220,Esava,Ratugolea,GEE,RUC FWD
270,26,free_agent,,997206,Andrew,McPherson,ADE,DEF
271,585,free_agent,,293813,Tom J.,Lynch,RIC,FWD
272,713,free_agent,,996483,Toby,McLean,WBD,FWD
273,158,free_agent,,291849,Brody,Mihocek,COL,FWD
274,67,free_agent,,993828,Rhys,Mathieson,BRL,FWD MID
275,180,free_agent,,297406,Tom,Cutler,ESS,MID
276,736,free_agent,,993820,Tom,Cole,WCE,DEF
278,3,free_agent,,293193,Luke,Brown,ADE,DEF
279,606,free_agent,,998134,Josh,Battle,STK,FWD MID
280,61,free_agent,,296269,Darcy,Gardiner,BRL,DEF
282,447,free_agent,,1001438,Bayley,Fritsch,MEL,FWD
284,424,free_agent,,1000963,Harry,Morrison,HAW,DEF MID
285,15,free_agent,,1005199,Elliott,Himmelberg,ADE,FWD
286,361,free_agent,,1002251,Brent,Daniels,GWS,FWD
287,371,free_agent,,993107,Harry,Himmelberg,GWS,FWD
288,625,free_agent,,993480,Dougal,Howard,STK,DEF
289,121,free_agent,,294624,Lachie,Plowman,CAR,DEF
290,23,free_agent,,298470,Shane,McAdam,ADE,FWD
291,41,free_agent,,280934,Daniel,Talia,ADE,DEF
292,68,free_agent,,293581,Lincoln,McCarthy,BRL,FWD
293,229,free_agent,,998115,Taylin,Duman,FRE,DEF
295,624,free_agent,,295584,Bradley,Hill,STK,MID
296,46,free_agent,,298437,Callum,Ah Chee,BRL,DEF
297,204,free_agent,,294068,Andrew,Phillips,ESS,RUC
298,214,free_agent,,270951,David,Zaharakis,ESS,FWD
299,367,free_agent,,1009528,Tom,Green,GWS,MID
300,631,free_agent,,992000,Jack,Lonie,STK,FWD
301,343,free_agent,,1004940,Sam,Simpson,GEE,FWD
302,470,free_agent,,1009378,Trent,Rivers,MEL,DEF
303,91,free_agent,,281124,Levi,Casboult,CAR,FWD
304,133,free_agent,,1002770,Callum L.,Brown,COL,FWD
305,569,free_agent,,295203,Nathan,Broad,RIC,DEF
306,177,free_agent,,1006103,Jye,Caldwell,ESS,FWD MID
307,178,free_agent,,998109,Dylan,Clarke,ESS,MID FWD
308,251,free_agent,,993816,Darcy,Tucker,FRE,MID
309,364,free_agent,,298111,Jeremy,Finlayson,GWS,FWD
310,750,free_agent,,240406,Josh J.,Kennedy,WCE,FWD
311,264,free_agent,,998129,Will,Brodie,GCS,MID FWD
313,596,free_agent,,250395,Jack,Riewoldt,RIC,FWD
314,637,free_agent,,1004985,Ben,Paton,STK,DEF
315,36,free_agent,,1006136,Lachlan,Sholl,ADE,DEF MID
316,552,free_agent,,293603,Sam,Mayes,PTA,DEF
318,309,free_agent,,293883,Jed,Bews,GEE,DEF
319,597,free_agent,,1000981,Daniel,Rioli,RIC,FWD
320,571,free_agent,,991933,Jason,Castagna,RIC,FWD
321,94,free_agent,,993795,David,Cuningham,CAR,FWD
322,238,free_agent,,997933,Griffin,Logue,FRE,DEF
323,621,free_agent,,290117,Dan,Hannebery,STK,MID
324,59,free_agent,,293479,Cameron,Ellis-Yolmen,BRL,FWD MID
325,521,free_agent,,998484,Cameron,Zurhaar,NTH,FWD
326,684,free_agent,,1004848,Dylan,Stephens,SYD,MID
327,146,free_agent,,291720,Will,Hoskin-Elliott,COL,FWD
328,363,free_agent,,271015,Matt,de Boer,GWS,MID
329,385,free_agent,,1008123,Jake,Riccardi,GWS,FWD
330,531,free_agent,,294504,Tom,Clurey,PTA,DEF
331,628,free_agent,,294570,Dean,Kent,STK,FWD
332,570,free_agent,,290623,Josh,Caddy,RIC,MID
334,500,free_agent,,1002143,Ben,McKay,NTH,DEF
335,599,free_agent,,1006133,Jack,Ross,RIC,MID
336,506,free_agent,,1006058,Bailey,Scott,NTH,FWD MID
337,759,free_agent,,997823,Josh,Rotham,WCE,DEF
339,379,free_agent,,290675,Daniel,Lloyd,GWS,FWD
340,205,free_agent,,997078,Mason,Redman,ESS,DEF
341,331,free_agent,,296291,Jake,Kolodjashnij,GEE,DEF
342,299,free_agent,,294643,Alex,Sexton,GCS,FWD
344,515,free_agent,,291550,Josh,Walker,NTH,DEF
345,564,free_agent,,992786,Jake,Aarts,RIC,FWD
346,16,free_agent,,1004863,Mitchell,Hinge,ADE,MID
347,28,free_agent,,1000998,Lachlan,Murphy,ADE,FWD
348,281,free_agent,,297456,Nick,Holman,GCS,FWD
350,629,free_agent,,1006143,Max,King,STK,FWD
351,572,free_agent,,994077,Mabior,Chol,RIC,RUC FWD
352,660,free_agent,,997100,Will,Hayward,SYD,FWD
354,671,free_agent,,996743,Lewis,Melican,SYD,DEF
355,185,free_agent,,996232,Matt,Guelfi,ESS,DEF
357,707,free_agent,,290797,Alex,Keath,WBD,DEF
358,767,free_agent,,996554,Jake,Waterman,WCE,FWD
359,330,free_agent,,294828,Josh,Jenkins,GEE,RUC FWD
363,353,free_agent,,1009253,Lachie,Ash,GWS,DEF
364,619,free_agent,,260113,Jarryn,Geary,STK,DEF
365,183,free_agent,,990816,Aaron,Francis,ESS,DEF
366,111,free_agent,,1000953,Harry,McKay,CAR,FWD
367,102,free_agent,,1002228,Lachie,Fogarty,CAR,FWD
370,647,free_agent,,1006028,Nick,Blakey,SYD,FWD MID
371,526,free_agent,,994599,Riley,Bonner,PTA,DEF
372,411,free_agent,,294077,Michael,Hartley,HAW,DEF
373,539,free_agent,,1010174,Mitch,Georgiades,PTA,FWD
374,670,free_agent,,1003203,Hayden,McLean,SYD,FWD
375,687,free_agent,,1006232,Sam,Wicks,SYD,FWD
376,511,free_agent,,1006137,Curtis,Taylor,NTH,FWD
377,34,free_agent,,1008543,Harry,Schoenberg,ADE,FWD
378,288,free_agent,,298358,Oleg,Markov,GCS,DEF
379,410,free_agent,,290228,Kyle,Hartigan,HAW,DEF
380,169,free_agent,,1003029,Brayden,Sier,COL,MID
381,693,free_agent,,991939,Zaine,Cordy,WBD,DEF
382,130,free_agent,,998167,Tom,Williamson,CAR,DEF
383,667,free_agent,,1008198,Tom,McCartin,SYD,FWD
386,137,free_agent,,998647,Mason,Cox,COL,FWD
388,166,free_agent,,280012,Jordan,Roughead,COL,DEF
389,134,free_agent,,1008171,Tyler,Brown,COL,MID
390,372,free_agent,,296324,Jesse,Hogan,GWS,FWD
392,335,free_agent,,999824,Quinton,Narkle,GEE,MID
393,14,free_agent,,999309,Jackson,Hately,ADE,MID
394,730,free_agent,,291947,Brendon,Ah Chee,WCE,FWD
395,464,free_agent,,296420,Alex,Neal-Bullen,MEL,FWD
396,19,free_agent,,297473,Jake,Kelly,ADE,DEF
397,716,free_agent,,1008280,Ed,Richards,WBD,FWD MID
398,536,free_agent,,1002253,Kane,Farrell,PTA,FWD MID
399,279,free_agent,,240254,Jarrod,Harbrow,GCS,DEF
400,89,free_agent,,240060,Eddie,Betts,CAR,FWD
401,555,free_agent,,280990,Steven,Motlop,PTA,FWD
402,195,free_agent,,298280,Jayden,Laverde,ESS,FWD
403,262,free_agent,,1008882,Charlie,Ballard,GCS,DEF
404,86,free_agent,,1002401,Brandon,Starcevich,BRL,DEF
405,287,free_agent,,996464,Darcy,MacPherson,GCS,FWD
406,170,free_agent,,290289,Josh,Thomas,COL,FWD
407,97,free_agent,,1004912,Tom,De Koning,CAR,RUC
408,39,free_agent,,997230,Tyson,Stengle,ADE,FWD
409,404,free_agent,,293738,Sam,Frost,HAW,DEF
410,48,free_agent,,1005053,Noah,Answerth,BRL,DEF
411,479,free_agent,,993806,Sam,Weideman,MEL,FWD
412,255,free_agent,,1004437,Tobe,Watson,FRE,DEF
413,475,free_agent,,999391,Tom,Sparrow,MEL,MID
414,451,free_agent,,996692,Marty,Hore,MEL,DEF
415,383,free_agent,,992644,Braydon,Preuss,GWS,RUC
416,135,free_agent,,990291,Darcy,Cameron,COL,FWD
419,477,free_agent,,297990,Aaron,vandenBerg,MEL,MID
420,378,free_agent,,291509,Adam,Kennedy,GWS,MID
421,57,free_agent,,1006059,Keidean,Coleman,BRL,FWD
422,284,free_agent,,1006144,Ben,King,GCS,FWD
424,271,free_agent,,291753,Sam,Day,GCS,FWD
426,474,free_agent,,1002282,Charlie,Spargo,MEL,FWD
427,244,free_agent,,1000860,Lachie,Schultz,FRE,FWD
428,728,free_agent,,281139,Easton,Wood,WBD,DEF
429,426,free_agent,,296041,Tim,O'Brien,HAW,FWD
430,384,free_agent,,261374,Sam J.,Reid,GWS,DEF
431,463,free_agent,,280824,Jake,Melksham,MEL,FWD
433,618,free_agent,,260288,James,Frawley,STK,DEF
434,227,free_agent,,1002353,Mitch,Crowden,FRE,FWD
435,734,free_agent,,1002300,Jarrod,Brander,WCE,FWD MID
436,211,free_agent,,294654,James,Stewart,ESS,FWD
437,220,free_agent,,298450,Connor,Blakely,FRE,MID
438,95,free_agent,,996731,Charlie,Curnow,CAR,FWD
439,308,free_agent,,994386,Tom,Atkins,GEE,FWD
440,184,free_agent,,297438,Martin,Gleeson,ESS,DEF
441,783,free_agent,,1006276,Derek,Eggmolesse-Smith,RIC,DEF
443,455,free_agent,,250222,Nathan,Jones,MEL,FWD MID
444,362,free_agent,,280804,Phil,Davis,GWS,DEF
445,439,free_agent,,1008855,Oskar,Baker,MEL,MID
447,460,free_agent,,298390,Jay,Lockhart,MEL,DEF
448,548,free_agent,,293987,Jarrod,Lienert,PTA,DEF
449,218,free_agent,,998180,Bailey,Banfield,FRE,FWD
451,370,free_agent,,1006148,Bobby,Hill,GWS,FWD
452,9,free_agent,,999331,Darcy,Fogarty,ADE,FWD
453,314,free_agent,,999326,Brad,Close,GEE,FWD
454,277,free_agent,,1006087,Caleb,Graham,GCS,DEF
455,110,free_agent,,297255,Mitch,McGovern,CAR,FWD
456,702,free_agent,,1001449,Mitch,Hannan,WBD,FWD
458,494,free_agent,,998327,Kyron,Hayden,NTH,DEF
459,719,free_agent,,992054,Roarke,Smith,WBD,MID FWD
460,412,free_agent,,992462,Daniel,Howe,HAW,DEF MID
461,445,free_agent,,290622,Mitch,Brown,MEL,FWD
462,610,free_agent,,1002922,Jack,Bytel,STK,MID
463,247,free_agent,,992059,Sam,Switkowski,FRE,FWD
464,258,free_agent,,1009256,Hayden,Young,FRE,DEF
465,723,free_agent,,1005000,Laitham,Vandermeer,WBD,FWD MID
466,726,free_agent,,1006127,Rhylee,West,WBD,FWD
467,186,free_agent,,1008190,Brayden,Ham,ESS,MID
469,658,free_agent,,290722,Sam,Gray,SYD,FWD
470,224,free_agent,,280988,Travis,Colyer,FRE,FWD
471,680,free_agent,,1004880,Ben,Ronke,SYD,FWD
472,108,free_agent,,298302,Caleb,Marchbank,CAR,DEF
473,690,free_agent,,291492,Josh,Bruce,WBD,FWD
474,643,free_agent,,290757,Jimmy,Webster,STK,DEF
475,269,free_agent,,1005547,Josh,Corbett,GCS,FWD
476,712,free_agent,,280763,Stefan,Martin,WBD,RUC
477,497,free_agent,,1009189,Jack,Mahony,NTH,FWD
478,535,free_agent,,296334,Orazio,Fantasia,PTA,DEF FWD
479,233,free_agent,,295222,Joel,Hamling,FRE,DEF
480,675,free_agent,,997842,Colin,O'Riordan,SYD,DEF
481,491,free_agent,,296078,Taylor,Garner,NTH,FWD
482,646,free_agent,,1002291,James,Bell,SYD,FWD
483,315,free_agent,,1002242,Charlie,Constable,GEE,MID
484,415,free_agent,,998390,Changkuoth,Jiath,HAW,DEF
485,518,free_agent,,1004965,Tristan,Xerri,NTH,FWD
486,685,free_agent,,296211,Lewis,Taylor,SYD,FWD
487,246,free_agent,,1013611,Sam,Sturt,FRE,FWD
488,201,free_agent,,1006097,Irving,Mosquito,ESS,FWD
489,495,free_agent,,1001017,Nick,Larkey,NTH,FWD
490,452,free_agent,,994385,Jayden,Hunt,MEL,FWD
491,92,free_agent,,1008154,Matthew,Cottrell,CAR,MID
492,563,free_agent,,999346,Boyd,Woodcock,PTA,FWD
494,513,free_agent,,992499,Kayne,Turner,NTH,FWD
495,444,free_agent,,291867,Ben,Brown,MEL,FWD
497,125,free_agent,,1001028,Jack,Silvagni,CAR,FWD
498,10,free_agent,,991773,Billy,Frampton,ADE,FWD
499,265,free_agent,,1008454,Connor,Budarick,GCS,DEF
500,469,free_agent,,1008541,Kysaiah,Pickett,MEL,FWD
501,215,free_agent,,1004034,Brandon,Zerk-Thatcher,ESS,DEF
502,75,free_agent,,1002347,Jack,Payne,BRL,DEF
503,731,free_agent,,1004356,Brayden,Ainsworth,WCE,FWD MID
504,285,free_agent,,294013,Sean,Lemmens,GCS,FWD
505,291,free_agent,,295942,Jordan,Murdoch,GCS,DEF
506,45,free_agent,,294168,Marcus,Adams,BRL,DEF
507,703,free_agent,,991976,Will,Hayes,WBD,MID
508,634,free_agent,,280038,Shaun,McKernan,STK,FWD
509,482,free_agent,,1004894,Aiden,Bonar,NTH,DEF
510,648,free_agent,,295156,Kaiden,Brand,SYD,DEF
511,517,free_agent,,1005084,Will,Walker,NTH,MID FWD
512,261,free_agent,,294472,Rory,Atkins,GCS,MID
513,514,free_agent,,291784,Dom,Tyson,NTH,MID
514,313,free_agent,,1006152,Jordan,Clark,GEE,DEF MID
515,305,free_agent,,291891,Jacob,Townsend,GCS,FWD
516,408,free_agent,,1001043,Oliver,Hanrahan,HAW,FWD
517,17,free_agent,,1006203,Chayce,Jones,ADE,MID
518,242,free_agent,,298409,Alex,Pearce,FRE,DEF
519,52,free_agent,,1006100,Thomas,Berry,BRL,FWD
522,701,free_agent,,997501,Ryan,Gardner,WBD,DEF
524,282,free_agent,,291964,Jack,Hombsch,GCS,DEF
525,765,free_agent,,280959,Nathan,Vardy,WCE,RUC
526,468,free_agent,,1008893,Harrison,Petty,MEL,DEF FWD
527,381,free_agent,,1006135,Xavier,O'Halloran,GWS,MID
528,358,free_agent,,291797,Matt,Buntine,GWS,DEF FWD
529,751,free_agent,,1004286,Zac,Langdon,WCE,FWD
530,357,free_agent,,1009708,Jack,Buckley,GWS,DEF MID
531,772,free_agent,,295340,Mason,Wood,STK,FWD
532,633,free_agent,,298265,Daniel,McKenzie,STK,DEF
533,173,free_agent,,295599,Patrick,Ambrose,ESS,DEF
534,82,free_agent,,992752,Archie,Smith,BRL,RUC
535,756,free_agent,,1006550,Jack,Petruccelle,WCE,FWD
536,301,free_agent,,280722,Zac,Smith,GCS,RUC
537,375,free_agent,,1008083,Connor,Idun,GWS,DEF
538,717,free_agent,,993841,Josh,Schache,WBD,FWD
539,25,free_agent,,1008185,Ned,McHenry,ADE,FWD
540,413,free_agent,,296254,Jarman,Impey,HAW,FWD
541,473,free_agent,,1003546,Joel,Smith,MEL,DEF
542,13,free_agent,,1008159,Will,Hamill,ADE,DEF
543,266,free_agent,,1000068,Chris,Burgess,GCS,DEF
544,722,free_agent,,1009301,Jamarra,Ugle-Hagan,WBD,FWD
545,398,free_agent,,290889,Keegan,Brooksby,HAW,RUC FWD
546,167,free_agent,,1009383,Trey,Ruscoe,COL,FWD
547,42,free_agent,,1008384,Riley,Thilthorpe,ADE,RUC FWD
548,99,free_agent,,1002256,Paddy,Dow,CAR,FWD MID
549,519,free_agent,,1004909,Lachie,Young,NTH,DEF MID
550,501,free_agent,,992015,Connor,Menadue,NTH,DEF
551,389,free_agent,,1007238,Jake,Stein,GWS,DEF
552,417,free_agent,,1000887,Mitch,Lewis,HAW,FWD
553,24,free_agent,,1009201,Fischer,Mcasey,ADE,DEF FWD
554,503,free_agent,,1012829,Will,Phillips,NTH,MID
555,729,free_agent,,997316,Lewis,Young,WBD,DEF
556,418,free_agent,,1009421,Finn,Maginness,HAW,MID
557,645,free_agent,,1008091,Joel,Amartey,SYD,RUC FWD
558,692,free_agent,,296070,Ben,Cavarra,WBD,FWD
559,668,free_agent,,1013230,Logan,McDonald,SYD,FWD
560,425,free_agent,,1007124,Conor,Nash,HAW,FWD
561,502,free_agent,,1011771,Flynn,Perez,NTH,DEF
562,768,free_agent,,1006114,Bailey J.,Williams,WCE,RUC FWD
563,275,free_agent,,1009260,Sam,Flanders,GCS,FWD
564,7,free_agent,,298417,Ben,Davis,ADE,FWD
565,691,free_agent,,1011992,Louis,Butler,WBD,DEF
566,538,free_agent,,998321,Joel,Garner,PTA,DEF
567,649,free_agent,,1013133,Braeden,Campbell,SYD,MID FWD
568,580,free_agent,,998218,Ryan,Garthwaite,RIC,DEF
569,126,free_agent,,1008312,Liam,Stocker,CAR,DEF
