,round_number,match_name,home_team_id,home_team_name,home_team_coach,home_team_points,away_team_id,away_team_name,away_team_coach,away_team_points
0,1,Paul vs Mark,2016,At Witts End,Paul,1477,2018,Surviving J.Kelly,Mark,1657
0,1,Luke vs James,6510,The Big Short,Luke,1470,20240,MakingTheirMarcus,James,1558
0,1,Anthony vs Lester,20323,La MacRaena,Anthony,1691,22859,Ariana Grundy,Lester,1563
0,1,Jordan vs Simon,23345,Pink Lloyd,Jordan,1657,23413,The West Wingard,Simon,1235
0,2,Paul vs Luke,2016,At Witts End,Paul,1693,6510,The Big Short,Luke,1651
0,2,Anthony vs Mark,20323,La MacRaena,Anthony,1665,2018,Surviving J.Kelly,Mark,1464
0,2,Jordan vs James,23345,Pink Lloyd,Jordan,1537,20240,MakingTheirMarcus,James,1629
0,2,Simon vs Lester,23413,The West Wingard,Simon,1574,22859,Ariana Grundy,Lester,1642
0,3,Paul vs Anthony,2016,At Witts End,Paul,1469,20323,La MacRaena,Anthony,1679
0,3,Jordan vs Luke,23345,Pink Lloyd,Jordan,1488,6510,The Big Short,Luke,1586
0,3,Simon vs Mark,23413,The West Wingard,Simon,1376,2018,Surviving J.Kelly,Mark,1550
0,3,Lester vs James,22859,Ariana Grundy,Lester,1805,20240,MakingTheirMarcus,James,1700
0,4,Paul vs Jordan,2016,At Witts End,Paul,1496,23345,Pink Lloyd,Jordan,1559
0,4,Simon vs Anthony,23413,The West Wingard,Simon,1651,20323,La MacRaena,Anthony,1627
0,4,Lester vs Luke,22859,Ariana Grundy,Lester,1415,6510,The Big Short,Luke,1552
0,4,James vs Mark,20240,MakingTheirMarcus,James,1688,2018,Surviving J.Kelly,Mark,1706
0,5,Paul vs Simon,2016,At Witts End,Paul,1669,23413,The West Wingard,Simon,1515
0,5,Lester vs Jordan,22859,Ariana Grundy,Lester,1481,23345,Pink Lloyd,Jordan,1615
0,5,James vs Anthony,20240,MakingTheirMarcus,James,1665,20323,La MacRaena,Anthony,1673
0,5,Mark vs Luke,2018,Surviving J.Kelly,Mark,1613,6510,The Big Short,Luke,1899
0,6,Paul vs Lester,2016,At Witts End,Paul,1732,22859,Ariana Grundy,Lester,2005
0,6,James vs Simon,20240,MakingTheirMarcus,James,1881,23413,The West Wingard,Simon,1528
0,6,Mark vs Jordan,2018,Surviving J.Kelly,Mark,1680,23345,Pink Lloyd,Jordan,1483
0,6,Luke vs Anthony,6510,The Big Short,Luke,1530,20323,La MacRaena,Anthony,1641
0,7,Paul vs James,2016,At Witts End,Paul,1640,20240,MakingTheirMarcus,James,1587
0,7,Mark vs Lester,2018,Surviving J.Kelly,Mark,1551,22859,Ariana Grundy,Lester,1717
0,7,Luke vs Simon,6510,The Big Short,Luke,1829,23413,The West Wingard,Simon,1376
0,7,Anthony vs Jordan,20323,La MacRaena,Anthony,1524,23345,Pink Lloyd,Jordan,1617
0,8,Paul vs Mark,2016,At Witts End,Paul,1624,2018,Surviving J.Kelly,Mark,1570
0,8,Luke vs James,6510,The Big Short,Luke,1674,20240,MakingTheirMarcus,James,1753
