,round_number,match_name,team_id,team_name,team_coach,team_points,opposition_team_id,opposition_team_name,opposition_team_coach,opposition_team_points,Rank,Opponent Rank
0,1,James vs Lester,10883,Love is Hind,Lester,1931,10882,Take Me To Parish,James,1683,1.0,6.0
0,1,Paul vs Mark,10834,Dunkley's Donuts,Mark,1841,5535,We're the Millers,Paul,1727,2.0,4.0
0,1,Luke vs Jordan,14003,Gov Is In The Air,Luke,1752,63015,Wolf of Walsh St,Jordan,1554,3.0,7.0
0,1,Paul vs Mark,5535,We're the Millers,Paul,1727,10834,Dunkley's Donuts,Mark,1841,4.0,2.0
0,1,Anthony vs Simon,11125,Sloane Andreas,Simon,1692,10836,Cumming for the DB,Anthony,1553,5.0,8.0
0,1,James vs Lester,10882,Take Me To Parish,James,1683,10883,Love is Hind,Lester,1931,6.0,1.0
0,1,Luke vs Jordan,63015,Wolf of Walsh St,Jordan,1554,14003,Gov Is In The Air,Luke,1752,7.0,3.0
0,1,Anthony vs Simon,10836,Cumming for the DB,Anthony,1553,11125,Sloane Andreas,Simon,1692,8.0,5.0
0,2,James vs Mark,10834,Dunkley's Donuts,Mark,1961,10882,Take Me To Parish,James,1597,1.0,6.5
0,2,Jordan vs Lester,10883,Love is Hind,Lester,1907,63015,Wolf of Walsh St,Jordan,1530,2.0,8.0
0,2,Paul vs Anthony,10836,Cumming for the DB,Anthony,1757,5535,We're the Millers,Paul,1742,3.0,4.0
0,2,Paul vs Anthony,5535,We're the Millers,Paul,1742,10836,Cumming for the DB,Anthony,1757,4.0,3.0
0,2,Luke vs Simon,11125,Sloane Andreas,Simon,1730,14003,Gov Is In The Air,Luke,1597,5.0,6.5
0,2,James vs Mark,10882,Take Me To Parish,James,1597,10834,Dunkley's Donuts,Mark,1961,6.5,1.0
0,2,Luke vs Simon,14003,Gov Is In The Air,Luke,1597,11125,Sloane Andreas,Simon,1730,6.5,5.0
0,2,Jordan vs Lester,63015,Wolf of Walsh St,Jordan,1530,10883,Love is Hind,Lester,1907,8.0,2.0
0,3,Lester vs Simon,10883,Love is Hind,Lester,1946,11125,Sloane Andreas,Simon,1575,1.0,6.0
0,3,Luke vs Anthony,10836,Cumming for the DB,Anthony,1842,14003,Gov Is In The Air,Luke,1658,2.0,5.0
0,3,Paul vs James,5535,We're the Millers,Paul,1746,10882,Take Me To Parish,James,1737,3.0,4.0
0,3,Paul vs James,10882,Take Me To Parish,James,1737,5535,We're the Millers,Paul,1746,4.0,3.0
0,3,Luke vs Anthony,14003,Gov Is In The Air,Luke,1658,10836,Cumming for the DB,Anthony,1842,5.0,2.0
0,3,Lester vs Simon,11125,Sloane Andreas,Simon,1575,10883,Love is Hind,Lester,1946,6.0,1.0
0,3,Jordan vs Mark,10834,Dunkley's Donuts,Mark,1512,63015,Wolf of Walsh St,Jordan,1383,7.0,8.0
0,3,Jordan vs Mark,63015,Wolf of Walsh St,Jordan,1383,10834,Dunkley's Donuts,Mark,1512,8.0,7.0
0,4,Paul vs Luke,5535,We're the Millers,Paul,1861,14003,Gov Is In The Air,Luke,1791,1.0,2.0
0,4,Paul vs Luke,14003,Gov Is In The Air,Luke,1791,5535,We're the Millers,Paul,1861,2.0,1.0
0,4,Simon vs Mark,10834,Dunkley's Donuts,Mark,1753,11125,Sloane Andreas,Simon,1691,3.0,5.0
0,4,Lester vs Anthony,10883,Love is Hind,Lester,1749,10836,Cumming for the DB,Anthony,1664,4.0,6.0
0,4,Simon vs Mark,11125,Sloane Andreas,Simon,1691,10834,Dunkley's Donuts,Mark,1753,5.0,3.0
0,4,Lester vs Anthony,10836,Cumming for the DB,Anthony,1664,10883,Love is Hind,Lester,1749,6.0,4.0
0,4,Jordan vs James,10882,Take Me To Parish,James,1585,63015,Wolf of Walsh St,Jordan,1566,7.0,8.0
0,4,Jordan vs James,63015,Wolf of Walsh St,Jordan,1566,10882,Take Me To Parish,James,1585,8.0,7.0
0,5,Mark vs Anthony,10836,Cumming for the DB,Anthony,1830,10834,Dunkley's Donuts,Mark,1658,1.0,6.0
0,5,Paul vs Jordan,5535,We're the Millers,Paul,1779,63015,Wolf of Walsh St,Jordan,1540,2.0,8.0
0,5,Simon vs James,10882,Take Me To Parish,James,1767,11125,Sloane Andreas,Simon,1674,3.0,5.0
0,5,Lester vs Luke,14003,Gov Is In The Air,Luke,1711,10883,Love is Hind,Lester,1655,4.0,7.0
0,5,Simon vs James,11125,Sloane Andreas,Simon,1674,10882,Take Me To Parish,James,1767,5.0,3.0
0,5,Mark vs Anthony,10834,Dunkley's Donuts,Mark,1658,10836,Cumming for the DB,Anthony,1830,6.0,1.0
0,5,Lester vs Luke,10883,Love is Hind,Lester,1655,14003,Gov Is In The Air,Luke,1711,7.0,4.0
0,5,Paul vs Jordan,63015,Wolf of Walsh St,Jordan,1540,5535,We're the Millers,Paul,1779,8.0,2.0
0,6,Paul vs Lester,5535,We're the Millers,Paul,2135,10883,Love is Hind,Lester,1761,1.0,2.0
0,6,Paul vs Lester,10883,Love is Hind,Lester,1761,5535,We're the Millers,Paul,2135,2.0,1.0
0,6,Mark vs Luke,14003,Gov Is In The Air,Luke,1756,10834,Dunkley's Donuts,Mark,1719,3.0,5.0
0,6,Simon vs Jordan,63015,Wolf of Walsh St,Jordan,1735,11125,Sloane Andreas,Simon,1431,4.0,8.0
0,6,Mark vs Luke,10834,Dunkley's Donuts,Mark,1719,14003,Gov Is In The Air,Luke,1756,5.0,3.0
0,6,Anthony vs James,10882,Take Me To Parish,James,1718,10836,Cumming for the DB,Anthony,1692,6.0,7.0
0,6,Anthony vs James,10836,Cumming for the DB,Anthony,1692,10882,Take Me To Parish,James,1718,7.0,6.0
0,6,Simon vs Jordan,11125,Sloane Andreas,Simon,1431,63015,Wolf of Walsh St,Jordan,1735,8.0,4.0
0,7,Paul vs Simon,5535,We're the Millers,Paul,2007,11125,Sloane Andreas,Simon,1434,1.0,8.0
