,round,user_id,action_time,buy_player.id,buy_player.feed_id,buy_player.first_name,buy_player.last_name,buy_player.team.abbrev,sell_player.id,sell_player.feed_id,sell_player.first_name,sell_player.last_name,sell_player.team.abbrev,source
0,1,5535,2022-03-15T07:43:25+11:00,158,1003130,Patrick,Lipinski,COL,9.0,1000932,Tom,Doedee,ADE,Free Agent
1,1,5535,2022-03-18T07:56:29+11:00,774,998128,Alex,Witherden,WCE,330.0,294199,Sam,Menegola,GEE,Free Agent
2,2,5535,2022-03-22T06:00:46+11:00,651,1006028,Nick,Blakey,SYD,565.0,1000223,Liam,Baker,RIC,Free Agent
3,2,5535,2022-03-22T06:02:21+11:00,384,992644,Braydon,Preuss,GWS,38.0,291748,Brodie,Smith,ADE,Free Agent
4,2,5535,2022-03-26T08:40:01+11:00,541,261396,Robbie,Gray,PTA,384.0,992644,Braydon,Preuss,GWS,Free Agent
5,3,5535,2022-03-28T04:18:43+11:00,384,992644,Braydon,Preuss,GWS,77.0,1002235,Cam,Rayner,BRL,Free Agent
6,6,5535,2022-04-22T19:49:15+10:00,610,296351,Jack,Billings,STK,,,,,,Free Agent
7,7,5535,2022-04-29T04:20:02+10:00,610,296351,Jack,Billings,STK,52.0,990609,Charlie,Cameron,BRL,Free Agent
8,7,5535,2022-04-27T05:28:55+10:00,52,990609,Charlie,Cameron,BRL,541.0,261396,Robbie,Gray,PTA,Free Agent
9,8,5535,2022-05-05T13:45:34+10:00,72,297504,Daniel,McStay,BRL,775.0,292128,Elliot,Yeo,WCE,Free Agent
10,8,5535,2022-05-06T14:08:47+10:00,220,295067,James,Aish,FRE,610.0,296351,Jack,Billings,STK,Free Agent
11,9,5535,2022-05-10T16:01:50+10:00,469,296359,Christian,Salem,MEL,610.0,296351,Jack,Billings,STK,Free Agent
12,10,5535,2022-05-21T15:37:56+10:00,602,998529,Ivan,Soldo,RIC,14.0,999309,Jackson,Hately,ADE,Free Agent
13,11,5535,2022-05-28T13:04:25+10:00,728,992330,Jordon,Sweet,WBD,394.0,294305,Lachie,Whitfield,GWS,Free Agent
14,11,5535,2022-05-23T07:49:20+10:00,14,999309,Jackson,Hately,ADE,602.0,998529,Ivan,Soldo,RIC,Free Agent
15,12,5535,2022-05-31T05:30:20+10:00,298,1001195,Izak,Rankine,GCS,728.0,992330,Jordon,Sweet,WBD,Free Agent
16,12,5535,2022-06-04T06:24:29+10:00,242,1000980,Lloyd,Meek,FRE,207.0,997078,Mason,Redman,ESS,Free Agent
17,12,5535,2022-06-05T13:58:14+10:00,250,992059,Sam,Switkowski,FRE,,,,,,Free Agent
18,13,5535,2022-06-07T04:31:40+10:00,56,294518,Joe,Daniher,BRL,265.0,1008882,Charlie,Ballard,GCS,Free Agent
19,13,5535,2022-06-13T15:11:30+10:00,298,1001195,Izak,Rankine,GCS,,,,,,Free Agent
20,14,5535,2022-06-14T04:08:02+10:00,776,298312,Patrick,McCartin,SYD,250.0,992059,Sam,Switkowski,FRE,Free Agent
21,17,5535,2022-07-08T15:33:54+10:00,180,1006103,Jye,Caldwell,ESS,52.0,990609,Charlie,Cameron,BRL,Free Agent
22,17,5535,2022-07-08T07:21:47+10:00,52,990609,Charlie,Cameron,BRL,375.0,993903,Jacob,Hopper,GWS,Free Agent
23,17,5535,2022-07-08T06:59:17+10:00,538,298111,Jeremy,Finlayson,PTA,298.0,1001195,Izak,Rankine,GCS,Free Agent
24,17,5535,2022-07-07T15:51:06+10:00,169,1000072,John,Noble,COL,640.0,250267,Paddy,Ryder,STK,Free Agent
25,17,5535,2022-07-07T15:46:31+10:00,220,295067,James,Aish,FRE,,,,,,Free Agent
26,18,5535,2022-07-11T08:46:59+10:00,533,1000972,Willem,Drew,PTA,220.0,295067,James,Aish,FRE,Free Agent
27,19,5535,2022-07-20T07:34:33+10:00,122,298290,Marc,Pittonet,CAR,512.0,1002240,Jaidyn,Stephenson,NTH,Free Agent
28,1,10834,2022-03-15T22:51:49+11:00,477,291902,Jack,Viney,MEL,627.0,991988,Zak,Jones,STK,Free Agent
29,2,10834,2022-03-24T11:03:29+11:00,454,298264,Ed,Langdon,MEL,594.0,290627,Dion,Prestia,RIC,Free Agent
30,3,10834,2022-04-01T17:03:27+11:00,556,993979,Sam,Powell-Pepper,PTA,253.0,993816,Darcy,Tucker,FRE,Free Agent
31,4,10834,2022-04-05T06:47:41+10:00,578,1009226,Thomson,Dow,RIC,625.0,295584,Bradley,Hill,STK,Free Agent
32,4,10834,2022-04-06T15:47:28+10:00,762,281373,Jack,Redden,WCE,339.0,250321,Joel,Selwood,GEE,Free Agent
33,4,10834,2022-04-06T17:52:48+10:00,122,298290,Marc,Pittonet,CAR,417.0,261323,Ben,McEvoy,HAW,Free Agent
34,4,10834,2022-04-09T17:43:39+10:00,640,250267,Paddy,Ryder,STK,122.0,298290,Marc,Pittonet,CAR,Free Agent
35,5,10834,2022-04-15T12:16:52+10:00,627,991988,Zak,Jones,STK,528.0,992128,Ryan,Burton,PTA,Free Agent
36,5,10834,2022-04-14T18:26:18+10:00,522,294469,Aliir,Aliir,PTA,227.0,1013224,Heath,Chapman,FRE,Free Agent
37,5,10834,2022-04-13T12:00:14+10:00,227,1013224,Heath,Chapman,FRE,640.0,250267,Paddy,Ryder,STK,Free Agent
38,5,10834,2022-04-12T08:33:03+10:00,528,992128,Ryan,Burton,PTA,556.0,993979,Sam,Powell-Pepper,PTA,Free Agent
39,6,10834,2022-04-20T09:10:50+10:00,341,294877,Isaac,Smith,GEE,578.0,1009226,Thomson,Dow,RIC,Free Agent
40,9,10834,2022-05-14T14:02:17+10:00,280,993799,Brayden,Fiorini,GCS,495.0,281091,Hugh,Greenwood,NTH,Free Agent
41,14,10834,2022-06-15T20:56:07+10:00,183,1005577,Sam,Draper,ESS,77.0,1002235,Cam,Rayner,BRL,Free Agent
42,14,10834,2022-06-15T20:58:39+10:00,132,997316,Lewis,Young,CAR,627.0,991988,Zak,Jones,STK,Free Agent
43,16,10834,2022-06-30T22:10:01+10:00,175,280965,Steele,Sidebottom,COL,278.0,293713,Brandon,Ellis,GCS,Free Agent
44,17,10834,2022-07-07T11:36:46+10:00,417,261323,Ben,McEvoy,HAW,116.0,297907,Nic,Newman,CAR,Free Agent
45,18,10834,2022-07-14T18:33:18+10:00,132,997316,Lewis,Young,CAR,737.0,990290,Tom,Barrass,WCE,Free Agent
46,1,10836,2022-03-15T09:11:09+11:00,657,240399,Lance,Franklin,SYD,498.0,1011640,Jason,Horne-Francis,NTH,Free Agent
47,1,10836,2022-03-17T11:26:26+11:00,122,298290,Marc,Pittonet,CAR,640.0,250267,Paddy,Ryder,STK,Free Agent
48,2,10836,2022-03-24T19:02:36+11:00,752,998791,Jamaine,Jones,WCE,541.0,261396,Robbie,Gray,PTA,Free Agent
49,2,10836,2022-03-25T20:39:24+11:00,743,290838,Jack,Darling,WCE,752.0,998791,Jamaine,Jones,WCE,Free Agent
50,3,10836,2022-03-31T18:42:50+11:00,640,250267,Paddy,Ryder,STK,664.0,997142,Peter,Ladhams,SYD,Free Agent
51,3,10836,2022-03-31T14:38:07+11:00,664,997142,Peter,Ladhams,SYD,532.0,280711,Charlie,Dixon,PTA,Free Agent
52,4,10836,2022-04-05T06:02:31+10:00,147,293801,Jamie,Elliott,COL,205.0,1015873,Archie,Perkins,ESS,Free Agent
53,5,10836,2022-04-15T23:10:24+10:00,339,250321,Joel,Selwood,GEE,435.0,291962,Chad,Wingard,HAW,Free Agent
54,5,10836,2022-04-15T15:16:06+10:00,113,1000953,Harry,McKay,CAR,548.0,290746,Scott,Lycett,PTA,Free Agent
55,5,10836,2022-04-15T14:40:49+10:00,719,1002404,Aaron,Naughton,WBD,391.0,1005247,Sam,Taylor,GWS,Free Agent
56,5,10836,2022-04-14T21:41:37+10:00,435,291962,Chad,Wingard,HAW,763.0,296225,Willie,Rioli,WCE,Free Agent
57,5,10836,2022-04-12T07:57:39+10:00,367,993902,Matt,Flynn,GWS,404.0,291351,Jack,Gunston,HAW,Free Agent
58,5,10836,2022-04-12T07:49:08+10:00,396,280744,Luke,Breust,HAW,657.0,240399,Lance,Franklin,SYD,Free Agent
59,6,10836,2022-04-23T18:01:17+10:00,454,298264,Ed,Langdon,MEL,396.0,280744,Luke,Breust,HAW,Free Agent
60,6,10836,2022-04-23T17:46:19+10:00,435,291962,Chad,Wingard,HAW,581.0,990827,Jack,Graham,RIC,Free Agent
61,6,10836,2022-04-21T18:57:04+10:00,715,280763,Stefan,Martin,WBD,454.0,298264,Ed,Langdon,MEL,Free Agent
62,8,10836,2022-05-03T08:23:53+10:00,657,240399,Lance,Franklin,SYD,175.0,280965,Steele,Sidebottom,COL,Free Agent
