feed_id,Year,name,pos,early_avg,late_avg,improvement,n_early,n_late,is_jumper,career_avg_prior,career_avg_delta,SC_trend_slope_8,SC_form_delta_3v6,SC_ema_trend,SC_skewness,SC_ceiling_rate,tog_avg_r8,tog_trend,clearances_avg_r8,clearances_trend,cba_avg_r8,cba_trend,price_change_sum3,price_is_floor,tag_is_hot_r78,tag_is_hot_any,tag_is_injured_returning,pos_is_mid,pos_is_def,pos_is_fwd,pos_is_ruc
260257,2021,Scott Pendlebury,MID,97.6,84.7,-12.9,8,10,0,,,-2.702,-0.7,-4.9,-0.527,0.5,82.1,0.4,4.62,1.38,57.6,-34.6,-34300,0,0,1,0,1,0,0,0
260257,2022,Scott Pendlebury,MID,105.6,87.8,-17.9,8,13,0,90.4,-15.2,0.75,-1.8,-0.4,-0.039,0.625,86.2,0.2,2.75,-0.25,36.1,-31.6,8900,0,1,1,0,1,0,0,0
260257,2023,Scott Pendlebury,MID,103.0,89.7,-13.3,7,15,0,92.7,-10.3,-7.821,-11.7,-9.2,0.215,0.571,76.1,-4.1,4.57,-0.57,65.5,-16.0,-37100,0,0,0,0,1,0,0,0
260257,2024,Scott Pendlebury,MID,81.3,91.6,10.3,7,12,0,93.1,11.8,0.786,12.5,6.9,-1.016,0.429,71.1,5.4,3.71,0.79,61.9,15.1,-45100,0,0,0,0,1,0,0,0
260257,2025,Scott Pendlebury,MID,90.9,98.6,7.7,7,12,0,91.9,1.0,12.321,4.5,15.5,-1.445,0.571,69.3,10.7,3.43,0.57,62.5,9.0,58100,0,1,1,0,1,0,0,0
261224,2021,Dayne Zorko,DEF,95.4,118.0,22.6,8,13,0,,,0.821,2.2,1.2,-0.705,0.625,81.9,0.1,4.12,-0.62,50.6,-7.6,-1200,0,1,1,0,0,1,0,0
261224,2022,Dayne Zorko,DEF,93.5,74.2,-19.3,8,11,0,109.4,15.9,8.143,4.3,12.9,-0.71,0.625,72.2,11.2,2.0,2.0,15.6,25.9,3100,0,0,0,1,0,1,0,0
261224,2023,Dayne Zorko,DEF,93.3,82.0,-11.3,6,11,0,96.5,3.2,-5.771,-2.7,-7.3,0.78,0.333,69.8,-2.8,2.17,0.33,23.6,8.9,-1800,0,0,1,0,0,1,0,0
261224,2024,Dayne Zorko,DEF,109.0,111.5,2.5,7,15,0,93.4,-15.6,4.929,1.2,11.3,-0.138,0.571,82.7,2.8,1.57,-0.07,2.7,-2.7,30700,0,0,1,0,0,1,0,0
261224,2025,Dayne Zorko,DEF,106.9,100.3,-6.5,8,15,0,98.2,-8.7,-8.036,-7.0,-5.0,0.087,0.5,84.6,4.4,1.12,0.38,,,-90100,0,0,0,0,0,1,0,0
270917,2022,Patrick Dangerfield,FWD,91.7,77.3,-14.3,6,9,0,104.3,12.6,-7.486,-10.3,-7.8,1.172,0.167,80.8,-4.3,5.83,0.17,69.8,-5.8,-87700,0,0,1,0,0,0,1,0
270917,2023,Patrick Dangerfield,FWD,101.5,76.7,-24.8,8,10,0,92.9,-8.6,3.524,-2.3,-6.6,-0.285,0.625,66.2,-15.2,6.5,0.0,66.4,-10.4,75000,0,0,0,0,0,0,1,0
270917,2025,Patrick Dangerfield,FWD,91.1,73.4,-17.7,8,12,0,89.4,-1.8,3.726,0.2,8.3,0.588,0.25,77.4,6.1,2.75,-0.75,29.8,-21.8,10400,0,0,0,1,0,0,1,0
280317,2021,Rhys Stanley,RUC,85.1,90.9,5.7,7,9,0,,,-0.786,4.5,-4.6,0.331,0.286,76.0,-2.0,3.29,-0.29,83.7,-8.7,-23200,0,0,1,0,0,0,0,1
280317,2022,Rhys Stanley,RUC,89.1,73.0,-16.1,7,10,0,88.4,-0.8,3.357,14.2,6.0,0.31,0.429,81.3,0.7,3.57,-1.07,80.3,2.7,10200,0,0,0,0,0,0,0,1
280317,2024,Rhys Stanley,RUC,67.0,73.7,6.7,6,6,0,80.3,13.3,4.229,6.0,1.3,0.499,0.333,76.3,3.7,1.83,0.17,65.5,-9.0,26500,0,0,0,1,0,0,0,1
280317,2025,Rhys Stanley,RUC,63.6,65.9,2.3,5,13,0,78.2,14.6,-21.7,-19.6,-22.4,-0.499,0.2,65.8,-16.8,2.8,0.2,67.2,-13.8,-42800,0,0,0,0,0,0,0,1
280506,2021,Taylor Walker,FWD,98.0,75.8,-22.2,8,9,0,,,-16.976,-24.5,-24.0,-0.489,0.625,88.4,-8.4,0.88,-0.88,,,-70100,0,0,1,0,0,0,1,0
280506,2022,Taylor Walker,FWD,99.8,87.2,-12.6,5,13,0,86.2,-13.6,-5.3,-7.8,-2.7,-1.181,0.8,87.0,1.5,1.0,-0.5,,,19300,0,0,0,0,0,0,1,0
280506,2023,Taylor Walker,FWD,73.5,98.7,25.2,8,14,1,88.5,15.0,0.071,-4.0,-6.9,0.345,0.125,80.5,-1.5,0.75,-0.75,0.0,0.0,5200,0,0,0,1,0,0,1,0
280506,2024,Taylor Walker,FWD,77.6,56.1,-21.5,7,11,0,88.9,11.3,7.429,11.7,4.0,-1.06,0.143,89.6,-4.6,0.57,-0.57,,,37100,0,0,0,0,0,0,1,0
280506,2025,Taylor Walker,FWD,80.8,63.6,-17.1,8,13,0,83.0,2.3,-2.524,-6.2,-2.8,-0.599,0.25,78.2,6.2,0.62,-0.62,0.5,1.5,-10700,0,0,0,0,0,0,1,0
280824,2021,Jake Melksham,FWD,55.4,49.2,-6.2,5,5,0,,,-3.1,-8.1,-1.0,0.96,0.0,69.6,-0.1,0.4,-0.4,10.2,3.2,-16800,0,0,0,0,0,0,1,0
280824,2025,Jake Melksham,FWD,54.4,66.3,11.9,5,14,0,50.5,-3.9,9.6,9.3,9.0,0.538,0.0,74.2,-4.2,0.4,-0.4,1.3,0.7,4000,1,0,0,0,0,0,1,0
280965,2021,Steele Sidebottom,MID,86.6,87.7,1.1,7,14,0,,,4.393,12.2,1.8,-0.239,0.143,84.1,-1.1,4.14,0.86,54.3,14.7,2600,0,0,0,0,1,0,0,0
280965,2022,Steele Sidebottom,MID,63.1,80.7,17.6,8,14,0,87.3,24.2,-7.369,-5.2,-8.8,0.207,0.0,81.5,-1.0,0.88,0.12,0.5,-0.5,-85500,0,0,0,0,1,0,0,0
280965,2023,Steele Sidebottom,MID,100.1,72.1,-28.0,8,9,0,80.7,-19.5,-1.298,15.2,-2.2,0.193,0.5,84.6,0.9,2.12,-0.12,1.5,-1.5,55100,0,0,0,0,1,0,0,0
280965,2024,Steele Sidebottom,MID,50.8,84.3,33.4,6,15,0,82.0,31.2,4.486,12.2,3.0,0.457,0.0,78.0,4.0,0.83,0.17,1.4,-1.4,-39900,0,0,0,0,1,0,0,0
280965,2025,Steele Sidebottom,MID,112.9,85.2,-27.7,7,13,0,80.1,-32.8,0.857,-1.2,0.7,0.324,0.857,79.1,-3.6,6.0,4.5,46.6,-6.6,45600,0,0,1,0,1,0,0,0
281085,2021,Steven May,DEF,85.7,93.0,7.3,7,13,0,,,0.786,24.8,0.8,-0.579,0.286,88.3,11.7,0.71,0.79,,,-2500,0,1,1,0,0,1,0,0
281085,2022,Steven May,DEF,99.8,87.1,-12.7,8,12,0,90.4,-9.3,-1.881,-16.3,-7.0,-0.027,0.5,96.6,1.4,0.25,-0.25,,,-17500,0,0,0,0,0,1,0,0
281085,2023,Steven May,DEF,81.3,84.9,3.6,6,15,0,91.3,10.0,-8.629,-8.0,-10.9,-0.396,0.333,97.8,1.2,0.0,0.0,,,-45300,0,0,0,0,0,1,0,0
281085,2024,Steven May,DEF,89.8,88.8,-1.1,6,12,0,88.8,-1.1,12.371,18.8,11.2,-1.135,0.5,85.2,7.8,0.17,0.33,,,38300,0,0,0,1,0,1,0,0
281085,2025,Steven May,DEF,80.6,88.8,8.2,5,11,0,88.8,8.2,-4.1,-10.6,-2.5,0.345,0.4,93.4,-0.9,0.2,0.3,,,-50400,0,0,1,0,0,1,0,0
290307,2021,Dane Rampe,DEF,77.2,78.4,1.2,5,14,0,,,4.3,0.8,4.7,-0.283,0.0,92.6,0.9,0.4,-0.4,,,-68100,0,0,0,0,0,1,0,0
290307,2022,Dane Rampe,DEF,49.8,65.8,16.0,8,14,0,78.1,28.3,-2.833,-6.3,-1.5,-0.65,0.0,94.8,-2.2,0.25,-0.25,,,-78500,0,0,0,0,0,1,0,0
290307,2025,Dane Rampe,DEF,77.7,54.8,-22.9,7,13,0,66.5,-11.2,-2.607,6.8,-4.7,0.75,0.286,81.1,3.4,0.86,-0.36,,,38600,0,0,0,0,0,1,0,0
290528,2021,Max Gawn,RUC,127.8,116.8,-11.0,8,14,0,,,-2.952,-24.7,-7.5,-0.558,0.75,92.1,-1.6,3.75,-1.75,76.6,7.9,-73500,0,0,1,0,0,0,0,1
290528,2022,Max Gawn,RUC,120.5,108.0,-12.5,8,12,0,120.8,0.3,4.024,-5.0,-4.4,0.356,0.625,89.0,-3.0,4.88,1.62,64.6,-3.6,29700,0,0,1,0,0,0,0,1
290528,2023,Max Gawn,RUC,89.6,109.4,19.8,5,15,0,117.1,27.5,6.0,13.1,1.8,-0.855,0.4,69.4,16.6,2.6,0.4,38.0,8.0,-109300,0,0,0,1,0,0,0,1
290528,2024,Max Gawn,RUC,141.7,118.7,-23.0,7,13,0,113.0,-28.7,-3.357,-1.3,-7.9,0.061,1.0,85.4,-0.4,5.57,-0.57,85.6,-2.1,46800,0,0,1,0,0,0,0,1
290528,2025,Max Gawn,RUC,130.0,126.1,-3.9,8,15,0,116.4,-13.6,13.429,22.3,20.1,0.15,0.75,83.9,-0.4,5.88,1.62,83.8,2.8,105400,0,0,0,0,0,0,0,1
290627,2022,Dion Prestia,MID,84.4,98.0,13.6,5,13,0,85.2,0.8,2.7,4.9,2.3,-0.487,0.6,61.6,7.9,3.6,1.4,64.3,0.7,14000,0,1,1,0,1,0,0,0
290627,2023,Dion Prestia,MID,77.1,83.5,6.3,7,13,0,91.2,14.1,4.821,8.3,9.6,0.674,0.143,76.7,1.3,2.86,0.64,68.7,-10.2,-31700,0,0,0,0,1,0,0,0
290778,2021,Luke Parker,MID,102.8,112.1,9.3,8,14,0,,,-0.286,-7.5,2.6,0.587,0.5,77.9,4.6,5.25,0.75,71.1,2.4,-60400,0,1,1,0,1,0,0,0
290778,2022,Luke Parker,MID,102.1,104.9,2.8,8,14,0,108.7,6.6,-0.06,16.8,-2.5,0.19,0.5,81.0,0.0,4.88,1.62,65.0,12.5,51400,0,0,0,0,1,0,0,0
290778,2023,Luke Parker,MID,92.9,99.1,6.3,8,14,0,106.3,13.4,2.726,14.7,5.0,-0.913,0.5,84.8,5.2,5.12,2.88,78.6,12.4,11200,0,0,1,0,1,0,0,0
