feature,point_biserial_corr,abs_corr,p_value,lgb_importance
career_avg_delta,0.1535,0.1535,0.0,284.8
SC_skewness,-0.0342,0.0342,0.1974,261.2
tog_avg_r8,-0.0333,0.0333,0.2084,244.4
SC_ema_trend,-0.0133,0.0133,0.6151,223.2
tog_trend,-0.0198,0.0198,0.4548,205.0
SC_form_delta_3v6,0.0119,0.0119,0.6526,204.4
cba_trend,0.0516,0.0516,0.0514,200.6
price_change_sum3,-0.0653,0.0653,0.0136,190.6
SC_trend_slope_8,-0.0011,0.0011,0.9656,180.0
clearances_avg_r8,-0.0302,0.0302,0.2545,172.2
clearances_trend,-0.0034,0.0034,0.8976,159.4
SC_ceiling_rate,-0.0935,0.0935,0.0004,156.8
cba_avg_r8,-0.0508,0.0508,0.0552,144.2
price_is_floor,-0.0658,0.0658,0.0129,44.2
tag_is_hot_r78,0.0465,0.0465,0.0795,38.4
tag_is_hot_any,0.0375,0.0375,0.1572,36.4
pos_is_fwd,-0.0327,0.0327,0.2167,23.0
pos_is_def,0.0442,0.0442,0.0956,16.6
pos_is_mid,-0.0133,0.0133,0.6166,9.6
tag_is_injured_returning,0.0198,0.0198,0.4551,5.0
