feed_id,Year,name,pos,early_avg,late_avg,improvement,n_early,n_late,is_jumper,career_avg_prior,career_avg_delta,SC_trend_slope_8,SC_form_delta_3v6,SC_ema_trend,SC_skewness,SC_ceiling_rate,tog_avg_r8,tog_trend,clearances_avg_r8,clearances_trend,cba_avg_r8,cba_trend,price_change_sum3,price_is_floor,tag_is_hot_r78,tag_is_hot_any,tag_is_injured_returning,pos_is_mid,pos_is_def,pos_is_fwd,pos_is_ruc
993107,2022,Harry Himmelberg,DEF,64.5,105.6,41.1,8,14,1,71.7,7.2,-3.357,7.2,-4.6,-0.169,0.0,92.0,-2.0,0.0,0.0,0.0,0.0,-9500,0,0,0,0,0,1,0,0
1024272,2025,Colby McKercher,DEF,56.4,97.3,41.0,8,15,1,88.5,32.1,-2.702,-2.5,-2.1,-0.728,0.0,76.4,0.6,1.25,0.25,0.4,-0.4,-77400,0,0,0,0,0,1,0,0
993820,2025,Tom Cole,DEF,50.2,90.2,40.1,6,12,1,62.1,11.9,-8.829,-12.5,-10.8,0.72,0.0,75.5,-10.5,0.33,-0.33,,,-86000,0,0,0,0,0,1,0,0
993998,2024,Jy Simpkin,MID,57.9,93.5,35.7,7,11,1,89.7,31.9,0.536,2.5,-1.3,-0.837,0.0,85.6,-0.6,2.57,0.43,35.3,7.2,-30700,0,0,0,0,1,0,0,0
994185,2021,Jordan De Goey,MID,63.0,97.1,34.1,7,13,1,,,0.214,-4.0,11.6,0.005,0.143,78.6,9.4,2.14,0.86,14.5,-6.5,-102300,0,0,0,0,1,0,0,0
296254,2025,Jarman Impey,DEF,65.6,99.5,34.0,7,13,1,78.4,12.8,1.464,8.0,5.7,-0.169,0.0,78.9,-5.4,0.57,0.43,,,-35100,0,0,0,0,0,1,0,0
1004938,2025,Gryan Miers,FWD,71.3,103.1,31.7,6,15,1,74.0,2.7,-1.314,0.0,-4.8,0.217,0.0,81.8,-10.8,1.0,-1.0,0.0,0.0,-17300,0,0,1,0,0,0,1,0
296359,2024,Christian Salem,DEF,57.4,89.1,31.7,5,11,1,83.0,25.6,-19.2,-16.1,-18.7,-0.996,0.0,65.0,-20.5,0.6,0.4,8.2,-8.2,-74000,0,0,0,0,0,1,0,0
293884,2021,Jake Stringer,FWD,72.5,103.4,30.9,6,12,1,,,-12.429,-6.5,-16.8,-0.258,0.167,74.7,-12.2,2.5,0.0,56.0,-2.0,13000,0,0,0,0,0,0,1,0
1001026,2023,Jordan Ridley,DEF,78.8,109.2,30.5,8,9,1,95.2,16.5,-7.405,-16.2,-16.9,-1.506,0.125,81.6,-15.6,0.12,-0.12,,,-54800,0,0,1,0,0,1,0,0
1024272,2024,Colby McKercher,DEF,73.5,103.5,30.0,8,8,1,,,2.333,22.8,17.0,-0.239,0.25,71.1,13.4,0.62,-0.12,9.1,-9.1,26900,0,1,1,0,0,1,0,0
295265,2021,Nick Haynes,DEF,55.7,85.4,29.7,6,13,1,,,-11.486,-11.7,-16.8,-1.026,0.0,73.0,-25.5,0.33,0.17,,,-120600,0,0,0,0,0,1,0,0
1006058,2023,Bailey Scott,MID,56.8,86.0,29.2,8,15,1,62.5,5.7,-1.595,-3.0,0.2,-0.226,0.0,82.2,-0.2,1.12,0.38,0.4,-0.4,-40800,0,0,0,0,1,0,0,0
990291,2022,Darcy Cameron,RUC,65.1,94.4,29.2,7,14,1,77.3,12.1,12.786,19.8,18.7,0.31,0.286,66.9,13.1,1.71,1.79,35.4,32.6,20700,0,0,0,0,0,0,0,1
291800,2025,Tom Stewart,DEF,71.6,100.6,29.0,5,13,1,106.7,35.1,-1.1,11.4,-5.3,-0.474,0.4,67.0,13.0,0.2,0.3,0.0,0.0,-84300,0,0,0,0,0,1,0,0
1005577,2024,Sam Draper,RUC,58.3,86.5,28.2,6,10,1,73.4,15.1,2.229,11.0,3.2,-0.529,0.0,72.2,-2.2,3.17,-0.17,48.2,-5.2,-34000,0,0,0,0,0,0,0,1
1000978,2023,Hugh McCluggage,MID,76.2,103.7,27.5,8,14,1,101.8,25.5,4.595,5.8,4.1,0.25,0.0,80.1,-0.6,4.0,0.0,35.9,3.6,12000,0,0,0,0,1,0,0,0
998102,2025,Andrew McGrath,DEF,65.6,92.8,27.2,7,15,1,89.1,23.6,0.429,5.2,-0.5,-1.051,0.0,83.1,0.9,0.86,-0.36,0.3,-0.3,-36200,0,0,1,0,0,1,0,0
1001299,2022,Connor Rozee,DEF,76.2,103.1,26.8,8,14,1,73.5,-2.7,9.595,15.2,4.0,0.823,0.125,81.8,1.8,2.75,1.75,38.5,23.0,111600,0,0,1,1,0,1,0,0
999827,2024,Zac Fisher,FWD,70.8,96.4,25.7,8,10,1,70.0,-0.8,-0.929,-7.2,3.0,-0.836,0.125,72.8,-12.8,0.62,-0.12,,,-34600,0,1,1,0,0,0,1,0
1013974,2025,Mark Keane,DEF,61.0,86.3,25.3,8,15,1,72.6,11.6,1.071,-0.8,-3.6,0.71,0.125,93.0,3.0,0.25,-0.25,,,20600,0,0,0,0,0,1,0,0
280506,2023,Taylor Walker,FWD,73.5,98.7,25.2,8,14,1,88.5,15.0,0.071,-4.0,-6.9,0.345,0.125,80.5,-1.5,0.75,-0.75,0.0,0.0,5200,0,0,0,1,0,0,1,0
1000223,2022,Liam Baker,DEF,62.0,87.1,25.1,8,14,1,82.5,20.5,0.143,-1.3,-4.3,-0.209,0.0,82.2,-3.2,1.25,-0.75,1.6,-1.6,-13100,0,0,0,0,0,1,0,0
