,round,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number_alt,source
0,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,153.0,DEF,156.0,True,291313,Jeremy,Howe,COL,DEF,R1,Draft
1,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,153.0,DEF,126.0,True,291313,Jeremy,Howe,COL,DEF,R2,Draft
2,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,153.0,DEF,88.0,True,291313,Jeremy,Howe,COL,DEF,R3,Draft
3,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,153.0,DEF,112.0,True,291313,Jeremy,Howe,COL,DEF,R4,Draft
4,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,152.0,True,240283,Shannon,Hurn,WCE,DEF,R1,Draft
5,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,73.0,True,240283,Shannon,Hurn,WCE,DEF,R2,Draft
6,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,89.0,True,240283,Shannon,Hurn,WCE,DEF,R3,Draft
7,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,86.0,True,240283,Shannon,Hurn,WCE,DEF,R4,Draft
8,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,68.0,True,240283,Shannon,Hurn,WCE,DEF,R5,Draft
9,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,39.0,True,240283,Shannon,Hurn,WCE,DEF,R6,Draft
10,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,93.0,True,240283,Shannon,Hurn,WCE,DEF,R7,Draft
11,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,114.0,True,240283,Shannon,Hurn,WCE,DEF,R8,Draft
12,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,63.0,True,240283,Shannon,Hurn,WCE,DEF,R9,Draft
13,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,0.0,False,240283,Shannon,Hurn,WCE,DEF,R10,Draft
14,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,68.0,True,240283,Shannon,Hurn,WCE,DEF,R11,Draft
15,12.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,95.0,True,240283,Shannon,Hurn,WCE,DEF,R12,Draft
16,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,80.0,True,240283,Shannon,Hurn,WCE,DEF,R13,Draft
17,14.0,86078.0,9806.0,Lester,HoweIMetYourMother,789.0,DEF,65.0,True,240283,Shannon,Hurn,WCE,DEF,R14,Draft
18,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,131.0,True,993998,Jy,Simpkin,NTH,FWD MID,R1,Draft
19,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,104.0,True,993998,Jy,Simpkin,NTH,FWD MID,R2,Draft
20,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,140.0,True,993998,Jy,Simpkin,NTH,FWD MID,R3,Draft
21,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,119.0,True,993998,Jy,Simpkin,NTH,FWD MID,R4,Draft
22,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,97.0,True,993998,Jy,Simpkin,NTH,FWD MID,R5,Draft
23,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,127.0,True,993998,Jy,Simpkin,NTH,FWD MID,R6,Draft
24,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,57.0,True,993998,Jy,Simpkin,NTH,FWD MID,R7,Draft
25,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,35.0,True,993998,Jy,Simpkin,NTH,FWD MID,R8,Draft
26,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,56.0,True,993998,Jy,Simpkin,NTH,FWD MID,R9,Draft
27,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,103.0,True,993998,Jy,Simpkin,NTH,FWD MID,R10,Draft
28,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,74.0,True,993998,Jy,Simpkin,NTH,FWD MID,R11,Draft
29,12.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,105.0,True,993998,Jy,Simpkin,NTH,FWD MID,R12,Draft
30,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,FWD,100.0,True,993998,Jy,Simpkin,NTH,FWD MID,R13,Draft
31,14.0,86078.0,9806.0,Lester,HoweIMetYourMother,536.0,MID,79.0,True,993998,Jy,Simpkin,NTH,FWD MID,R14,Draft
32,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,700.0,MID,129.0,True,260382,Josh P.,Kennedy,SYD,MID,R1,Draft
33,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,700.0,MID,91.0,True,260382,Josh P.,Kennedy,SYD,MID,R2,Draft
34,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,700.0,MID,126.0,True,260382,Josh P.,Kennedy,SYD,MID,R3,Draft
35,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,700.0,MID,93.0,True,260382,Josh P.,Kennedy,SYD,MID,R4,Draft
36,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,700.0,MID,85.0,True,260382,Josh P.,Kennedy,SYD,MID,R5,Draft
37,6.0,300791.0,182.0,Paul,Coronaviney,700.0,MID,18.0,True,260382,Josh P.,Kennedy,SYD,MID,R6,Trade
38,7.0,300791.0,182.0,Paul,Coronaviney,700.0,MID,0.0,False,260382,Josh P.,Kennedy,SYD,MID,R7,Trade
39,8.0,300791.0,182.0,Paul,Coronaviney,700.0,MID,0.0,False,260382,Josh P.,Kennedy,SYD,MID,R8,Trade
40,9.0,300791.0,182.0,Paul,Coronaviney,700.0,MID,0.0,False,260382,Josh P.,Kennedy,SYD,MID,R9,Trade
41,10.0,300791.0,182.0,Paul,Coronaviney,700.0,MID,0.0,False,260382,Josh P.,Kennedy,SYD,MID,R10,Trade
42,11.0,300791.0,182.0,Paul,Coronaviney,700.0,MID,0.0,False,260382,Josh P.,Kennedy,SYD,MID,R11,Trade
43,12.0,300791.0,182.0,Paul,Coronaviney,700.0,MID,0.0,False,260382,Josh P.,Kennedy,SYD,MID,R12,Trade
44,13.0,300791.0,182.0,Paul,Coronaviney,700.0,MID,84.0,False,260382,Josh P.,Kennedy,SYD,MID,R13,Trade
45,14.0,300791.0,182.0,Paul,Coronaviney,700.0,MID,96.0,True,260382,Josh P.,Kennedy,SYD,MID,R14,Trade
46,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,128.0,True,296296,Dom,Sheed,WCE,MID,R1,Draft
47,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,77.0,True,296296,Dom,Sheed,WCE,MID,R2,Draft
48,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,56.0,True,296296,Dom,Sheed,WCE,MID,R3,Draft
49,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,87.0,True,296296,Dom,Sheed,WCE,MID,R4,Draft
50,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,119.0,False,296296,Dom,Sheed,WCE,MID,R5,Draft
51,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,114.0,True,296296,Dom,Sheed,WCE,MID,R6,Draft
52,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,76.0,True,296296,Dom,Sheed,WCE,MID,R7,Draft
53,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,44.0,True,296296,Dom,Sheed,WCE,MID,R8,Draft
54,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,135.0,True,296296,Dom,Sheed,WCE,MID,R9,Draft
55,10.0,10857.0,189.0,Anthony,The Full Bonty,807.0,MID,0.0,False,296296,Dom,Sheed,WCE,MID,R10,Trade
56,11.0,10857.0,189.0,Anthony,The Full Bonty,807.0,MID,137.0,False,296296,Dom,Sheed,WCE,MID,R11,Trade
57,12.0,10857.0,189.0,Anthony,The Full Bonty,807.0,MID,75.0,True,296296,Dom,Sheed,WCE,MID,R12,Trade
58,13.0,10857.0,189.0,Anthony,The Full Bonty,807.0,MID,74.0,True,296296,Dom,Sheed,WCE,MID,R13,Trade
59,14.0,10857.0,189.0,Anthony,The Full Bonty,807.0,MID,85.0,True,296296,Dom,Sheed,WCE,MID,R14,Trade
60,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,126.0,True,290847,Dustin,Martin,RIC,FWD MID,R1,Draft
61,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,79.0,True,290847,Dustin,Martin,RIC,FWD MID,R2,Draft
62,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,0.0,False,290847,Dustin,Martin,RIC,FWD MID,R3,Draft
63,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,81.0,True,290847,Dustin,Martin,RIC,FWD MID,R4,Draft
64,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,93.0,True,290847,Dustin,Martin,RIC,FWD MID,R5,Draft
65,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,66.0,True,290847,Dustin,Martin,RIC,FWD MID,R6,Draft
66,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,100.0,True,290847,Dustin,Martin,RIC,FWD MID,R7,Draft
67,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,108.0,True,290847,Dustin,Martin,RIC,FWD MID,R8,Draft
68,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,184.0,True,290847,Dustin,Martin,RIC,FWD MID,R9,Draft
69,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,111.0,True,290847,Dustin,Martin,RIC,FWD MID,R10,Draft
70,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,74.0,True,290847,Dustin,Martin,RIC,FWD MID,R11,Draft
71,12.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,92.0,True,290847,Dustin,Martin,RIC,FWD MID,R12,Draft
72,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,147.0,True,290847,Dustin,Martin,RIC,FWD MID,R13,Draft
73,14.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,97.0,True,290847,Dustin,Martin,RIC,FWD MID,R14,Draft
74,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,115.0,True,293716,Jarryd,Lyons,BRL,MID,R1,Draft
75,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,92.0,True,293716,Jarryd,Lyons,BRL,MID,R2,Draft
76,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,114.0,True,293716,Jarryd,Lyons,BRL,MID,R3,Draft
