,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,points,on_field,feed_id,first_name,last_name,team
0,180650,33301,Jordan,"What's Up, Doch?",755,169,True,295467,Jack,Macrae,WBD
1,180650,33301,Jordan,"What's Up, Doch?",387,166,True,295344,Toby,Greene,GWS
2,180650,33301,Jordan,"What's Up, Doch?",469,157,True,290528,Max,Gawn,MEL
3,180650,33301,Jordan,"What's Up, Doch?",715,139,True,290307,Dane,Rampe,SYD
4,180650,33301,Jordan,"What's Up, Doch?",440,104,True,291856,Tom,Mitchell,HAW
5,180650,33301,Jordan,"What's Up, Doch?",392,95,True,993903,Jacob,Hopper,GWS
6,180650,33301,Jordan,"What's Up, Doch?",660,90,True,991988,Zak,Jones,STK
7,180650,33301,Jordan,"What's Up, Doch?",643,88,True,296351,Jack,Billings,STK
8,180650,33301,Jordan,"What's Up, Doch?",335,88,True,270917,Patrick,Dangerfield,GEE
9,180650,33301,Jordan,"What's Up, Doch?",112,80,True,296190,Jack,Martin,CAR
10,180650,33301,Jordan,"What's Up, Doch?",167,79,True,1008089,Isaac,Quaynor,COL
11,180650,33301,Jordan,"What's Up, Doch?",99,66,True,295518,Sam,Docherty,CAR
12,180650,33301,Jordan,"What's Up, Doch?",615,59,True,1002227,Jack,Higgins,RIC
13,180650,33301,Jordan,"What's Up, Doch?",82,57,True,290311,Mitch,Robinson,BRL
14,180650,33301,Jordan,"What's Up, Doch?",311,56,True,1001195,Izak,Rankine,GCS
15,180650,33301,Jordan,"What's Up, Doch?",570,47,True,261396,Robbie,Gray,PTA
16,180650,33301,Jordan,"What's Up, Doch?",610,45,True,1006276,Derek,Eggmolesse-Smith,RIC
17,180650,33301,Jordan,"What's Up, Doch?",228,45,True,295067,James,Aish,FRE
18,180650,33301,Jordan,"What's Up, Doch?",609,0,False,260930,Shane,Edwards,RIC
19,180650,33301,Jordan,"What's Up, Doch?",362,49,False,1004940,Sam,Simpson,GEE
20,180650,33301,Jordan,"What's Up, Doch?",587,0,False,270919,Tom,Rockliff,PTA
21,180650,33301,Jordan,"What's Up, Doch?",645,87,False,992374,Dan,Butler,STK
22,86078,9806,Lester,HoweIMetYourMother,67,147,True,293716,Jarryd,Lyons,BRL
